
Iteration,NormDifference
        1, 0.000000e+000
        2, 1.#INF00e+000
        3, 1.593870e-001
        4, 4.413518e-002
        5, 3.920186e-002
        6, 1.089532e-002
        7, 6.061332e-004
        8, 8.786570e-004
        9, 4.213145e-004
       10, 8.266201e-005
       11, 9.296290e-006
       12, 1.226445e-005
       13, 4.069286e-006
       14, 4.106455e-007
       15, 2.483494e-007
       16, 1.436910e-007
