Y Coordinates:
0,0.15,0.3,0.45,0.6,0.75,0.9,1.05,1.2,1.35,1.5,1.65,1.8,1.95,2.1,2.25,2.4,2.55,2.7,2.85,3,3.15,3.3,3.45,3.6,3.75,3.9,4.05,4.2,4.35,4.5,4.65,4.8,4.95,5.1,5.25,5.4,5.55,5.7,5.85,6,

 Time(s),  v(m) on vertices
0,0,-6.20191e-006,-1.24038e-005,-1.86057e-005,-2.48076e-005,-3.10095e-005,-3.72114e-005,-4.34134e-005,-4.96153e-005,-5.58172e-005,-6.20191e-005,-6.8221e-005,-7.44229e-005,-8.06248e-005,-8.68267e-005,-9.30286e-005,-9.92305e-005,-0.000105432,-0.000111634,-0.000117836,-0.000124038,-0.00013024,-0.000136442,-0.000142644,-0.000148846,-0.000155048,-0.00016125,-0.000167452,-0.000173653,-0.000179855,-0.000186057,-0.000192259,-0.000198461,-0.000204663,-0.000210865,-0.000217067,-0.000223269,-0.000229471,-0.000235673,-0.000241874,-0.000248076,
25,0,-6.20191e-006,-1.24038e-005,-1.86057e-005,-2.48076e-005,-3.10095e-005,-3.72114e-005,-4.34134e-005,-4.96153e-005,-5.58172e-005,-6.20191e-005,-6.8221e-005,-7.44229e-005,-8.06249e-005,-8.68269e-005,-9.30289e-005,-9.92311e-005,-0.000105433,-0.000111636,-0.00011784,-0.000124045,-0.000130252,-0.000136463,-0.00014268,-0.000148906,-0.000155146,-0.000161405,-0.000167699,-0.000174039,-0.000180438,-0.000186913,-0.00019351,-0.000200246,-0.000207164,-0.000214299,-0.000221685,-0.000229364,-0.000237364,-0.000245728,-0.000254467,-0.000263652,
50,0,-6.20194e-006,-1.24039e-005,-1.86059e-005,-2.48079e-005,-3.10099e-005,-3.72121e-005,-4.34144e-005,-4.96169e-005,-5.58198e-005,-6.20233e-005,-6.82275e-005,-7.44329e-005,-8.06399e-005,-8.68494e-005,-9.30623e-005,-9.92798e-005,-0.000105503,-0.000111737,-0.000117982,-0.000124243,-0.000130526,-0.000136835,-0.000143178,-0.000149566,-0.000156005,-0.000162505,-0.000169094,-0.000175779,-0.000182572,-0.000189486,-0.000196566,-0.000203814,-0.000211255,-0.000218909,-0.000226786,-0.000234908,-0.000243283,-0.000251933,-0.000260856,-0.000270097,
75,0,-6.20307e-006,-1.24063e-005,-1.86098e-005,-2.48139e-005,-3.10187e-005,-3.72245e-005,-4.34318e-005,-4.96412e-005,-5.58533e-005,-6.20688e-005,-6.82888e-005,-7.45146e-005,-8.0748e-005,-8.69911e-005,-9.32463e-005,-9.95163e-005,-0.000105804,-0.000112118,-0.000118459,-0.000124833,-0.000131251,-0.000137714,-0.000144236,-0.000150825,-0.000157489,-0.000164234,-0.000171091,-0.000178061,-0.000185153,-0.000192373,-0.000199764,-0.000207317,-0.000215051,-0.000222979,-0.000231104,-0.000239441,-0.000247992,-0.000256772,-0.000265777,-0.000275042,
100,0,-6.20937e-006,-1.24193e-005,-1.86304e-005,-2.48433e-005,-3.10586e-005,-3.72773e-005,-4.35001e-005,-4.97291e-005,-5.59649e-005,-6.22092e-005,-6.84637e-005,-7.4731e-005,-8.10138e-005,-8.73151e-005,-9.36383e-005,-9.99872e-005,-0.000106365,-0.000112783,-0.000119241,-0.000125747,-0.00013231,-0.000138931,-0.000145626,-0.0001524,-0.00015926,-0.00016621,-0.000173282,-0.000180469,-0.000187782,-0.000195221,-0.000202825,-0.000210582,-0.000218509,-0.000226611,-0.000234892,-0.000243361,-0.000252019,-0.000260877,-0.000269931,-0.000279212,
125,0,-6.22527e-006,-1.24517e-005,-1.86805e-005,-2.49127e-005,-3.11499e-005,-3.73933e-005,-4.36443e-005,-4.99065e-005,-5.61802e-005,-6.24679e-005,-6.8772e-005,-7.50959e-005,-8.1443e-005,-8.78167e-005,-9.4221e-005,-0.00010066,-0.000107137,-0.000113665,-0.000120242,-0.000126876,-0.000133576,-0.000140343,-0.000147191,-0.000154125,-0.00016115,-0.000168269,-0.000175511,-0.000182869,-0.000190351,-0.000197954,-0.000205716,-0.000213622,-0.000221686,-0.000229913,-0.000238302,-0.000246863,-0.000255595,-0.000264507,-0.000273595,-0.000282885,
150,0,-6.25263e-006,-1.2507e-005,-1.8765e-005,-2.50283e-005,-3.12988e-005,-3.75787e-005,-4.38695e-005,-5.01761e-005,-5.64988e-005,-6.28405e-005,-6.92043e-005,-7.55938e-005,-8.20129e-005,-8.84654e-005,-9.49553e-005,-0.000101487,-0.000108063,-0.000114698,-0.000121388,-0.000128141,-0.000134966,-0.000141863,-0.000148844,-0.000155915,-0.000163079,-0.000170338,-0.000177719,-0.000185215,-0.000192829,-0.000200563,-0.000208446,-0.000216467,-0.000224635,-0.000232955,-0.000241427,-0.000250057,-0.000258843,-0.000267795,-0.000276908,-0.000286205,
175,0,-6.29097e-006,-1.25843e-005,-1.88822e-005,-2.51871e-005,-3.15013e-005,-3.78274e-005,-4.41675e-005,-5.05273e-005,-5.6907e-005,-6.33099e-005,-6.97393e-005,-7.61993e-005,-8.2694e-005,-8.92271e-005,-9.58028e-005,-0.000102425,-0.000109097,-0.000115832,-0.000122627,-0.000129489,-0.000136426,-0.000143438,-0.000150536,-0.000157725,-0.000165007,-0.000172384,-0.000179881,-0.00018749,-0.000195214,-0.000203052,-0.000211034,-0.000219146,-0.000227397,-0.000235791,-0.000244327,-0.00025301,-0.00026184,-0.000270823,-0.000279955,-0.000289258,
200,0,-6.33866e-006,-1.26801e-005,-1.9027e-005,-2.53822e-005,-3.17485e-005,-3.81287e-005,-4.45252e-005,-5.09446e-005,-5.73868e-005,-6.38555e-005,-7.03541e-005,-7.68869e-005,-8.34581e-005,-9.00716e-005,-9.67312e-005,-0.000103441,-0.000110204,-0.000117033,-0.000123925,-0.000130885,-0.000137924,-0.000145037,-0.000152239,-0.00015953,-0.000166914,-0.000174392,-0.000181988,-0.000189692,-0.000197507,-0.000205433,-0.000213496,-0.000221683,-0.000230002,-0.000238457,-0.000247045,-0.000255772,-0.000264636,-0.000273644,-0.000282792,-0.0002921,
225,0,-6.39371e-006,-1.27905e-005,-1.91935e-005,-2.56058e-005,-3.20304e-005,-3.84705e-005,-4.49287e-005,-5.14121e-005,-5.79205e-005,-6.44578e-005,-7.10275e-005,-7.7634e-005,-8.42815e-005,-9.09738e-005,-9.77148e-005,-0.000104508,-0.000111357,-0.000118274,-0.000125255,-0.000132306,-0.000139436,-0.000146641,-0.000153934,-0.000161316,-0.00016879,-0.000176355,-0.000184036,-0.000191822,-0.000199716,-0.000207716,-0.000215847,-0.000224097,-0.000232474,-0.000240979,-0.000249611,-0.000258374,-0.000267267,-0.000276296,-0.000285457,-0.000294769,
