Y Coordinates:
1.47975,1.71036,1.33907,5.00004,5.21378,5.45063,0.465398,0.609274,0.335328,3.27376,3.54752,3.80039,1.95679,2.21472,2.47315,5.72496,6,4.665,4.79905,4.52638,0,0.167664,4.05441,4.2995,2.73657,3,0.831158,1.21665,1.03483,

 Time(s),  P(Pa) on vertices
0,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,0,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,
25,435166,435165,435167,314356,264401,196605,435167,435167,435167,433792,431646,427807,435161,435147,435103,102508,0,370321,350886,386799,435167,435167,419661,406796,434977,434643,435167,435167,435167,
50,434924,434714,435004,242466,197595,142577,435156,435150,435159,419334,408981,395577,434321,433529,432156,72853.5,0,301791,279656,322498,435163,435162,375924,351660,429758,425817,435133,435052,435100,
75,433105,431985,433601,204081,164416,117398,434903,434822,434955,397093,380918,362181,430241,427399,423294,59581.3,0,259560,238367,280058,435009,434996,337955,310408,417295,408925,434624,433939,434322,
100,428898,426406,430087,179495,143756,102100,433769,433492,433954,374692,355299,334061,422866,417691,410865,51641.7,0,230920,211045,250466,434150,434101,308278,280143,401746,390031,432858,430945,431978,
125,422649,418741,424595,162059,129325,91555.1,431211,430665,431581,354332,333246,310921,413472,406248,397222,46213.6,0,209970,191324,228494,431978,431879,284826,257043,385788,371812,429454,426048,427854,
150,414972,409821,417607,148877,118518,83723.4,427069,426248,427630,336324,314403,291709,403101,394255,383579,42202.9,0,193821,176248,211395,428238,428086,265844,238753,370521,355070,424456,419610,422151,
175,406366,400216,409566,138459,110033,77609.3,421465,420401,422195,320447,298187,275508,392363,382303,370445,39083,0,180885,164242,197608,422990,422791,250116,223829,356283,339902,418102,412030,415192,
200,397181,390272,400816,129952,103138,72662.1,414645,413384,415513,306372,284075,261622,381581,370652,357981,36565.1,0,170216,154382,186182,416461,416223,236813,211350,343103,326173,410677,403637,407288,
225,387655,380201,391608,122828,97385.3,68548.2,406881,405471,407854,293783,271639,249536,370918,359399,346202,34475.6,0,161210,146088,176500,408918,408651,225355,200699,330896,313684,402456,394692,398706,
250,377954,370130,382127,116735,92481.2,65050.7,398424,396906,399473,282411,260543,238863,360456,348567,335061,32702.2,0,153457,138968,168139,400621,400332,215326,191448,319540,302241,393670,385395,389664,
275,368195,360139,372508,111430,88223,62021,389485,387893,390585,272033,250524,229311,350233,338142,324496,31168.3,0,146669,132749,160797,391791,391488,206417,183284,308919,291673,384508,375895,380332,
300,358461,350283,362852,106738,84465.8,59353.3,380236,378599,381368,262471,241377,220658,340265,328103,314441,29819.3,0,140635,127233,154256,382610,382297,198399,175977,298926,281837,375122,366308,370844,
325,348811,340595,353234,102530,81103.2,56970.1,370811,369150,371960,253586,232943,212731,330560,318423,304840,28615.7,0,135200,122274,148351,373221,372904,191096,169356,289475,272616,365627,356719,361299,
350,339291,331100,343707,98709.2,78055.5,54813.6,361315,359648,362470,245266,225098,205399,321116,309079,295644,27527.5,0,130246,117760,142959,363737,363418,184375,163289,280493,263919,356112,347191,351776,
