
Inspected Vertex: 75
Time,sigmaYY(Pa)
0,-661537
25,-661537
50,-661541
75,-661666
100,-662353
125,-664070
150,-667009
175,-671117
200,-676218
225,-682102
250,-688568
275,-695445
300,-702592
325,-709897
350,-717275
375,-724659
400,-732000
425,-739259
450,-746410
475,-753432
500,-760313
525,-767041
550,-773611
575,-780020
600,-786265
625,-792347
650,-798267
675,-804027
700,-809628
725,-815074
750,-820368
775,-825514
800,-830514
825,-835373
850,-840094
875,-844680
900,-849136
925,-853465
950,-857669
975,-861754
1000,-865721
1025,-869575
1050,-873319
1075,-876955
1100,-880487
1125,-883917
1150,-887249
1175,-890486
1200,-893630
1225,-896683
1250,-899649
1275,-902530
1300,-905328
1325,-908045
1350,-910685
1375,-913249
1400,-915739
1425,-918158
1450,-920507
1475,-922789
1500,-925006
1525,-927159
1550,-929250
1575,-931281
1600,-933254
1625,-935170
1650,-937031
1675,-938838
1700,-940594
1725,-942299
1750,-943956
1775,-945565
1800,-947127
1825,-948645
1850,-950119
1875,-951551
1900,-952942
1925,-954293
1950,-955605
1975,-956880
2000,-958117
2025,-959320
2050,-960488
2075,-961622
2100,-962724
2125,-963794
2150,-964833
2175,-965843
2200,-966823
2225,-967776
2250,-968701
2275,-969599
2300,-970472
2325,-971320
2350,-972143
2375,-972943
2400,-973719
2425,-974474
2450,-975207
2475,-975918
2500,-976610
2525,-977281
2550,-977933
2575,-978567
2600,-979182
2625,-979780
2650,-980360
2675,-980924
2700,-981472
2725,-982003
2750,-982520
2775,-983022
2800,-983509
2825,-983983
2850,-984442
2875,-984889
2900,-985323
2925,-985744
2950,-986153
2975,-986551
3000,-986937
3025,-987312
3050,-987676
3075,-988030
3100,-988374
3125,-988707
3150,-989032
3175,-989346
3200,-989652
3225,-989949
3250,-990238
3275,-990518
3300,-990790
3325,-991055
3350,-991311
3375,-991561
3400,-991803
3425,-992038
3450,-992267
3475,-992489
3500,-992705
3525,-992914
3550,-993117
3575,-993315
3600,-993507
3625,-993693
3650,-993874
3675,-994050
3700,-994221
3725,-994387
3750,-994548
3775,-994705
3800,-994857
3825,-995004
3850,-995148
3875,-995287
3900,-995422
3925,-995554
3950,-995681
3975,-995805
4000,-995926
