Y Coordinates:
1.96837,2.3159,5.27428,5.63651,0.47963,0.958531,1.22214,2.65795,3,1.49667,6,3.73894,4.06902,0,3.36947,4.54481,4.98296,

 Time(s),  v(m) on vertices
0,-8.13844e-005,-9.57534e-005,-0.000218071,-0.000233048,-1.98308e-005,-3.96315e-005,-5.05307e-005,-0.000109896,-0.000124038,-6.18814e-005,-0.000248076,-0.000154591,-0.000168238,0,-0.000139314,-0.00018791,-0.000206026,
25,-8.13848e-005,-9.57545e-005,-0.000223045,-0.000242315,-1.98308e-005,-3.96315e-005,-5.05308e-005,-0.0001099,-0.000124052,-6.18816e-005,-0.000263849,-0.000154709,-0.000168502,0,-0.000139355,-0.000188957,-0.000208849,
50,-8.14014e-005,-9.5798e-005,-0.000228201,-0.000248371,-1.9831e-005,-3.96323e-005,-5.05326e-005,-0.000109999,-0.000124271,-6.18861e-005,-0.000270243,-0.000155585,-0.000169937,0,-0.000139809,-0.000191678,-0.000213044,
75,-8.15159e-005,-9.60133e-005,-0.000232542,-0.000253142,-1.98357e-005,-3.9647e-005,-5.05592e-005,-0.000110368,-0.000124882,-6.1934e-005,-0.000275167,-0.000157065,-0.000171968,0,-0.000140784,-0.000194651,-0.000216888,
100,-8.17917e-005,-9.6449e-005,-0.000236342,-0.000257206,-1.98588e-005,-3.97065e-005,-5.06527e-005,-0.000111014,-0.00012581,-6.20783e-005,-0.000279323,-0.000158826,-0.000174185,0,-0.000142089,-0.000197555,-0.000220374,
125,-8.22324e-005,-9.70788e-005,-0.000239759,-0.000260805,-1.99137e-005,-3.98342e-005,-5.08379e-005,-0.000111872,-0.000126948,-6.23407e-005,-0.000282985,-0.000160706,-0.000176436,0,-0.000143575,-0.00020033,-0.00022357,
150,-8.28141e-005,-9.78596e-005,-0.000242888,-0.00026407,-2.00053e-005,-4.00356e-005,-5.11169e-005,-0.000112881,-0.00012822,-6.27164e-005,-0.000286296,-0.000162624,-0.000178662,0,-0.000145158,-0.00020297,-0.000226533,
175,-8.35067e-005,-9.87514e-005,-0.000245792,-0.00026708,-2.01315e-005,-4.0304e-005,-5.14783e-005,-0.000113991,-0.000129572,-6.31879e-005,-0.000289343,-0.000164544,-0.000180839,0,-0.000146789,-0.000205486,-0.000229307,
200,-8.4282e-005,-9.97215e-005,-0.000248514,-0.000269887,-2.02869e-005,-4.06276e-005,-5.19063e-005,-0.000115169,-0.000130971,-6.37346e-005,-0.000292179,-0.000166443,-0.000182959,0,-0.000148437,-0.000207888,-0.000231921,
225,-8.5116e-005,-0.000100744,-0.000251082,-0.000272527,-2.04651e-005,-4.09937e-005,-5.23846e-005,-0.000116387,-0.000132394,-6.43374e-005,-0.000294843,-0.000168311,-0.000185018,0,-0.000150083,-0.000210189,-0.000234401,
250,-8.59893e-005,-0.000101799,-0.000253521,-0.000275026,-2.06603e-005,-4.1391e-005,-5.28994e-005,-0.000117627,-0.000133823,-6.49797e-005,-0.000297363,-0.000170142,-0.000187017,0,-0.000151715,-0.000212398,-0.000236763,
275,-8.68866e-005,-0.000102872,-0.000255847,-0.000277405,-2.08674e-005,-4.18096e-005,-5.34387e-005,-0.000118876,-0.000135246,-6.5648e-005,-0.00029976,-0.000171931,-0.000188958,0,-0.000153326,-0.000214524,-0.000239023,
300,-8.77962e-005,-0.000103951,-0.000258074,-0.000279678,-2.10822e-005,-4.22419e-005,-5.39932e-005,-0.000120121,-0.000136657,-6.63317e-005,-0.000302048,-0.000173678,-0.000190841,0,-0.000154909,-0.000216573,-0.000241191,
325,-8.87091e-005,-0.000105028,-0.000260211,-0.000281857,-2.13016e-005,-4.26818e-005,-5.45557e-005,-0.000121357,-0.000138047,-6.70227e-005,-0.000304242,-0.00017538,-0.000192668,0,-0.000156461,-0.000218551,-0.000243277,
350,-8.96185e-005,-0.000106095,-0.000262268,-0.000283951,-2.15228e-005,-4.31244e-005,-5.51204e-005,-0.000122577,-0.000139414,-6.77145e-005,-0.000306349,-0.000177039,-0.000194442,0,-0.000157979,-0.000220463,-0.000245286,
375,-9.05192e-005,-0.000107148,-0.000264252,-0.000285969,-2.17441e-005,-4.35663e-005,-5.56832e-005,-0.000123776,-0.000140754,-6.84025e-005,-0.000308378,-0.000178653,-0.000196165,0,-0.000159462,-0.000222313,-0.000247226,
400,-9.14075e-005,-0.000108185,-0.000266167,-0.000287916,-2.1964e-005,-4.40047e-005,-5.62408e-005,-0.000124953,-0.000142064,-6.9083e-005,-0.000310336,-0.000180224,-0.000197837,0,-0.000160909,-0.000224104,-0.000249101,
425,-9.22806e-005,-0.000109201,-0.000268018,-0.000289797,-2.21814e-005,-4.44376e-005,-5.67909e-005,-0.000126106,-0.000143345,-6.97535e-005,-0.000312227,-0.000181752,-0.00019946,0,-0.000162319,-0.000225839,-0.000250914,
