
Inspected Vertex: 2
Time,sigmaYY(Pa)
0,-661537
25,-661537
50,-661538
75,-661657
100,-662345
125,-664070
150,-667021
175,-671142
200,-676254
225,-682147
250,-688620
275,-695502
300,-702653
325,-709962
350,-717342
375,-724727
400,-732069
425,-739329
450,-746480
475,-753502
500,-760382
525,-767110
550,-773680
575,-780088
600,-786333
625,-792414
650,-798334
675,-804092
700,-809693
725,-815138
750,-820431
775,-825576
800,-830575
825,-835433
850,-840153
875,-844739
900,-849194
925,-853521
950,-857725
975,-861809
1000,-865775
1025,-869628
1050,-873371
1075,-877006
1100,-880537
1125,-883967
1150,-887298
1175,-890534
1200,-893676
1225,-896729
1250,-899694
1275,-902574
1300,-905371
1325,-908088
1350,-910727
1375,-913290
1400,-915780
1425,-918198
1450,-920547
1475,-922828
1500,-925044
1525,-927196
1550,-929286
1575,-931316
1600,-933288
1625,-935204
1650,-937064
1675,-938871
1700,-940626
1725,-942331
1750,-943987
1775,-945595
1800,-947157
1825,-948674
1850,-950148
1875,-951579
1900,-952970
1925,-954320
1950,-955631
1975,-956905
2000,-958143
2025,-959344
2050,-960512
2075,-961646
2100,-962747
2125,-963816
2150,-964855
2175,-965864
2200,-966844
2225,-967796
2250,-968721
2275,-969619
2300,-970491
2325,-971339
2350,-972162
2375,-972961
2400,-973737
2425,-974491
2450,-975224
2475,-975935
2500,-976626
2525,-977297
2550,-977949
2575,-978582
2600,-979197
2625,-979794
2650,-980374
2675,-980938
2700,-981485
2725,-982017
2750,-982533
2775,-983035
2800,-983522
2825,-983995
2850,-984454
2875,-984901
2900,-985334
2925,-985755
2950,-986164
2975,-986562
3000,-986947
3025,-987322
3050,-987686
3075,-988040
3100,-988383
3125,-988717
3150,-989041
3175,-989355
3200,-989661
3225,-989958
3250,-990246
3275,-990526
3300,-990798
3325,-991062
3350,-991319
3375,-991568
3400,-991810
3425,-992046
3450,-992274
3475,-992496
3500,-992711
3525,-992920
3550,-993124
3575,-993321
3600,-993513
3625,-993699
3650,-993880
3675,-994056
3700,-994226
3725,-994392
3750,-994553
3775,-994710
3800,-994862
3825,-995009
3850,-995152
3875,-995292
3900,-995427
3925,-995558
3950,-995686
3975,-995809
4000,-995930
