
Inspected Vertex: 98
Time,P(Pa)
0,435167
25,435167
50,435163
75,435012
100,434162
125,432000
150,428267
175,423027
200,416501
225,408962
250,400666
275,391837
300,382656
325,373267
350,363782
375,354287
400,344847
425,335509
450,326310
475,317276
500,308424
525,299768
550,291314
575,283068
600,275032
625,267206
650,259588
675,252177
700,244969
725,237961
750,231149
775,224527
800,218093
825,211840
850,205766
875,199864
900,194130
925,188560
950,183149
975,177893
1000,172788
1025,167829
1050,163011
1075,158332
1100,153788
1125,149373
1150,145085
1175,140920
1200,136875
1225,132946
1250,129129
1275,125423
1300,121822
1325,118325
1350,114928
1375,111629
1400,108424
1425,105312
1450,102288
1475,99352
1500,96499.9
1525,93729.6
1550,91038.8
1575,88425.3
1600,85886.9
1625,83421.3
1650,81026.4
1675,78700.4
1700,76441.1
1725,74246.6
1750,72115.2
1775,70044.9
1800,68034.1
1825,66081
1850,64184
1875,62341.4
1900,60551.7
1925,58813.4
1950,57125
1975,55485.1
2000,53892.2
2025,52345.1
2050,50842.4
2075,49382.9
2100,47965.2
2125,46588.2
2150,45250.8
2175,43951.7
2200,42690
2225,41464.4
2250,40274.1
2275,39117.9
2300,37994.9
2325,36904.2
2350,35844.7
2375,34815.7
2400,33816.2
2425,32845.5
2450,31902.5
2475,30986.7
2500,30097.1
2525,29233.1
2550,28393.9
2575,27578.8
2600,26787
2625,26018
2650,25271.1
2675,24545.6
2700,23841
2725,23156.6
2750,22491.8
2775,21846.1
2800,21219
2825,20609.8
2850,20018.1
2875,19443.5
2900,18885.3
2925,18343.1
2950,17816.5
2975,17305.1
3000,16808.3
3025,16325.8
3050,15857.1
3075,15401.9
3100,14959.7
3125,14530.2
3150,14113.1
3175,13708
3200,13314.4
3225,12932.2
3250,12560.9
3275,12200.4
3300,11850.1
3325,11509.9
3350,11179.5
3375,10858.6
3400,10546.8
3425,10244.1
3450,9949.97
3475,9664.33
3500,9386.88
3525,9117.41
3550,8855.67
3575,8601.44
3600,8354.51
3625,8114.67
3650,7881.72
3675,7655.45
3700,7435.68
3725,7222.22
3750,7014.88
3775,6813.5
3800,6617.9
3825,6427.92
3850,6243.38
3875,6064.15
3900,5890.06
3925,5720.97
3950,5556.73
3975,5397.21
4000,5242.27
