
Inspected Vertex: 29
Time,v(m)
0,-0.000248076
25,-0.00026386
50,-0.000270259
75,-0.000275183
100,-0.000279339
125,-0.000283
150,-0.000286311
175,-0.000289357
200,-0.000292192
225,-0.000294856
250,-0.000297376
275,-0.000299772
300,-0.00030206
325,-0.000304252
350,-0.000306359
375,-0.000308388
400,-0.000310346
425,-0.000312236
450,-0.000314065
475,-0.000315835
500,-0.000317549
525,-0.000319211
550,-0.000320822
575,-0.000322385
600,-0.000323901
625,-0.000325372
650,-0.0003268
675,-0.000328187
700,-0.000329533
725,-0.00033084
750,-0.000332109
775,-0.000333341
800,-0.000334538
825,-0.0003357
850,-0.000336829
875,-0.000337925
900,-0.00033899
925,-0.000340024
950,-0.000341028
975,-0.000342004
1000,-0.000342951
1025,-0.000343871
1050,-0.000344765
1075,-0.000345633
1100,-0.000346476
1125,-0.000347295
1150,-0.000348091
1175,-0.000348863
1200,-0.000349614
1225,-0.000350343
1250,-0.000351051
1275,-0.000351738
1300,-0.000352406
1325,-0.000353055
1350,-0.000353685
1375,-0.000354297
1400,-0.000354891
1425,-0.000355469
1450,-0.00035603
1475,-0.000356574
1500,-0.000357103
1525,-0.000357617
1550,-0.000358116
1575,-0.000358601
1600,-0.000359072
1625,-0.000359529
1650,-0.000359973
1675,-0.000360405
1700,-0.000360824
1725,-0.000361231
1750,-0.000361626
1775,-0.00036201
1800,-0.000362383
1825,-0.000362745
1850,-0.000363097
1875,-0.000363439
1900,-0.000363771
1925,-0.000364093
1950,-0.000364407
1975,-0.000364711
2000,-0.000365006
2025,-0.000365293
2050,-0.000365572
2075,-0.000365842
2100,-0.000366105
2125,-0.000366361
2150,-0.000366609
2175,-0.00036685
2200,-0.000367084
2225,-0.000367311
2250,-0.000367532
2275,-0.000367746
2300,-0.000367954
2325,-0.000368157
2350,-0.000368353
2375,-0.000368544
2400,-0.000368729
2425,-0.00036891
2450,-0.000369084
2475,-0.000369254
2500,-0.000369419
2525,-0.000369579
2550,-0.000369735
2575,-0.000369886
2600,-0.000370033
2625,-0.000370176
2650,-0.000370314
2675,-0.000370449
2700,-0.000370579
2725,-0.000370706
2750,-0.00037083
2775,-0.000370949
2800,-0.000371066
2825,-0.000371179
2850,-0.000371288
2875,-0.000371395
2900,-0.000371498
2925,-0.000371599
2950,-0.000371697
2975,-0.000371791
3000,-0.000371884
3025,-0.000371973
3050,-0.00037206
3075,-0.000372144
3100,-0.000372226
3125,-0.000372306
3150,-0.000372383
3175,-0.000372458
3200,-0.000372531
3225,-0.000372602
3250,-0.000372671
3275,-0.000372738
3300,-0.000372803
3325,-0.000372866
3350,-0.000372927
3375,-0.000372987
3400,-0.000373045
3425,-0.000373101
3450,-0.000373155
3475,-0.000373208
3500,-0.00037326
3525,-0.00037331
3550,-0.000373358
3575,-0.000373405
3600,-0.000373451
3625,-0.000373496
3650,-0.000373539
3675,-0.000373581
3700,-0.000373622
3725,-0.000373661
3750,-0.0003737
3775,-0.000373737
3800,-0.000373773
3825,-0.000373808
3850,-0.000373843
3875,-0.000373876
3900,-0.000373908
3925,-0.000373939
3950,-0.00037397
3975,-0.000373999
4000,-0.000374028
