Y Coordinates:
1.47975,1.71036,1.33907,5.00004,5.21378,5.45063,0.465398,0.609274,0.335328,3.27376,3.54752,3.80039,1.95679,2.21472,2.47315,5.72496,6,4.665,4.79905,4.52638,0,0.167664,4.05441,4.2995,2.73657,3,0.831158,1.21665,1.03483,

 Time(s),  v(m) on vertices
0,-6.11816e-005,-7.07166e-005,-5.53652e-005,-0.000206732,-0.000215569,-0.000225362,-1.92424e-005,-2.51911e-005,-1.38645e-005,-0.000135357,-0.000146676,-0.000157131,-8.09057e-005,-9.15699e-005,-0.000102255,-0.000236704,-0.000248076,-0.000192879,-0.000198422,-0.000187148,0,-6.93225e-006,-0.000167634,-0.000177767,-0.000113146,-0.000124038,-3.43651e-005,-5.03035e-005,-4.27859e-005,
25,-6.11816e-005,-7.07167e-005,-5.53652e-005,-0.00020953,-0.000219859,-0.000231958,-1.92424e-005,-2.51911e-005,-1.38645e-005,-0.000135377,-0.000146729,-0.00015725,-8.09058e-005,-9.15702e-005,-0.000102256,-0.000247184,-0.000263659,-0.000194224,-0.000200244,-0.000188112,0,-6.93225e-006,-0.0001679,-0.00017829,-0.000113149,-0.000124046,-3.43651e-005,-5.03035e-005,-4.27859e-005,
50,-6.11856e-005,-7.07244e-005,-5.53678e-005,-0.000213791,-0.000224847,-0.000237656,-1.92425e-005,-2.51913e-005,-1.38646e-005,-0.00013573,-0.000147331,-0.000158181,-8.09206e-005,-9.16007e-005,-0.000102315,-0.000253421,-0.000270103,-0.000197332,-0.000203805,-0.000190772,0,-6.93229e-006,-0.000169308,-0.000180283,-0.00011326,-0.000124246,-3.43656e-005,-5.03054e-005,-4.2787e-005,
75,-6.12298e-005,-7.07935e-005,-5.54009e-005,-0.00021768,-0.00022911,-0.000242261,-1.92469e-005,-2.51976e-005,-1.38675e-005,-0.00013658,-0.000148518,-0.000159742,-8.1029e-005,-9.1774e-005,-0.000102582,-0.000258274,-0.000275048,-0.000200556,-0.000207302,-0.000193712,0,-6.93363e-006,-0.000171314,-0.00018276,-0.000113664,-0.000124837,-3.43763e-005,-5.0331e-005,-4.28043e-005,
100,-6.13668e-005,-7.09845e-005,-5.55114e-005,-0.000221197,-0.000232864,-0.000246226,-1.92686e-005,-2.52278e-005,-1.38825e-005,-0.000137767,-0.000150026,-0.000161579,-8.12958e-005,-9.21493e-005,-0.000103097,-0.000262388,-0.000279218,-0.000203635,-0.000210564,-0.000196594,0,-6.94085e-006,-0.000173509,-0.000185313,-0.000114358,-0.000125751,-3.4423e-005,-5.04221e-005,-4.28717e-005,
125,-6.16201e-005,-7.1315e-005,-5.57244e-005,-0.000224417,-0.000236251,-0.000249759,-1.93211e-005,-2.52988e-005,-1.39192e-005,-0.000139152,-0.000151695,-0.000163525,-8.17269e-005,-9.27122e-005,-0.000103818,-0.000266023,-0.000282891,-0.000206539,-0.0002136,-0.000199353,0,-6.95886e-006,-0.000175743,-0.000187824,-0.000115268,-0.00012688,-3.45273e-005,-5.06041e-005,-4.30139e-005,
150,-6.19858e-005,-7.17731e-005,-5.60398e-005,-0.000227398,-0.000239357,-0.000252975,-1.94091e-005,-2.54165e-005,-1.39816e-005,-0.000140648,-0.000153436,-0.0001655,-8.22992e-005,-9.34257e-005,-0.000104692,-0.000269315,-0.000286211,-0.000209278,-0.000216442,-0.000201981,0,-6.98966e-006,-0.000177954,-0.000190258,-0.000116328,-0.000128145,-3.46956e-005,-5.08795e-005,-4.32356e-005,
175,-6.24472e-005,-7.2336e-005,-5.64441e-005,-0.000230185,-0.000242244,-0.000255947,-1.95309e-005,-2.55781e-005,-1.40684e-005,-0.000142203,-0.000155205,-0.000167468,-8.2983e-005,-9.42525e-005,-0.000105677,-0.000272346,-0.000289263,-0.000211873,-0.000219119,-0.000204486,0,-7.03271e-006,-0.000180119,-0.000192605,-0.000117488,-0.000129493,-3.49227e-005,-5.12374e-005,-4.35291e-005,
200,-6.2984e-005,-7.29796e-005,-5.69196e-005,-0.000232811,-0.00024495,-0.000258723,-1.96811e-005,-2.57765e-005,-1.41759e-005,-0.000143784,-0.000156974,-0.000169409,-8.37501e-005,-9.51608e-005,-0.000106737,-0.00027517,-0.000292105,-0.000214341,-0.000221654,-0.00020688,0,-7.08615e-006,-0.000182228,-0.000194868,-0.000118712,-0.00013089,-3.51988e-005,-5.16618e-005,-4.38815e-005,
225,-6.35772e-005,-7.36823e-005,-5.74486e-005,-0.0002353,-0.000247507,-0.000261338,-1.98536e-005,-2.60037e-005,-1.42997e-005,-0.000145372,-0.000158728,-0.000171315,-8.45765e-005,-9.61251e-005,-0.000107846,-0.000277824,-0.000294774,-0.000216698,-0.000224067,-0.000209173,0,-7.1478e-006,-0.000184278,-0.00019705,-0.000119975,-0.00013231,-3.55128e-005,-5.21368e-005,-4.4279e-005,
250,-6.42102e-005,-7.4426e-005,-5.8016e-005,-0.000237671,-0.000249935,-0.000263815,-2.00427e-005,-2.62522e-005,-1.44355e-005,-0.000146952,-0.000160458,-0.000173178,-8.54429e-005,-9.71251e-005,-0.000108984,-0.000280335,-0.000297297,-0.000218955,-0.000226373,-0.000211375,0,-7.21555e-006,-0.000186269,-0.000199157,-0.000121257,-0.000133739,-3.58548e-005,-5.26483e-005,-4.47094e-005,
275,-6.48696e-005,-7.5196e-005,-5.86091e-005,-0.000239938,-0.000252252,-0.000266175,-2.02434e-005,-2.65156e-005,-1.45798e-005,-0.000148515,-0.000162156,-0.000174998,-8.63338e-005,-9.81457e-005,-0.000110137,-0.000282724,-0.000299697,-0.000221122,-0.000228583,-0.000213495,0,-7.2876e-006,-0.000188202,-0.000201192,-0.000122545,-0.000135162,-3.62162e-005,-5.31845e-005,-4.51624e-005,
