Y Coordinates:
0,0.15,0.3,0.45,0.6,0.75,0.9,1.05,1.2,1.35,1.5,1.65,1.8,1.95,2.1,2.25,2.4,2.55,2.7,2.85,3,3.15,3.3,3.45,3.6,3.75,3.9,4.05,4.2,4.35,4.5,4.65,4.8,4.95,5.1,5.25,5.4,5.55,5.7,5.85,6,

 Time(s),  P(Pa) on vertices
0,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,0,
25,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435166,435166,435164,435161,435155,435144,435122,435083,435007,434876,434651,434261,433637,432632,431060,428684,425286,420141,412869,403057,390183,372899,351191,324358,291963,254088,210881,163044,111076,56367.7,0,
50,435163,435162,435160,435157,435151,435141,435125,435101,435061,435003,434915,434787,434599,434326,433937,433391,432633,431608,430180,428294,425817,422551,418402,413121,406506,398356,388593,376551,362234,345607,326536,304437,279669,252133,221881,189170,154245,117495,79189.9,39890,0,
75,435013,435002,434971,434915,434830,434708,434539,434311,433995,433580,433036,432336,431426,430260,428783,426926,424615,421788,418256,414006,408906,402771,395573,387116,377287,365987,353240,338575,322118,303938,284012,262031,238314,212863,185765,157218,127400,96551.1,64839.1,32580.4,0,
100,434162,434124,434009,433810,433518,433119,432598,431935,431079,430021,428722,427149,425228,422912,420145,416858,412984,408477,403148,397024,390004,381939,372848,362585,351098,338344,324382,308872,291961,273741,254222,233213,210970,187520,162941,137382,110976,83887.3,56232.4,28220.8,0,
125,432001,431923,431688,431287,430712,429944,428968,427764,426266,424476,422355,419873,416952,413551,409625,405115,399968,394155,387506,380074,371782,362516,352318,341080,328781,315408,301031,285391,268632,250842,232045,212108,191241,169472,146868,123548,99609.7,75178.6,50339.6,25244.7,0,
150,428270,428150,427789,427180,426313,425173,423744,422014,419905,417436,414572,411288,407511,403211,398353,392891,386786,380023,372453,364144,355039,345048,334224,322486,309831,296261,281845,266381,249999,232784,214758,195826,176161,155790,134770,113195,91146.6,68719.7,45981.2,23047.6,0,
175,423031,422873,422400,421606,420482,419016,417195,415013,412387,409353,405880,401950,397497,392501,386937,380772,373977,366550,358359,349481,339873,329465,318313,306355,293598,280051,265784,250629,234706,218090,200806,182779,164154,144958,125238,105073,84529.1,63683.1,42588.9,21339.7,0,
200,416506,416318,415754,414809,413478,411749,409615,407074,404044,400569,396627,392207,387248,381740,375667,369004,361734,353861,345271,336043,326146,315523,304233,292227,279517,266117,252092,237305,221861,205830,189234,172014,154295,136101,117473,98476.8,79167.9,59610.8,39850,19962.1,0,
225,408967,408755,408122,407063,405573,403646,401276,398466,395135,391336,387053,382279,376960,371094,364671,357675,350095,341942,333116,323696,313660,302961,291659,279714,267141,253959,240227,225828,210860,195383,179421,162925,146002,128675,110981,92975.1,74705.3,56226.6,37576.4,18819.3,0,
250,400672,400443,399759,398617,397014,394944,392405,389405,385862,381837,377318,372304,366745,360643,353997,346796,339033,330726,321784,312287,302219,291542,280313,268501,256124,243200,229786,215781,201274,186321,170942,155098,138884,122319,105437,88286.3,70908.4,53350.8,35646.1,17849.7,0,
275,391843,391603,390884,389686,388006,385839,383187,380061,376378,372207,367537,362373,356667,350428,343657,336348,328500,320133,311165,301676,291653,281066,269970,258339,246194,233554,220471,206857,192794,178333,163495,148244,132667,116781,100616,84216.1,67617,50860.8,33976.1,17011.3,0,
300,382662,382414,381674,380441,378713,376487,373766,370564,366799,362544,357791,352546,346767,340465,333645,326304,318444,310087,301159,291739,281818,271370,260449,249033,237144,224801,212054,198824,185187,171192,156856,142151,127153,111880,96357.6,80625.8,64717.2,48669.2,32507.2,16274.2,0,
325,373273,373022,372270,371018,369265,367009,364254,361014,357212,352922,348137,342866,337069,330761,323949,316632,308815,300522,291683,282378,272599,262324,251607,240429,228810,216772,204361,191507,178280,164726,150862,136662,122196,107481,92541.7,77413.1,62125.3,46712,31196.2,15616.6,0,
350,363788,363536,362780,361522,359762,357498,354735,351489,347684,343394,338617,333361,327589,321318,314556,307305,299572,291381,282668,273510,263903,253826,243333,232406,221068,209337,197261,184773,171940,158805,145385,131657,117685,103485,89079.6,74501.7,59778.8,44941.5,30010.9,15022.3,0,
375,354293,354041,353288,352034,350279,348024,345273,342044,338261,334001,329261,324050,318335,312133,305454,298300,290681,282620,274059,265072,255656,245795,235538,224872,213818,202396,190649,178517,166065,153331,140331,127046,113536,99814.5,85903.7,71833.8,57630.3,43321.4,28926.8,14478.9,0,
400,344853,344603,343857,342613,340875,338641,335917,332721,328981,324770,320089,314946,309312,303202,296628,289595,282111,274202,265810,257011,247801,238165,228153,217753,206985,195868,184446,172661,160575,148224,135626,122760,109684,96411.3,82962.1,69364.9,55643.5,41824.3,27925.4,13977.1,0,
425,335516,335269,334532,333305,331590,329387,326702,323552,319867,315722,311115,306058,300521,294520,288069,281172,273839,266095,257886,249285,240290,230887,221124,210991,200508,189694,178589,167142,155409,143428,131212,118745,106080,93230.1,80214.8,67060.9,53790.6,40428.7,26992.3,13509.6,0,
450,326317,326074,325350,324143,322457,320291,317652,314558,310939,306870,302350,297390,291962,286083,279766,273016,265844,258275,250257,241861,233085,223919,214407,204541,194340,183824,173030,161911,150520,138893,127045,114958,102684,90235.6,77630.9,64895.2,52049.9,39118.2,26116.3,13070.8,0,
