
Inspected Vertex: 133
Time,P(Pa)
0,435167
25,435167
50,435163
75,435012
100,434160
125,431998
150,428265
175,423024
200,416499
225,408960
250,400664
275,391835
300,382654
325,373265
350,363780
375,354286
400,344845
425,335508
450,326309
475,317275
500,308423
525,299766
550,291313
575,283067
600,275030
625,267204
650,259587
675,252176
700,244968
725,237960
750,231147
775,224526
800,218091
825,211839
850,205764
875,199862
900,194129
925,188559
950,183148
975,177892
1000,172786
1025,167827
1050,163010
1075,158331
1100,153786
1125,149372
1150,145084
1175,140919
1200,136874
1225,132945
1250,129128
1275,125421
1300,121821
1325,118324
1350,114927
1375,111628
1400,108423
1425,105310
1450,102287
1475,99350.8
1500,96498.7
1525,93728.5
1550,91037.7
1575,88424.2
1600,85885.8
1625,83420.2
1650,81025.4
1675,78699.3
1700,76440
1725,74245.6
1750,72114.2
1775,70043.9
1800,68033.1
1825,66080
1850,64183
1875,62340.5
1900,60550.8
1925,58812.5
1950,57124.1
1975,55484.2
2000,53891.4
2025,52344.3
2050,50841.6
2075,49382
2100,47964.4
2125,46587.4
2150,45250
2175,43951
2200,42689.2
2225,41463.7
2250,40273.4
2275,39117.2
2300,37994.2
2325,36903.5
2350,35844.1
2375,34815.1
2400,33815.6
2425,32844.8
2450,31901.9
2475,30986.1
2500,30096.5
2525,29232.5
2550,28393.3
2575,27578.2
2600,26786.5
2625,26017.5
2650,25270.6
2675,24545.1
2700,23840.5
2725,23156.1
2750,22491.3
2775,21845.6
2800,21218.5
2825,20609.3
2850,20017.7
2875,19443
2900,18884.8
2925,18342.7
2950,17816.1
2975,17304.7
3000,16807.9
3025,16325.4
3050,15856.7
3075,15401.5
3100,14959.3
3125,14529.9
3150,14112.8
3175,13707.6
3200,13314.1
3225,12931.9
3250,12560.6
3275,12200
3300,11849.8
3325,11509.6
3350,11179.2
3375,10858.3
3400,10546.5
3425,10243.8
3450,9949.69
3475,9664.05
3500,9386.62
3525,9117.15
3550,8855.41
3575,8601.19
3600,8354.27
3625,8114.43
3650,7881.48
3675,7655.22
3700,7435.46
3725,7222
3750,7014.67
3775,6813.29
3800,6617.7
3825,6427.72
3850,6243.19
3875,6063.96
3900,5889.87
3925,5720.79
3950,5556.56
3975,5397.04
4000,5242.1
