
Inspected Vertex: 44
Time,P(Pa)
0,435167
25,435167
50,435163
75,435009
100,434151
125,431981
150,428242
175,422996
200,416468
225,408926
250,400630
275,391800
300,382619
325,373231
350,363747
375,354253
400,344814
425,335477
450,326280
475,317246
500,308396
525,299740
550,291287
575,283042
600,275007
625,267182
650,259565
675,252155
700,244948
725,237941
750,231129
775,224508
800,218075
825,211823
850,205749
875,199848
900,194115
925,188545
950,183135
975,177880
1000,172775
1025,167816
1050,162999
1075,158321
1100,153776
1125,149362
1150,145075
1175,140910
1200,136865
1225,132937
1250,129121
1275,125414
1300,121814
1325,118317
1350,114921
1375,111622
1400,108417
1425,105305
1450,102282
1475,99345.8
1500,96493.9
1525,93723.9
1550,91033.4
1575,88420.1
1600,85881.9
1625,83416.5
1650,81021.8
1675,78696
1700,76436.8
1725,74242.6
1750,72111.3
1775,70041.2
1800,68030.5
1825,66077.6
1850,64180.7
1875,62338.3
1900,60548.7
1925,58810.6
1950,57122.3
1975,55482.5
2000,53889.8
2025,52342.7
2050,50840.1
2075,49380.7
2100,47963.1
2125,46586.2
2150,45248.9
2175,43949.9
2200,42688.3
2225,41462.8
2250,40272.5
2275,39116.4
2300,37993.5
2325,36902.8
2350,35843.5
2375,34814.5
2400,33815.1
2425,32844.4
2450,31901.5
2475,30985.7
2500,30096.2
2525,29232.2
2550,28393
2575,27578
2600,26786.3
2625,26017.3
2650,25270.5
2675,24545
2700,23840.4
2725,23156
2750,22491.3
2775,21845.6
2800,21218.5
2825,20609.4
2850,20017.7
2875,19443.1
2900,18884.9
2925,18342.8
2950,17816.2
2975,17304.8
3000,16808
3025,16325.5
3050,15856.8
3075,15401.6
3100,14959.5
3125,14530.1
3150,14113
3175,13707.8
3200,13314.3
3225,12932.1
3250,12560.8
3275,12200.3
3300,11850
3325,11509.8
3350,11179.4
3375,10858.5
3400,10546.8
3425,10244
3450,9949.94
3475,9664.31
3500,9386.88
3525,9117.41
3550,8855.67
3575,8601.45
3600,8354.53
3625,8114.69
3650,7881.75
3675,7655.48
3700,7435.72
3725,7222.26
3750,7014.93
3775,6813.55
3800,6617.95
3825,6427.97
3850,6243.44
3875,6064.21
3900,5890.13
3925,5721.04
3950,5556.8
3975,5397.28
4000,5242.34
