
Inspected Vertex: 133
Time,sigmaYY(Pa)
0,-661537
25,-661537
50,-661540
75,-661659
100,-662326
125,-664015
150,-666926
175,-671008
200,-676088
225,-681956
250,-688411
275,-695280
300,-702422
325,-709726
350,-717103
375,-724488
400,-731830
425,-739091
450,-746245
475,-753271
500,-760155
525,-766887
550,-773461
575,-779874
600,-786123
625,-792210
650,-798133
675,-803897
700,-809502
725,-814952
750,-820249
775,-825398
800,-830402
825,-835264
850,-839988
875,-844578
900,-849037
925,-853368
950,-857576
975,-861663
1000,-865633
1025,-869490
1050,-873236
1075,-876875
1100,-880409
1125,-883842
1150,-887176
1175,-890415
1200,-893561
1225,-896616
1250,-899584
1275,-902467
1300,-905267
1325,-907986
1350,-910628
1375,-913193
1400,-915685
1425,-918106
1450,-920457
1475,-922740
1500,-924958
1525,-927112
1550,-929205
1575,-931237
1600,-933211
1625,-935129
1650,-936991
1675,-938800
1700,-940557
1725,-942263
1750,-943921
1775,-945531
1800,-947094
1825,-948613
1850,-950088
1875,-951521
1900,-952913
1925,-954265
1950,-955578
1975,-956853
2000,-958092
2025,-959295
2050,-960463
2075,-961598
2100,-962701
2125,-963771
2150,-964812
2175,-965822
2200,-966803
2225,-967756
2250,-968682
2275,-969581
2300,-970454
2325,-971302
2350,-972126
2375,-972926
2400,-973703
2425,-974458
2450,-975192
2475,-975904
2500,-976596
2525,-977267
2550,-977920
2575,-978554
2600,-979170
2625,-979768
2650,-980348
2675,-980913
2700,-981461
2725,-981993
2750,-982510
2775,-983012
2800,-983500
2825,-983973
2850,-984433
2875,-984880
2900,-985314
2925,-985736
2950,-986145
2975,-986543
3000,-986929
3025,-987305
3050,-987669
3075,-988023
3100,-988367
3125,-988701
3150,-989025
3175,-989340
3200,-989646
3225,-989944
3250,-990232
3275,-990513
3300,-990785
3325,-991050
3350,-991307
3375,-991556
3400,-991799
3425,-992034
3450,-992263
3475,-992485
3500,-992701
3525,-992910
3550,-993114
3575,-993311
3600,-993503
3625,-993690
3650,-993871
3675,-994047
3700,-994218
3725,-994384
3750,-994545
3775,-994702
3800,-994854
3825,-995002
3850,-995145
3875,-995284
3900,-995420
3925,-995551
3950,-995679
3975,-995803
4000,-995924
