
Inspected Vertex: 98
Time,sigmaYY(Pa)
0,-661537
25,-661537
50,-661540
75,-661660
100,-662332
125,-664028
150,-666946
175,-671035
200,-676121
225,-681993
250,-688452
275,-695323
300,-702466
325,-709770
350,-717148
375,-724533
400,-731874
425,-739135
450,-746289
475,-753314
500,-760197
525,-766928
550,-773501
575,-779912
600,-786161
625,-792246
650,-798169
675,-803931
700,-809535
725,-814984
750,-820281
775,-825429
800,-830432
825,-835293
850,-840016
875,-844605
900,-849063
925,-853394
950,-857601
975,-861687
1000,-865657
1025,-869513
1050,-873258
1075,-876896
1100,-880430
1125,-883862
1150,-887196
1175,-890434
1200,-893579
1225,-896634
1250,-899601
1275,-902483
1300,-905283
1325,-908002
1350,-910643
1375,-913208
1400,-915700
1425,-918120
1450,-920470
1475,-922753
1500,-924971
1525,-927125
1550,-929217
1575,-931249
1600,-933223
1625,-935140
1650,-937002
1675,-938810
1700,-940567
1725,-942273
1750,-943930
1775,-945540
1800,-947103
1825,-948622
1850,-950097
1875,-951529
1900,-952921
1925,-954272
1950,-955585
1975,-956860
2000,-958099
2025,-959301
2050,-960470
2075,-961605
2100,-962707
2125,-963777
2150,-964817
2175,-965827
2200,-966808
2225,-967761
2250,-968687
2275,-969586
2300,-970459
2325,-971307
2350,-972131
2375,-972931
2400,-973708
2425,-974463
2450,-975196
2475,-975908
2500,-976599
2525,-977271
2550,-977924
2575,-978557
2600,-979173
2625,-979771
2650,-980352
2675,-980916
2700,-981464
2725,-981996
2750,-982513
2775,-983015
2800,-983502
2825,-983976
2850,-984436
2875,-984883
2900,-985317
2925,-985738
2950,-986148
2975,-986545
3000,-986931
3025,-987307
3050,-987671
3075,-988025
3100,-988369
3125,-988703
3150,-989027
3175,-989342
3200,-989648
3225,-989945
3250,-990234
3275,-990514
3300,-990786
3325,-991051
3350,-991308
3375,-991557
3400,-991800
3425,-992035
3450,-992264
3475,-992486
3500,-992702
3525,-992911
3550,-993115
3575,-993312
3600,-993504
3625,-993691
3650,-993872
3675,-994048
3700,-994219
3725,-994385
3750,-994546
3775,-994702
3800,-994855
3825,-995002
3850,-995146
3875,-995285
3900,-995420
3925,-995552
3950,-995680
3975,-995804
4000,-995924
