
Inspected Vertex: 23
Time,sigmaYY(Pa)
0,-661537
25,-661537
50,-661541
75,-661672
100,-662373
125,-664111
150,-667071
175,-671198
200,-676315
225,-682210
250,-688685
275,-695567
300,-702717
325,-710025
350,-717404
375,-724788
400,-732127
425,-739385
450,-746534
475,-753555
500,-760432
525,-767158
550,-773726
575,-780132
600,-786375
625,-792455
650,-798372
675,-804129
700,-809728
725,-815172
750,-820463
775,-825607
800,-830605
825,-835461
850,-840180
875,-844764
900,-849218
925,-853544
950,-857747
975,-861830
1000,-865795
1025,-869647
1050,-873389
1075,-877023
1100,-880553
1125,-883982
1150,-887313
1175,-890548
1200,-893690
1225,-896742
1250,-899706
1275,-902585
1300,-905382
1325,-908098
1350,-910737
1375,-913299
1400,-915788
1425,-918206
1450,-920554
1475,-922835
1500,-925050
1525,-927202
1550,-929292
1575,-931322
1600,-933293
1625,-935208
1650,-937069
1675,-938875
1700,-940630
1725,-942335
1750,-943990
1775,-945598
1800,-947160
1825,-948677
1850,-950150
1875,-951581
1900,-952971
1925,-954322
1950,-955633
1975,-956907
2000,-958144
2025,-959345
2050,-960513
2075,-961646
2100,-962747
2125,-963817
2150,-964856
2175,-965865
2200,-966845
2225,-967796
2250,-968721
2275,-969619
2300,-970491
2325,-971338
2350,-972161
2375,-972960
2400,-973737
2425,-974491
2450,-975223
2475,-975934
2500,-976625
2525,-977296
2550,-977948
2575,-978581
2600,-979196
2625,-979793
2650,-980373
2675,-980937
2700,-981484
2725,-982016
2750,-982532
2775,-983034
2800,-983521
2825,-983994
2850,-984453
2875,-984900
2900,-985333
2925,-985754
2950,-986163
2975,-986560
3000,-986946
3025,-987321
3050,-987685
3075,-988039
3100,-988382
3125,-988716
3150,-989039
3175,-989354
3200,-989660
3225,-989957
3250,-990245
3275,-990525
3300,-990797
3325,-991061
3350,-991318
3375,-991567
3400,-991809
3425,-992044
3450,-992273
3475,-992495
3500,-992710
3525,-992919
3550,-993123
3575,-993320
3600,-993512
3625,-993698
3650,-993879
3675,-994055
3700,-994225
3725,-994391
3750,-994552
3775,-994709
3800,-994861
3825,-995008
3850,-995151
3875,-995291
3900,-995426
3925,-995557
3950,-995685
3975,-995809
4000,-995929
