X Coordinates:
9.8,10,9.6,9.4,9.2,9,8.8,8.6,8.4,8.2,8,7.8,7.6,7.4,7.2,7,6.8,6.6,6.4,6.2,6,5.8,5.6,5.4,5.2,5,4.8,4.6,4.4,4.2,4,3.8,3.6,3.4,3.2,3,2.8,2.6,2.4,2.2,2,1.8,1.6,1.4,1.2,1,0.8,0.6,0.4,0.2,0,

 Time(s),  u(m) on vertices
0,2.73611e-007,2.79195e-007,2.68027e-007,2.62443e-007,2.56859e-007,2.51275e-007,2.45692e-007,2.40108e-007,2.34524e-007,2.2894e-007,2.23356e-007,2.17772e-007,2.12188e-007,2.06604e-007,2.0102e-007,1.95437e-007,1.89853e-007,1.84269e-007,1.78685e-007,1.73101e-007,1.67517e-007,1.61933e-007,1.56349e-007,1.50765e-007,1.45181e-007,1.39598e-007,1.34014e-007,1.2843e-007,1.22846e-007,1.17262e-007,1.11678e-007,1.06094e-007,1.0051e-007,9.49264e-008,8.93424e-008,8.37585e-008,7.81746e-008,7.25907e-008,6.70068e-008,6.14229e-008,5.5839e-008,5.02551e-008,4.46712e-008,3.90873e-008,3.35034e-008,2.79195e-008,2.23356e-008,1.67517e-008,1.11678e-008,5.5839e-009,0,
25,2.6917e-007,2.72217e-007,2.6564e-007,2.61664e-007,2.5731e-007,2.52576e-007,2.47582e-007,2.42384e-007,2.37034e-007,2.31561e-007,2.26021e-007,2.20431e-007,2.14815e-007,2.09181e-007,2.03538e-007,1.97889e-007,1.92238e-007,1.86585e-007,1.80931e-007,1.75277e-007,1.69623e-007,1.63969e-007,1.58315e-007,1.52661e-007,1.47007e-007,1.41353e-007,1.35699e-007,1.30045e-007,1.24391e-007,1.18736e-007,1.13082e-007,1.07428e-007,1.01774e-007,9.612e-008,9.04659e-008,8.48118e-008,7.91576e-008,7.35035e-008,6.78494e-008,6.21953e-008,5.65412e-008,5.08871e-008,4.52329e-008,3.95788e-008,3.39247e-008,2.82706e-008,2.26165e-008,1.69624e-008,1.13082e-008,5.65412e-009,0,
50,2.66316e-007,2.69309e-007,2.62974e-007,2.59298e-007,2.55325e-007,2.51026e-007,2.46476e-007,2.41705e-007,2.36744e-007,2.31601e-007,2.26334e-007,2.2095e-007,2.1549e-007,2.09964e-007,2.04392e-007,1.98785e-007,1.93152e-007,1.87502e-007,1.8184e-007,1.7617e-007,1.70495e-007,1.64816e-007,1.59136e-007,1.53454e-007,1.47771e-007,1.42088e-007,1.36405e-007,1.30721e-007,1.25038e-007,1.19355e-007,1.13671e-007,1.07987e-007,1.02304e-007,9.66204e-008,9.09368e-008,8.52533e-008,7.95697e-008,7.38862e-008,6.82026e-008,6.25191e-008,5.68355e-008,5.1152e-008,4.54684e-008,3.97849e-008,3.41013e-008,2.84178e-008,2.27342e-008,1.70507e-008,1.13671e-008,5.68355e-009,0,
75,2.64085e-007,2.67058e-007,2.60823e-007,2.57283e-007,2.5349e-007,2.49412e-007,2.45106e-007,2.40592e-007,2.35889e-007,2.30994e-007,2.25961e-007,2.20784e-007,2.15506e-007,2.10135e-007,2.04689e-007,1.99183e-007,1.93627e-007,1.88032e-007,1.82408e-007,1.76761e-007,1.71098e-007,1.65421e-007,1.59735e-007,1.54043e-007,1.48346e-007,1.42646e-007,1.36944e-007,1.3124e-007,1.25536e-007,1.19831e-007,1.14125e-007,1.08419e-007,1.02713e-007,9.70069e-008,9.13007e-008,8.55944e-008,7.98881e-008,7.41819e-008,6.84756e-008,6.27693e-008,5.7063e-008,5.13567e-008,4.56504e-008,3.99441e-008,3.42378e-008,2.85315e-008,2.28252e-008,1.71189e-008,1.14126e-008,5.7063e-009,0,
100,2.62183e-007,2.65148e-007,2.58967e-007,2.55506e-007,2.51822e-007,2.47882e-007,2.43733e-007,2.3939e-007,2.34866e-007,2.30153e-007,2.25299e-007,2.20293e-007,2.15175e-007,2.0995e-007,2.04634e-007,1.99241e-007,1.93781e-007,1.88267e-007,1.82707e-007,1.77111e-007,1.71486e-007,1.65834e-007,1.60165e-007,1.54482e-007,1.48788e-007,1.43085e-007,1.37376e-007,1.31662e-007,1.25945e-007,1.20225e-007,1.14503e-007,1.0878e-007,1.03057e-007,9.73325e-008,9.16077e-008,8.58827e-008,8.01575e-008,7.44321e-008,6.87067e-008,6.29812e-008,5.72557e-008,5.15301e-008,4.58046e-008,4.0079e-008,3.43534e-008,2.86279e-008,2.29023e-008,1.71767e-008,1.14511e-008,5.72557e-009,0,
125,2.60495e-007,2.63456e-007,2.57308e-007,2.53901e-007,2.5029e-007,2.46445e-007,2.42407e-007,2.38187e-007,2.33795e-007,2.2922e-007,2.24506e-007,2.19638e-007,2.14655e-007,2.09556e-007,2.04359e-007,1.99074e-007,1.93712e-007,1.88283e-007,1.82798e-007,1.77265e-007,1.71693e-007,1.66082e-007,1.60445e-007,1.54786e-007,1.4911e-007,1.43416e-007,1.37712e-007,1.31999e-007,1.26279e-007,1.20552e-007,1.14822e-007,1.09088e-007,1.03352e-007,9.76138e-008,9.18746e-008,8.61343e-008,8.03933e-008,7.46519e-008,6.89101e-008,6.31679e-008,5.74257e-008,5.16833e-008,4.59408e-008,4.01983e-008,3.44557e-008,2.87131e-008,2.29705e-008,1.72279e-008,1.14853e-008,5.74263e-009,0,
150,2.5896e-007,2.61919e-007,2.55793e-007,2.52423e-007,2.48866e-007,2.45092e-007,2.41137e-007,2.3701e-007,2.3272e-007,2.28254e-007,2.23652e-007,2.18897e-007,2.14025e-007,2.09036e-007,2.03943e-007,1.98758e-007,1.93487e-007,1.88142e-007,1.82733e-007,1.77266e-007,1.71753e-007,1.66191e-007,1.60596e-007,1.54971e-007,1.49322e-007,1.43649e-007,1.37959e-007,1.32256e-007,1.26541e-007,1.20816e-007,1.15083e-007,1.09345e-007,1.03602e-007,9.78556e-008,9.21062e-008,8.63545e-008,8.06012e-008,7.48467e-008,6.90912e-008,6.33349e-008,5.75781e-008,5.18209e-008,4.60635e-008,4.03059e-008,3.45481e-008,2.87902e-008,2.30322e-008,1.72742e-008,1.15161e-008,5.75808e-009,0,
175,2.57541e-007,2.605e-007,2.54388e-007,2.51047e-007,2.47531e-007,2.43812e-007,2.39921e-007,2.35868e-007,2.31659e-007,2.27281e-007,2.2277e-007,2.18109e-007,2.13333e-007,2.08437e-007,2.03437e-007,1.98339e-007,1.93152e-007,1.87886e-007,1.82549e-007,1.7715e-007,1.71696e-007,1.66187e-007,1.60638e-007,1.55053e-007,1.49437e-007,1.43791e-007,1.38123e-007,1.32437e-007,1.26735e-007,1.21018e-007,1.1529e-007,1.09553e-007,1.03809e-007,9.80584e-008,9.23033e-008,8.65443e-008,8.07823e-008,7.50179e-008,6.92516e-008,6.34837e-008,5.77147e-008,5.19449e-008,4.61744e-008,4.04034e-008,3.4632e-008,2.88603e-008,2.30885e-008,1.73165e-008,1.15444e-008,5.77219e-009,0,
200,2.56214e-007,2.59174e-007,2.53072e-007,2.49753e-007,2.4627e-007,2.42594e-007,2.38755e-007,2.34762e-007,2.3062e-007,2.26314e-007,2.2188e-007,2.17299e-007,2.12603e-007,2.07789e-007,2.02869e-007,1.9785e-007,1.9274e-007,1.87546e-007,1.82277e-007,1.76941e-007,1.71547e-007,1.66091e-007,1.60589e-007,1.55047e-007,1.49468e-007,1.43854e-007,1.38213e-007,1.32548e-007,1.26864e-007,1.21161e-007,1.15442e-007,1.09712e-007,1.03971e-007,9.82222e-008,9.24657e-008,8.67034e-008,8.09362e-008,7.51652e-008,6.93912e-008,6.36143e-008,5.78355e-008,5.20552e-008,4.62736e-008,4.0491e-008,3.47077e-008,2.89239e-008,2.31395e-008,1.73549e-008,1.15701e-008,5.78506e-009,0,
225,2.54962e-007,2.57924e-007,2.51829e-007,2.48528e-007,2.4507e-007,2.4143e-007,2.37634e-007,2.33691e-007,2.29605e-007,2.2536e-007,2.20991e-007,2.16478e-007,2.11852e-007,2.07109e-007,2.0226e-007,1.97312e-007,1.9227e-007,1.87143e-007,1.81938e-007,1.76662e-007,1.71325e-007,1.6592e-007,1.60466e-007,1.54967e-007,1.49428e-007,1.43848e-007,1.38236e-007,1.32597e-007,1.26935e-007,1.21249e-007,1.15544e-007,1.09825e-007,1.04092e-007,9.83474e-008,9.25934e-008,8.68313e-008,8.10624e-008,7.5288e-008,6.95091e-008,6.37259e-008,5.79398e-008,5.21513e-008,4.63607e-008,4.05685e-008,3.4775e-008,2.89805e-008,2.31853e-008,1.73894e-008,1.15932e-008,5.79664e-009,0,
