
Inspected Vertex: 0
Time,P(Pa)
0,289.359
25,293.14
50,294.603
75,295.761
100,296.75
125,297.628
150,298.422
175,299.143
200,299.783
225,300.331
250,300.768
275,301.079
300,301.249
325,301.267
350,301.129
375,300.832
400,300.379
425,299.772
450,299.019
475,298.126
500,297.103
525,295.958
550,294.701
575,293.34
600,291.886
625,290.345
650,288.727
675,287.04
700,285.291
725,283.485
750,281.631
775,279.734
800,277.799
825,275.831
850,273.835
875,271.815
900,269.775
925,267.718
950,265.647
975,263.566
1000,261.477
1025,259.383
1050,257.285
1075,255.185
1100,253.087
1125,250.99
1150,248.897
1175,246.808
1200,244.726
1225,242.65
1250,240.583
1275,238.525
1300,236.476
1325,234.438
1350,232.41
1375,230.394
1400,228.391
1425,226.399
1450,224.421
1475,222.455
1500,220.503
1525,218.565
1550,216.641
1575,214.73
1600,212.835
1625,210.953
1650,209.086
1675,207.233
1700,205.395
1725,203.572
1750,201.763
1775,199.969
1800,198.19
1825,196.426
1850,194.676
1875,192.941
1900,191.22
1925,189.515
1950,187.823
1975,186.146
2000,184.484
2025,182.835
2050,181.201
2075,179.581
2100,177.976
2125,176.384
2150,174.806
2175,173.242
2200,171.691
2225,170.155
2250,168.631
2275,167.122
2300,165.625
2325,164.142
2350,162.672
2375,161.215
2400,159.77
2425,158.339
2450,156.92
2475,155.514
2500,154.121
2525,152.739
2550,151.371
2575,150.014
2600,148.669
2625,147.337
2650,146.016
2675,144.707
2700,143.41
2725,142.125
2750,140.85
2775,139.588
2800,138.336
2825,137.096
2850,135.867
2875,134.649
2900,133.441
2925,132.245
2950,131.059
2975,129.884
3000,128.72
3025,127.565
3050,126.422
3075,125.288
3100,124.165
3125,123.051
3150,121.948
3175,120.854
3200,119.771
3225,118.697
3250,117.632
3275,116.577
3300,115.532
3325,114.496
3350,113.469
3375,112.452
3400,111.443
3425,110.444
3450,109.454
3475,108.472
3500,107.499
3525,106.535
3550,105.58
3575,104.633
3600,103.695
3625,102.765
3650,101.844
3675,100.93
3700,100.025
3725,99.1282
3750,98.2393
3775,97.3583
3800,96.4852
3825,95.62
3850,94.7625
3875,93.9127
3900,93.0706
3925,92.2359
3950,91.4088
3975,90.5891
4000,89.7767
