X Coordinates:
9.8,10,9.6,9.4,9.2,9,8.8,8.6,8.4,8.2,8,7.8,7.6,7.4,7.2,7,6.8,6.6,6.4,6.2,6,5.8,5.6,5.4,5.2,5,4.8,4.6,4.4,4.2,4,3.8,3.6,3.4,3.2,3,2.8,2.6,2.4,2.2,2,1.8,1.6,1.4,1.2,1,0.8,0.6,0.4,0.2,0,

 Time(s),  P(Pa) on vertices
0,289.359,0,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,
25,50.6515,0,98.8432,142.639,181.072,212.098,236.668,255.39,269.127,278.149,284.323,287.961,290.262,291.561,292.274,292.651,292.838,292.927,292.968,292.985,292.993,292.996,292.997,292.997,292.997,292.997,292.997,292.997,292.997,292.997,292.997,292.997,292.997,292.997,292.997,292.997,292.997,292.997,292.997,292.997,292.997,292.997,292.997,292.997,292.997,292.997,292.997,292.997,292.997,292.997,292.997,
50,36.2265,0,71.5086,105.098,136.532,164.756,189.853,211.728,230.477,245.642,258.178,267.752,275.343,281.013,285.207,288.247,290.378,291.842,292.82,293.467,293.892,294.139,294.3,294.396,294.453,294.485,294.502,294.512,294.517,294.52,294.521,294.522,294.522,294.523,294.523,294.523,294.523,294.523,294.523,294.523,294.523,294.523,294.523,294.523,294.523,294.523,294.523,294.523,294.523,294.523,294.523,
75,29.7969,0,59.0434,87.3208,114.354,139.497,162.731,183.915,203.026,219.603,234.2,246.382,256.809,265.38,272.391,278.041,282.495,285.961,288.607,290.613,292.129,293.183,293.97,294.53,294.925,295.187,295.367,295.486,295.567,295.618,295.649,295.67,295.683,295.69,295.695,295.698,295.699,295.7,295.701,295.701,295.701,295.701,295.701,295.701,295.701,295.701,295.701,295.701,295.701,295.701,295.701,
100,25.9558,0,51.5309,76.4499,100.527,123.315,144.782,164.801,183.325,199.967,215.089,228.285,240.023,250.148,258.856,266.259,272.45,277.577,281.761,285.162,287.917,290.013,291.694,292.996,293.998,294.734,295.287,295.695,295.999,296.213,296.363,296.471,296.546,296.598,296.633,296.656,296.672,296.682,296.689,296.693,296.696,296.698,296.699,296.699,296.7,296.7,296.7,296.7,296.7,296.7,296.7,
125,23.3314,0,46.374,68.9292,90.8618,111.838,131.826,150.719,168.47,184.755,199.835,213.352,225.655,236.582,246.264,254.765,262.131,268.463,273.844,278.402,282.253,285.346,287.935,290.048,291.759,293.096,294.159,294.993,295.65,296.147,296.52,296.807,297.021,297.181,297.297,297.381,297.442,297.486,297.517,297.539,297.553,297.564,297.571,297.576,297.579,297.581,297.582,297.583,297.584,297.584,297.584,
150,21.393,0,42.5536,63.3303,83.6192,103.158,121.92,139.815,156.798,172.598,187.414,200.933,213.429,224.745,234.975,244.15,252.291,259.466,265.73,271.184,275.921,279.867,283.269,286.14,288.548,290.508,292.126,293.447,294.531,295.39,296.065,296.607,297.033,297.365,297.619,297.815,297.965,298.077,298.162,298.224,298.27,298.304,298.328,298.346,298.358,298.367,298.373,298.377,298.38,298.381,298.382,
175,19.8859,0,39.5774,58.9539,77.9327,96.3009,114.035,131.058,147.33,162.621,177.088,190.458,202.954,214.428,224.948,234.53,243.175,250.933,257.837,263.968,269.4,274.044,278.131,281.665,284.705,287.252,289.412,291.228,292.76,294.015,295.036,295.881,296.568,297.123,297.565,297.918,298.197,298.417,298.589,298.72,298.821,298.899,298.958,299.003,299.036,299.06,299.078,299.09,299.098,299.103,299.104,
200,18.6708,0,37.1744,55.4118,73.3152,90.707,107.567,123.829,139.458,154.254,168.347,181.497,193.888,205.385,216.04,225.856,234.826,242.983,250.347,256.984,262.953,268.156,272.808,276.903,280.493,283.567,286.229,288.515,290.484,292.138,293.518,294.688,295.663,296.473,297.136,297.68,298.124,298.483,298.774,299.001,299.184,299.328,299.442,299.53,299.598,299.649,299.687,299.714,299.733,299.743,299.746,
225,17.6644,0,35.1816,52.4689,69.4693,86.0315,102.138,117.732,132.781,147.111,160.832,173.73,185.962,197.403,208.094,218.032,227.203,235.63,243.324,250.337,256.719,262.366,267.477,272.041,276.099,279.635,282.745,285.461,287.84,289.877,291.611,293.107,294.381,295.459,296.362,297.12,297.751,298.274,298.708,299.056,299.342,299.574,299.761,299.909,300.026,300.117,300.186,300.236,300.271,300.29,300.296,
