X Coordinates:
0,10,10,0,10,10,0,0,3.52708,1.6658,1.17785,2.37786,6.0119,5.70387,6.54927,7.84921,8.52026,7.18626,4.85084,4.06652,5.39624,0.588925,9.26013,9.20404,9.60202,8.48649,6.01513,5.08081,6.78069,1.63785,0.849176,0.424588,3.87973,4.29272,3.39258,2.89359,2.4497,7.46663,7.932,3.06802,9.58743,9.41437,0.679113,0.505577,5.17995,4.61711,4.99398,4.25279,7.36355,7.83646,2.89152,2.50797,1.98953,6.82861,6.27989,7.61292,8.14336,3.41187,3.61662,3.9746,5.73862,5.83267,6.61708,1.37641,0.923254,1.687,8.63445,9.16642,8.45344,3.73424,3.0515,
Volumes:
0.106987,0.123809,0.0608253,0.0731229,0.176025,0.212238,0.168634,0.217726,0.0968474,0.129671,0.18228,0.164442,0.12324,0.105591,0.120156,0.290644,0.236471,0.15311,0.137764,0.21258,0.125858,0.235208,0.282678,0.17073,0.0953264,0.241189,0.341187,0.34723,0.314,0.314354,0.206598,0.138283,0.074094,0.186838,0.120666,0.0810627,0.205524,0.210513,0.181217,0.200958,0.159971,0.554068,0.499451,0.265876,0.298535,0.450682,0.643031,0.403143,0.376951,0.321949,0.657396,0.494223,0.496441,0.429068,0.289318,0.457791,0.279433,0.383137,0.329784,0.431308,0.332494,0.567443,0.612825,0.380565,0.351926,0.647314,0.379604,0.362211,0.490162,0.231881,0.256345,

 Time(s),  sigmaYY(Pa) on vertices
0,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,
25,-785.069,-829.178,-830.652,-785.069,-827.825,-828.345,-785.069,-785.069,-785.072,-785.069,-785.069,-785.069,-785.138,-785.115,-785.205,-786.685,-795.202,-785.462,-785.083,-785.078,-785.095,-785.069,-812.317,-803.606,-820.653,-794.806,-785.04,-785.054,-785.083,-785.069,-785.069,-785.069,-785.064,-785.059,-785.066,-785.067,-785.068,-785.329,-787.412,-785.07,-822.2,-814.84,-785.069,-785.069,-785.084,-785.077,-785.054,-785.066,-785.331,-787.446,-785.07,-785.069,-785.069,-785.318,-785.107,-786.06,-788.142,-785.067,-785.072,-785.07,-785.09,-785.046,-785.093,-785.069,-785.069,-785.069,-797.154,-807.897,-794.049,-785.066,-785.068,
50,-788.987,-836.497,-838.304,-788.987,-835.833,-836.356,-788.987,-788.987,-788.989,-788.987,-788.987,-788.987,-789.221,-789.122,-789.694,-794.893,-806.97,-791.536,-789.01,-788.997,-789.052,-788.987,-822.936,-816.034,-830.998,-806.476,-789.171,-788.995,-790.017,-788.987,-788.987,-788.987,-788.982,-788.976,-788.985,-788.986,-788.986,-791.504,-796.56,-788.987,-831.79,-824.996,-788.987,-788.987,-789.038,-789.001,-788.984,-788.985,-791.413,-796.406,-788.987,-788.987,-788.987,-790.586,-789.312,-793.535,-798.154,-788.985,-788.989,-788.988,-789.117,-789.163,-789.891,-788.987,-788.987,-788.987,-808.973,-819.445,-805.503,-788.984,-788.986,
75,-792.088,-841.417,-843.075,-792.089,-840.933,-841.385,-792.089,-792.089,-792.093,-792.087,-792.088,-792.088,-793.022,-792.651,-794.261,-802.139,-815.187,-797.615,-792.199,-792.116,-792.391,-792.088,-829.74,-823.775,-837.022,-814.594,-792.948,-792.277,-794.938,-792.09,-792.089,-792.089,-792.089,-792.104,-792.09,-792.091,-792.09,-797.632,-804.285,-792.088,-837.582,-831.499,-792.089,-792.089,-792.359,-792.165,-792.226,-792.123,-797.435,-804.005,-792.09,-792.089,-792.088,-795.821,-793.359,-800.387,-806.215,-792.091,-792.096,-792.111,-792.688,-792.886,-794.614,-792.088,-792.089,-792.089,-817.043,-826.687,-813.638,-792.093,-792.091,
100,-794.737,-845.261,-846.74,-794.738,-844.855,-845.239,-794.737,-794.737,-794.771,-794.734,-794.735,-794.738,-796.794,-796.073,-798.77,-808.284,-821.458,-803.195,-795.094,-794.85,-795.556,-794.736,-834.836,-829.462,-841.445,-820.796,-796.652,-795.338,-799.674,-794.74,-794.739,-794.738,-794.773,-794.871,-794.755,-794.747,-794.743,-803.237,-810.66,-794.744,-841.895,-836.389,-794.737,-794.738,-795.487,-795.002,-795.226,-794.903,-802.959,-810.317,-794.751,-794.742,-794.737,-800.786,-797.388,-806.344,-812.713,-794.761,-794.781,-794.846,-796.161,-796.511,-799.182,-794.736,-794.738,-794.74,-823.166,-832.053,-819.892,-794.78,-794.751,
125,-797.089,-848.489,-849.82,-797.091,-848.127,-848.459,-797.091,-797.09,-797.207,-797.087,-797.088,-797.105,-800.494,-799.434,-803.065,-813.547,-826.541,-808.201,-797.867,-797.395,-798.655,-797.089,-838.972,-834.027,-845.048,-825.845,-800.275,-798.313,-804.114,-797.1,-797.094,-797.092,-797.23,-797.472,-797.162,-797.124,-797.109,-808.261,-816.035,-797.129,-845.432,-840.377,-797.09,-797.091,-798.545,-797.697,-798.133,-797.517,-807.926,-815.661,-797.144,-797.111,-797.097,-805.379,-801.306,-811.525,-818.113,-797.177,-797.231,-797.383,-799.571,-800.051,-803.498,-797.089,-797.092,-797.101,-828.125,-836.388,-824.993,-797.24,-797.144,
150,-799.232,-851.312,-852.528,-799.234,-850.981,-851.274,-799.233,-799.233,-799.501,-799.237,-799.233,-799.285,-804.066,-802.712,-807.09,-818.135,-830.835,-812.692,-800.577,-799.842,-801.695,-799.233,-842.493,-837.883,-848.145,-830.129,-803.777,-801.228,-808.235,-799.259,-799.241,-799.235,-799.567,-799.995,-799.417,-799.323,-799.28,-812.766,-820.674,-799.343,-848.486,-843.787,-799.234,-799.234,-801.546,-800.316,-800.981,-800.047,-812.393,-820.284,-799.368,-799.291,-799.262,-809.6,-805.051,-816.088,-822.734,-799.442,-799.544,-799.814,-802.892,-803.476,-807.53,-799.235,-799.239,-799.261,-832.319,-840.069,-829.322,-799.577,-799.371,
175,-801.217,-853.848,-854.973,-801.218,-853.54,-853.804,-801.218,-801.217,-801.71,-801.241,-801.224,-801.337,-807.483,-805.883,-810.845,-822.202,-834.572,-816.748,-803.234,-802.23,-804.662,-801.22,-845.588,-841.249,-850.895,-833.869,-807.132,-804.078,-812.053,-801.273,-801.234,-801.22,-801.836,-802.47,-801.581,-801.406,-801.318,-816.835,-824.759,-801.444,-851.203,-846.793,-801.223,-801.219,-804.479,-802.882,-803.77,-802.522,-816.436,-824.362,-801.482,-801.344,-801.29,-813.481,-808.6,-820.159,-826.78,-801.614,-801.775,-802.18,-806.1,-806.765,-811.285,-801.229,-801.233,-801.279,-835.972,-843.296,-833.101,-801.843,-801.494,
200,-803.081,-856.169,-857.22,-803.081,-855.878,-856.12,-803.081,-803.081,-803.86,-803.14,-803.101,-803.3,-810.734,-808.936,-814.348,-825.861,-837.895,-820.441,-805.837,-804.573,-807.542,-803.088,-848.368,-844.256,-853.387,-837.202,-810.333,-806.853,-815.597,-803.183,-803.112,-803.084,-804.061,-804.902,-803.687,-803.412,-803.262,-820.539,-828.414,-803.468,-853.671,-849.502,-803.093,-803.083,-807.33,-805.397,-806.493,-804.951,-820.123,-828.015,-803.52,-803.308,-803.22,-817.064,-811.952,-823.838,-830.389,-803.726,-803.948,-804.497,-809.182,-809.91,-814.784,-803.109,-803.111,-803.193,-839.226,-846.188,-836.467,-804.061,-803.549,
225,-804.851,-858.319,-859.31,-804.849,-858.044,-858.268,-804.849,-804.851,-805.967,-804.961,-804.89,-805.201,-813.824,-811.864,-817.624,-829.191,-840.901,-823.833,-808.379,-806.875,-810.327,-804.865,-850.906,-846.988,-855.682,-840.22,-813.38,-809.547,-818.898,-805.014,-804.901,-804.854,-806.25,-807.291,-805.752,-805.366,-805.138,-823.938,-831.728,-805.437,-855.946,-851.98,-804.872,-804.854,-810.092,-807.858,-809.14,-807.334,-823.511,-831.33,-805.505,-805.209,-805.078,-820.388,-815.118,-827.197,-833.654,-805.792,-806.077,-806.771,-812.136,-812.911,-818.054,-804.905,-804.902,-805.031,-842.171,-848.823,-839.514,-806.243,-805.555,
250,-806.549,-860.333,-861.272,-806.544,-860.071,-860.28,-806.545,-806.548,-808.037,-806.725,-806.614,-807.055,-816.76,-814.671,-820.696,-832.253,-843.653,-826.969,-810.857,-809.134,-813.015,-806.572,-853.251,-849.5,-857.818,-842.987,-816.28,-812.157,-821.985,-806.787,-806.624,-806.552,-808.405,-809.633,-807.784,-807.279,-806.965,-827.081,-834.765,-807.363,-858.066,-854.275,-806.581,-806.553,-812.761,-810.263,-811.71,-809.668,-826.648,-834.37,-807.447,-807.062,-806.884,-823.487,-818.112,-830.291,-836.643,-807.821,-808.167,-809.001,-814.962,-815.774,-821.12,-806.636,-806.627,-806.812,-844.872,-851.252,-842.307,-808.389,-807.524,
