X Coordinates:
9.85075,10,9.7015,9.55224,9.40299,9.25374,9.10448,8.95523,8.80597,8.65672,8.50747,8.35821,8.20896,8.05971,7.91045,7.7612,7.61194,7.46269,7.31344,7.16418,7.01493,6.86567,6.71642,6.56717,6.41791,6.26866,6.11941,5.97015,5.8209,5.67164,5.52239,5.37314,5.22388,5.07463,4.92537,4.77612,4.62687,4.47761,4.32836,4.17911,4.02985,3.8806,3.73134,3.58209,3.43284,3.28358,3.13433,2.98507,2.83582,2.68657,2.53731,2.38806,2.23881,2.08955,1.9403,1.79104,1.64179,1.49254,1.34328,1.19403,1.04478,0.895522,0.746269,0.597015,0.447761,0.298507,0.149254,0,

 Time(s),  P(Pa) on vertices
0,289.359,0,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,
25,37.9596,0,74.9038,109.82,142.049,171.027,196.289,218.012,236.137,250.806,262.301,271.17,277.804,282.666,286.129,288.538,290.169,291.245,291.938,292.38,292.635,292.797,292.893,292.942,292.972,292.988,292.996,293.001,293.003,293.004,293.004,293.005,293.005,293.005,293.005,293.005,293.005,293.005,293.005,293.005,293.005,293.005,293.005,293.005,293.005,293.005,293.005,293.005,293.005,293.005,293.005,293.005,293.005,293.005,293.005,293.005,293.005,293.005,293.005,293.005,293.005,293.005,293.005,293.005,293.005,293.005,293.005,293.005,
50,27.0941,0,53.7948,79.7252,104.616,128.201,150.205,170.591,189.209,205.944,220.75,233.743,244.971,254.573,262.665,269.404,274.939,279.426,283.019,285.882,288.05,289.762,291.086,292.033,292.755,293.28,293.666,293.933,294.123,294.256,294.347,294.409,294.45,294.477,294.495,294.507,294.514,294.519,294.522,294.523,294.524,294.525,294.525,294.526,294.526,294.526,294.526,294.526,294.526,294.526,294.526,294.526,294.526,294.526,294.526,294.526,294.526,294.526,294.526,294.526,294.526,294.526,294.526,294.526,294.526,294.526,294.526,294.526,
75,22.2706,0,44.3089,65.9049,86.9061,107.153,126.474,144.826,162.093,178.168,192.976,206.544,218.849,229.93,239.812,248.556,256.22,262.881,268.623,273.556,277.651,281.147,284.093,286.448,288.411,289.995,291.286,292.292,293.096,293.725,294.215,294.593,294.88,295.098,295.262,295.384,295.474,295.541,295.588,295.623,295.647,295.665,295.677,295.685,295.691,295.695,295.698,295.699,295.701,295.701,295.702,295.702,295.703,295.703,295.703,295.703,295.703,295.703,295.703,295.703,295.703,295.703,295.703,295.703,295.703,295.703,295.703,295.703,
100,19.3933,0,38.624,57.5533,76.0807,94.0981,111.485,128.207,144.176,159.304,173.525,186.838,199.205,210.635,221.121,230.684,239.346,247.139,254.109,260.328,265.736,270.535,274.758,278.326,281.438,284.086,286.356,288.239,289.827,291.151,292.245,293.146,293.879,294.475,294.957,295.341,295.647,295.891,296.081,296.23,296.345,296.433,296.502,296.553,296.592,296.621,296.643,296.659,296.671,296.68,296.686,296.69,296.694,296.696,296.698,296.699,296.7,296.7,296.701,296.701,296.701,296.701,296.701,296.701,296.701,296.701,296.701,296.702,
125,17.4293,0,34.7337,51.8128,68.5938,84.9977,100.935,116.376,131.254,145.497,159.048,171.899,184.011,195.379,205.987,215.839,224.939,233.3,240.944,247.921,254.158,259.825,264.941,269.412,273.417,276.937,280.047,282.725,285.062,287.08,288.814,290.297,291.554,292.62,293.518,294.267,294.89,295.411,295.837,296.186,296.471,296.703,296.891,297.04,297.159,297.254,297.33,297.388,297.435,297.47,297.498,297.52,297.536,297.549,297.558,297.565,297.571,297.575,297.578,297.58,297.582,297.583,297.584,297.584,297.585,297.585,297.585,297.585,
150,15.9794,0,31.8574,47.5565,63.0214,78.1908,92.9944,107.409,121.38,134.848,147.765,160.121,171.878,183.028,193.551,203.443,212.699,221.323,229.325,236.739,243.491,249.723,255.446,260.559,265.224,269.412,273.189,276.522,279.498,282.13,284.449,286.485,288.258,289.803,291.143,292.294,293.282,294.131,294.851,295.46,295.974,296.406,296.771,297.069,297.318,297.523,297.693,297.83,297.944,298.034,298.108,298.167,298.215,298.253,298.283,298.306,298.325,298.34,298.351,298.36,298.367,298.372,298.376,298.379,298.381,298.382,298.383,298.383,
175,14.8526,0,29.6195,44.2386,58.6661,72.8526,86.7412,100.313,113.522,126.32,138.664,150.544,161.927,172.801,183.148,192.958,202.223,210.941,219.117,226.773,233.838,240.434,246.564,252.129,257.273,261.961,266.252,270.106,273.602,276.749,279.572,282.096,284.338,286.331,288.093,289.641,290.997,292.19,293.224,294.121,294.896,295.564,296.14,296.626,297.042,297.394,297.694,297.944,298.156,298.33,298.477,298.598,298.698,298.781,298.849,298.904,298.949,298.985,299.015,299.039,299.057,299.072,299.084,299.092,299.098,299.103,299.105,299.106,
200,13.9444,0,27.8143,41.5586,55.1413,68.5216,81.6523,94.5171,107.078,119.293,131.126,142.566,153.584,164.168,174.299,183.967,193.163,201.88,210.118,217.897,225.146,231.97,238.371,244.251,249.739,254.799,259.481,263.742,267.655,271.223,274.467,277.409,280.06,282.451,284.598,286.514,288.221,289.747,291.093,292.281,293.327,294.244,295.051,295.746,296.352,296.876,297.331,297.72,298.055,298.339,298.582,298.788,298.962,299.109,299.233,299.336,299.422,299.494,299.553,299.602,299.641,299.673,299.698,299.717,299.731,299.741,299.747,299.749,
225,13.1922,0,26.3184,39.3353,52.2128,64.9166,77.4064,89.6686,101.67,113.376,124.752,135.791,146.464,156.762,166.664,176.162,185.245,193.905,202.14,209.964,217.311,224.274,230.851,236.949,242.683,248.018,252.996,257.574,261.817,265.726,269.317,272.609,275.61,278.347,280.834,283.082,285.11,286.946,288.587,290.057,291.368,292.536,293.577,294.488,295.296,296.006,296.631,297.175,297.651,298.062,298.42,298.729,298.995,299.224,299.419,299.586,299.727,299.847,299.948,300.032,300.101,300.158,300.204,300.239,300.266,300.285,300.295,300.299,
