X Coordinates:
0,10,10,0,10,10,7.52846,7.24673,8.62686,9.1107,4.4779,4.2347,5.96874,0,10,8.96036,9.30718,6.11861,7.20553,4.2528,2.59606,2.06611,2.32883,4.95263,4.58686,3.04066,3.64428,8.09558,7.65076,5.41247,5.76828,6.37302,6.69203,8.54177,10,1.1363,0.730264,1.67385,1.40899,0.365132,0,0,0.484365,0,3.87727,9.50052,9.75026,6.78644,6.26949,7.78746,8.16812,5.24558,5.71567,4.74293,2.05055,1.72795,2.39903,2.67351,3.02711,3.5042,1.37517,0.969958,9.75833,9.51701,10,9.73182,9.86994,7.49222,7.12433,8.93386,4.37777,4.05441,5.95188,5.69436,1.39782,8.79335,9.19973,6.01649,5.73003,7.44092,4.53763,4.78736,5.28997,4.99525,4.59757,3.48237,3.3417,3.07366,3.12034,3.09778,3.32231,2.95601,2.75495,2.502,2.616,3.97077,4.21151,3.62475,3.64933,6.96752,6.5397,6.55174,4.99458,5.4451,6.40531,5.92724,6.25879,9.06927,9.47805,9.4372,8.39972,7.9029,9.74205,9.70072,7.72106,8.31007,8.14362,8.69679,9.69211,9.73553,1.09193,1.19688,0.809196,0.851448,0.944306,1.0033,0.536948,0.550978,1.38194,1.51318,1.87061,0.229028,0.271982,2.21105,2.29838,2.67706,2.03612,2.3641,1.89697,1.91433,1.49555,1.70046,0.443975,0.444947,6.33204,5.84374,5.6697,5.58543,3.86977,3.6087,3.75569,4.20397,4.42097,5.25724,4.74388,9.37403,9.01726,9.36984,8.64307,6.21895,6.6984,7.10306,6.67131,7.30611,7.53592,6.9821,7.85453,7.85539,8.32053,
Volumes:
0.0618273,0.0115426,0.0211856,0.0224089,0.0643169,0.0308659,0.0585676,0.0802704,0.0839312,0.0459075,0.0510809,0.0495584,0.0409336,0.116301,0.0435277,0.0435552,0.0275145,0.0510871,0.0703923,0.10749,0.070246,0.061347,0.0626242,0.0980905,0.0809845,0.109952,0.153069,0.105241,0.0909212,0.0701076,0.0446159,0.0304279,0.0810946,0.126534,0.0793158,0.0781363,0.0821945,0.0614125,0.0654381,0.0552816,0.0518492,0.0278823,0.108702,0.112614,0.0501739,0.0584316,0.0325061,0.102282,0.0846103,0.063387,0.0593681,0.114086,0.0661117,0.084753,0.0441769,0.0452734,0.0590533,0.068334,0.0884554,0.0662108,0.0903565,0.0877728,0.0362257,0.0314256,0.0400784,0.0547123,0.0233263,0.140466,0.172823,0.133534,0.125643,0.100266,0.0622632,0.126461,0.17009,0.162345,0.114677,0.167471,0.0635128,0.192307,0.139316,0.0974438,0.179782,0.166839,0.175155,0.08556,0.0950025,0.162845,0.175679,0.164462,0.146756,0.170989,0.126686,0.19145,0.176148,0.192898,0.173147,0.134593,0.312177,0.209583,0.124895,0.141767,0.228554,0.139802,0.103673,0.189204,0.133016,0.185551,0.063593,0.13773,0.247236,0.220995,0.071352,0.128434,0.191928,0.207394,0.125243,0.210177,0.154203,0.0770167,0.121796,0.118279,0.113172,0.1491,0.18237,0.179792,0.119677,0.167809,0.136649,0.180229,0.246008,0.0862875,0.0875012,0.129579,0.144589,0.162669,0.177385,0.174462,0.166892,0.133427,0.138965,0.111741,0.161356,0.193244,0.136217,0.11903,0.173037,0.14446,0.107879,0.0702741,0.0708577,0.148563,0.188213,0.26008,0.180156,0.184241,0.195207,0.181305,0.150616,0.199354,0.187835,0.186784,0.135807,0.141756,0.128713,0.138086,0.15114,0.130813,0.175005,

 Time(s),  P(Pa) on vertices
0,289.359,0,0,289.359,0,0,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,0,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,0,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,0,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,
25,293.11,0,0,293.11,0,0,290.841,292.27,254.413,195.756,293.11,293.11,293.107,293.11,0,216.541,161.256,293.1,292.369,293.11,293.11,293.11,293.11,293.11,293.11,293.11,293.11,282.239,290.007,293.11,293.109,293.082,293.018,261.711,0,293.11,293.11,293.11,293.11,293.11,293.11,293.11,293.11,293.11,293.11,121.306,63.0446,292.968,293.096,288.104,279.281,293.11,293.11,293.111,293.11,293.11,293.11,293.11,293.11,293.11,293.11,293.11,61.1042,117.825,0,67.2109,33.0546,291.118,292.536,220.6,293.11,293.11,293.107,293.11,293.11,237.752,181.261,293.105,293.109,291.514,293.11,293.11,293.11,293.11,293.11,293.11,293.11,293.11,293.11,293.11,293.11,293.11,293.11,293.11,293.11,293.11,293.11,293.11,293.11,292.84,293.055,293.059,293.11,293.11,293.077,293.109,293.096,202.469,126.483,135.779,269.622,286.368,65.1363,74.7276,289.098,274.027,278.988,247.532,77.2815,66.6408,293.11,293.11,293.11,293.11,293.11,293.11,293.11,293.11,293.11,293.11,293.11,293.11,293.11,293.11,293.11,293.11,293.11,293.11,293.11,293.11,293.11,293.11,293.11,293.11,293.09,293.109,293.109,293.11,293.11,293.11,293.11,293.11,293.11,293.11,293.11,149.158,209.991,149.403,252.295,293.1,293.008,292.615,293.014,291.989,290.776,292.77,287.174,286.88,273.32,
50,294.612,0,0,294.612,0,0,277.491,284.472,209.541,149.278,294.604,294.608,294.021,294.612,0,169.637,119.966,293.709,285.12,294.609,294.612,294.612,294.612,294.577,294.601,294.612,294.611,253.002,273.841,294.48,294.261,292.978,291.385,218.821,0,294.612,294.612,294.612,294.612,294.612,294.612,294.612,294.612,294.612,294.611,88.2288,45.0167,290.624,293.34,268.174,247.596,294.53,294.31,294.594,294.612,294.612,294.612,294.612,294.612,294.611,294.612,294.612,43.6923,85.704,0,48.2414,23.5299,278.629,286.484,173.017,294.606,294.61,294.021,294.318,294.612,191.002,136.612,293.952,294.276,280.155,294.603,294.589,294.519,294.571,294.6,294.611,294.612,294.612,294.612,294.612,294.612,294.612,294.612,294.612,294.612,294.611,294.609,294.611,294.612,288.86,292.219,292.202,294.575,294.465,292.842,294.1,293.383,155.397,92.2847,99.2347,231.03,263.169,46.596,53.7002,271.142,238.042,248.408,201.814,55.3402,47.6275,294.612,294.612,294.612,294.612,294.612,294.612,294.612,294.612,294.612,294.612,294.612,294.612,294.612,294.612,294.612,294.612,294.612,294.612,294.612,294.612,294.612,294.612,294.612,294.612,293.135,294.165,294.337,294.399,294.611,294.611,294.611,294.609,294.606,294.534,294.594,109.515,162.411,110.017,207.561,293.523,291.278,286.955,291.402,283.049,277.26,288.434,265.355,265.022,236.935,
75,295.779,0,0,295.779,0,0,259.982,270.989,181.493,125.604,295.614,295.686,292.382,295.779,0,144.047,100.015,291.269,272.19,295.686,295.778,295.779,295.779,295.3,295.568,295.776,295.759,227.788,254.514,294.576,293.414,288.925,284.646,190.538,0,295.779,295.779,295.779,295.779,295.779,295.779,295.779,295.779,295.779,295.74,73.0613,37.051,282.886,290.014,246.99,221.839,294.915,293.643,295.48,295.779,295.779,295.779,295.778,295.775,295.764,295.779,295.779,35.9474,70.9103,0,39.7451,19.3466,261.653,274.649,147.09,295.648,295.718,292.415,293.694,295.779,163.704,114.4,292.106,293.516,263.904,295.589,295.43,294.836,295.256,295.558,295.765,295.769,295.775,295.774,295.775,295.77,295.776,295.778,295.778,295.778,295.73,295.692,295.759,295.76,279.07,286.828,286.737,295.277,294.486,288.549,292.669,290.127,131,76.4366,82.2528,203.408,240.376,38.3439,44.2703,250.869,210.995,223.136,174.055,45.5876,39.2103,295.779,295.779,295.779,295.779,295.779,295.779,295.779,295.779,295.779,295.779,295.779,295.779,295.779,295.779,295.779,295.778,295.779,295.779,295.779,295.779,295.779,295.779,295.779,295.779,289.373,293.008,293.791,294.098,295.74,295.759,295.75,295.692,295.637,294.928,295.479,90.9612,137.323,91.4476,179.671,290.572,284.436,275.443,284.79,268.743,259.647,278.388,243.235,242.951,209.88,
100,296.772,0,0,296.772,0,0,243.732,257.024,162.394,110.703,295.954,296.247,288.342,296.772,0,127.519,87.7118,286.305,258.589,296.241,296.754,296.767,296.762,294.923,295.785,296.725,296.605,208.257,237.315,292.995,290.4,282.256,275.507,170.926,0,296.771,296.772,296.77,296.771,296.772,296.772,296.772,296.772,296.772,296.502,63.8812,32.2976,272.945,284.087,228.985,202.289,293.85,290.881,295.483,296.767,296.77,296.76,296.75,296.724,296.644,296.771,296.772,31.318,61.9513,0,34.653,16.856,245.673,261.759,130.333,296.087,296.392,288.438,291.007,296.771,145.622,100.553,287.799,290.645,248.304,295.861,295.334,293.641,294.793,295.753,296.647,296.678,296.719,296.714,296.716,296.681,296.731,296.746,296.757,296.753,296.447,296.267,296.607,296.608,267.554,278.897,278.723,294.841,292.783,281.648,288.868,284.256,115.548,66.8163,71.9311,183.592,221.684,33.41,38.6145,233.227,191.182,203.774,155.369,39.7546,34.184,296.771,296.771,296.772,296.772,296.772,296.772,296.772,296.772,296.771,296.771,296.769,296.772,296.772,296.764,296.763,296.75,296.767,296.761,296.768,296.768,296.771,296.77,296.772,296.772,282.993,289.597,291.211,291.874,296.504,296.61,296.556,296.271,296.039,293.863,295.479,79.6484,121.327,80.0973,160.705,285.015,275.235,262.738,275.801,254.297,243.34,266.739,224.826,224.583,190.123,
125,297.651,0,0,297.651,0,0,229.634,244.172,148.388,100.223,295.467,296.128,282.841,297.651,0,115.751,79.1647,279.983,245.962,296.108,297.553,297.615,297.591,293.4,295.103,297.436,297.05,192.919,222.744,289.996,285.885,274.488,265.825,156.427,0,297.647,297.65,297.635,297.642,297.651,297.651,297.651,297.651,297.651,296.769,57.5572,29.0476,262.696,276.932,214.093,187.082,291.45,286.618,294.479,297.616,297.633,297.583,297.536,297.435,297.171,297.643,297.648,28.1545,55.7867,0,31.1674,15.1553,231.707,249.566,118.38,295.761,296.484,283.007,286.827,297.643,132.575,90.8774,282.047,286.288,234.53,295.267,294.204,291.088,293.155,295.041,297.181,297.28,297.418,297.4,297.407,297.289,297.462,297.518,297.569,297.549,296.624,296.176,297.061,297.058,256.221,270.135,269.889,293.228,289.651,273.693,283.581,277.144,104.656,60.1878,64.8129,168.668,206.536,30.0375,34.74,218.462,176.079,188.638,141.758,35.7623,30.7463,297.647,297.646,297.649,297.649,297.649,297.648,297.651,297.651,297.643,297.64,297.628,297.651,297.651,297.604,297.595,297.537,297.618,297.588,297.627,297.625,297.64,297.634,297.651,297.651,275.461,284.705,287.142,288.172,296.774,297.07,296.917,296.187,295.651,291.45,294.472,71.8258,110.003,72.2417,146.809,278.158,265.519,250.646,266.248,241.176,229.212,255.342,209.778,209.568,175.08,
150,298.446,0,0,298.446,0,0,217.535,232.729,137.572,92.3385,294.181,295.306,276.646,298.446,0,106.833,72.786,273.12,234.654,295.264,298.141,298.316,298.245,290.941,293.586,297.849,297.018,180.558,210.428,286.041,280.539,266.49,256.419,145.178,0,298.425,298.439,298.382,298.408,298.444,298.446,298.446,298.443,298.446,296.472,52.8595,26.6446,252.901,269.404,201.691,174.893,288.079,281.492,292.589,298.321,298.376,298.223,298.098,297.849,297.268,298.412,298.432,25.8177,51.2134,0,28.5896,13.8988,219.665,238.518,109.307,294.676,295.943,276.879,281.781,298.41,122.604,83.6304,275.641,281.09,222.582,293.856,292.18,287.567,290.572,293.491,297.29,297.5,297.808,297.767,297.784,297.522,297.912,298.051,298.184,298.13,296.2,295.39,297.043,297.03,245.702,261.397,261.094,290.665,285.571,265.553,277.562,269.652,96.4504,55.2662,59.5242,156.952,194.084,27.546,31.8728,206.077,164.13,176.47,131.292,32.8088,28.204,298.427,298.422,298.437,298.436,298.433,298.431,298.442,298.442,298.411,298.401,298.358,298.445,298.445,298.282,298.258,298.099,298.325,298.237,298.353,298.348,298.401,298.38,298.444,298.444,267.643,279.035,282.194,283.558,296.482,297.063,296.759,295.412,294.488,288.059,292.579,66.0015,101.449,66.3905,136.084,270.856,256.095,239.652,256.944,229.587,217.099,244.797,197.339,197.153,163.185,
175,299.166,0,0,299.166,0,0,207.107,222.613,128.902,86.1293,292.235,293.86,270.233,299.166,0,99.7762,67.7916,266.185,224.62,293.793,298.479,298.845,298.692,287.812,291.397,297.922,296.499,170.355,199.924,281.525,274.823,258.685,247.597,136.133,0,299.106,299.144,298.995,299.06,299.161,299.166,299.165,299.157,299.166,295.629,49.1923,24.7747,243.814,261.951,191.22,164.869,284.09,275.959,290.018,298.855,298.981,298.645,298.395,297.926,296.913,299.07,299.125,24.0009,47.6473,0,26.5838,12.9215,209.255,228.635,102.118,292.944,294.816,270.525,276.318,299.065,114.669,77.9422,269.059,275.503,212.208,291.778,289.483,283.44,287.323,291.269,296.953,297.309,297.851,297.775,297.808,297.348,298.04,298.303,298.564,298.457,295.211,293.986,296.544,296.514,236.137,253.052,252.705,287.43,280.946,257.643,271.291,262.228,89.9842,51.4261,55.3957,147.456,183.665,25.6085,29.6407,195.57,154.393,166.442,122.928,30.5098,26.2256,299.11,299.097,299.138,299.135,299.128,299.121,299.154,299.154,299.066,299.041,298.938,299.163,299.163,298.769,298.717,298.395,298.864,298.673,298.926,298.915,299.042,298.99,299.158,299.158,259.974,273.056,276.817,278.464,295.648,296.578,296.086,294.021,292.67,284.044,290.006,61.4478,94.6946,61.8148,127.492,263.571,247.263,229.795,248.199,219.399,206.666,235.225,186.891,186.724,153.495,
200,299.806,0,0,299.806,0,0,198.042,213.658,121.753,81.0763,289.787,291.911,263.871,299.806,0,94.0132,63.7442,259.418,215.711,291.816,298.545,299.176,298.906,284.247,288.713,297.649,295.535,161.761,190.864,276.727,269.022,251.262,239.444,128.66,0,299.674,299.756,299.455,299.582,299.794,299.806,299.805,299.786,299.808,294.311,46.2268,23.2662,235.481,254.787,182.255,156.449,279.75,270.306,286.97,299.193,299.427,298.824,298.406,297.658,296.132,299.6,299.716,22.5361,44.7659,0,24.9656,12.1334,200.187,219.808,96.2423,290.708,293.198,264.212,270.725,299.59,108.163,73.3241,262.564,269.812,203.143,289.202,286.32,278.98,283.647,288.554,296.194,296.721,297.542,297.422,297.476,296.78,297.837,298.257,298.686,298.509,293.737,292.08,295.602,295.551,227.494,245.237,244.857,283.764,276.056,250.142,265.04,255.088,84.7193,48.3221,52.0572,139.564,174.802,24.0464,27.8392,186.543,146.268,158.006,116.048,28.6545,24.6294,299.684,299.656,299.744,299.737,299.721,299.707,299.779,299.78,299.594,299.542,299.345,299.801,299.799,299.04,298.949,298.406,299.209,298.872,299.323,299.303,299.546,299.443,299.788,299.789,252.651,267.043,271.294,273.176,294.339,295.653,294.952,292.129,290.348,279.677,286.954,57.7613,89.1871,58.1099,120.41,256.531,239.105,220.978,240.103,210.415,197.602,226.585,177.978,177.828,145.411,
225,300.354,0,0,300.354,0,0,190.09,205.691,115.73,76.8606,286.982,289.581,257.702,300.353,0,89.1923,60.3781,252.939,207.767,289.458,298.336,299.296,298.879,280.421,285.687,297.049,294.189,154.402,182.962,271.834,263.301,244.288,231.949,122.352,0,300.114,300.261,299.744,299.955,300.332,300.354,300.351,300.316,300.357,292.604,43.7647,22.0159,227.868,248.005,174.48,149.253,275.246,264.703,283.608,299.322,299.696,298.753,298.134,297.065,294.98,299.986,300.187,21.3227,42.3751,0,23.6245,11.4805,192.218,211.902,91.3233,288.102,291.192,258.084,265.173,299.969,102.702,69.4783,256.291,264.181,195.158,286.277,282.858,274.373,279.723,285.501,295.066,295.774,296.901,296.734,296.811,295.857,297.317,297.917,298.546,298.283,291.875,289.793,294.28,294.206,219.685,237.98,237.576,279.846,271.085,243.111,258.958,248.324,80.3251,45.7456,49.2855,132.873,167.154,22.7521,26.3458,178.694,139.36,150.787,110.26,27.1165,23.3063,300.133,300.082,300.238,300.227,300.196,300.172,300.304,300.304,299.975,299.888,299.563,300.344,300.341,299.083,298.943,298.132,299.347,298.826,299.527,299.497,299.894,299.723,300.321,300.321,245.752,261.153,265.8,267.875,292.643,294.35,293.434,289.854,287.661,275.148,283.591,54.6979,84.5854,55.0308,114.444,249.84,231.608,213.072,232.651,202.447,189.654,218.785,170.271,170.134,138.539,
