
Inspected Vertex: 0
Time,P(Pa)
0,289.359
25,293.11
50,294.612
75,295.779
100,296.772
125,297.651
150,298.446
175,299.166
200,299.806
225,300.354
250,300.791
275,301.102
300,301.272
325,301.291
350,301.153
375,300.856
400,300.402
425,299.795
450,299.041
475,298.148
500,297.123
525,295.978
550,294.719
575,293.357
600,291.901
625,290.36
650,288.741
675,287.052
700,285.301
725,283.495
750,281.639
775,279.741
800,277.805
825,275.836
850,273.839
875,271.818
900,269.776
925,267.719
950,265.647
975,263.566
1000,261.476
1025,259.381
1050,257.283
1075,255.183
1100,253.084
1125,250.987
1150,248.893
1175,246.804
1200,244.722
1225,242.646
1250,240.579
1275,238.52
1300,236.471
1325,234.433
1350,232.405
1375,230.389
1400,228.386
1425,226.394
1450,224.416
1475,222.45
1500,220.498
1525,218.56
1550,216.636
1575,214.726
1600,212.83
1625,210.948
1650,209.081
1675,207.229
1700,205.391
1725,203.568
1750,201.759
1775,199.966
1800,198.187
1825,196.422
1850,194.673
1875,192.938
1900,191.217
1925,189.511
1950,187.82
1975,186.143
2000,184.481
2025,182.833
2050,181.199
2075,179.579
2100,177.974
2125,176.382
2150,174.804
2175,173.24
2200,171.69
2225,170.153
2250,168.63
2275,167.121
2300,165.624
2325,164.141
2350,162.671
2375,161.214
2400,159.77
2425,158.339
2450,156.92
2475,155.514
2500,154.121
2525,152.74
2550,151.371
2575,150.015
2600,148.67
2625,147.338
2650,146.017
2675,144.708
2700,143.411
2725,142.126
2750,140.852
2775,139.589
2800,138.338
2825,137.098
2850,135.869
2875,134.651
2900,133.444
2925,132.247
2950,131.062
2975,129.887
3000,128.722
3025,127.568
3050,126.424
3075,125.291
3100,124.167
3125,123.054
3150,121.951
3175,120.857
3200,119.774
3225,118.7
3250,117.636
3275,116.581
3300,115.536
3325,114.5
3350,113.473
3375,112.456
3400,111.447
3425,110.448
3450,109.458
3475,108.476
3500,107.503
3525,106.54
3550,105.584
3575,104.638
3600,103.699
3625,102.769
3650,101.848
3675,100.935
3700,100.03
3725,99.1328
3750,98.2439
3775,97.363
3800,96.4899
3825,95.6247
3850,94.7673
3875,93.9175
3900,93.0754
3925,92.2408
3950,91.4137
3975,90.5941
4000,89.7817
