
Inspected Vertex: 115
Time,sigmaYY(Pa)
0,-774.943
25,-784.688
50,-788.773
75,-791.929
100,-794.605
125,-796.973
150,-799.124
175,-801.114
200,-802.978
225,-804.747
250,-806.441
275,-808.079
300,-809.673
325,-811.235
350,-812.773
375,-814.292
400,-815.797
425,-817.292
450,-818.779
475,-820.26
500,-821.734
525,-823.204
550,-824.669
575,-826.129
600,-827.583
625,-829.033
650,-830.477
675,-831.915
700,-833.347
725,-834.773
750,-836.191
775,-837.601
800,-839.004
825,-840.399
850,-841.786
875,-843.164
900,-844.533
925,-845.893
950,-847.244
975,-848.586
1000,-849.917
1025,-851.24
1050,-852.552
1075,-853.855
1100,-855.147
1125,-856.43
1150,-857.702
1175,-858.964
1200,-860.217
1225,-861.459
1250,-862.691
1275,-863.912
1300,-865.124
1325,-866.326
1350,-867.517
1375,-868.698
1400,-869.87
1425,-871.031
1450,-872.183
1475,-873.324
1500,-874.456
1525,-875.578
1550,-876.69
1575,-877.792
1600,-878.885
1625,-879.969
1650,-881.042
1675,-882.107
1700,-883.162
1725,-884.208
1750,-885.244
1775,-886.272
1800,-887.29
1825,-888.299
1850,-889.299
1875,-890.291
1900,-891.274
1925,-892.248
1950,-893.213
1975,-894.17
2000,-895.118
2025,-896.058
2050,-896.989
2075,-897.912
2100,-898.827
2125,-899.734
2150,-900.632
2175,-901.523
2200,-902.405
2225,-903.28
2250,-904.147
2275,-905.006
2300,-905.857
2325,-906.701
2350,-907.538
2375,-908.366
2400,-909.188
2425,-910.002
2450,-910.809
2475,-911.608
2500,-912.4
2525,-913.186
2550,-913.964
2575,-914.735
2600,-915.5
2625,-916.257
2650,-917.008
2675,-917.752
2700,-918.489
2725,-919.22
2750,-919.944
2775,-920.662
2800,-921.373
2825,-922.078
2850,-922.777
2875,-923.469
2900,-924.155
2925,-924.835
2950,-925.509
2975,-926.177
3000,-926.839
3025,-927.495
3050,-928.145
3075,-928.789
3100,-929.427
3125,-930.06
3150,-930.687
3175,-931.308
3200,-931.924
3225,-932.534
3250,-933.139
3275,-933.739
3300,-934.333
3325,-934.922
3350,-935.505
3375,-936.083
3400,-936.656
3425,-937.224
3450,-937.787
3475,-938.345
3500,-938.898
3525,-939.445
3550,-939.988
3575,-940.526
3600,-941.059
3625,-941.588
3650,-942.112
3675,-942.631
3700,-943.145
3725,-943.655
3750,-944.16
3775,-944.66
3800,-945.157
3825,-945.648
3850,-946.136
3875,-946.618
3900,-947.097
3925,-947.571
3950,-948.041
3975,-948.507
4000,-948.969
