
Inspected Vertex: 155
Time,P(Pa)
0,289.359
25,293.005
50,294.526
75,295.703
100,296.701
125,297.585
150,298.383
175,299.106
200,299.749
225,300.299
250,300.739
275,301.053
300,301.225
325,301.246
350,301.111
375,300.816
400,300.365
425,299.759
450,299.007
475,298.116
500,297.094
525,295.949
550,294.692
575,293.332
600,291.878
625,290.337
650,288.719
675,287.032
700,285.282
725,283.477
750,281.622
775,279.725
800,277.789
825,275.821
850,273.825
875,271.804
