
Inspected Vertex: 0
Time,sigmaYY(Pa)
0,-774.943
25,-785.069
50,-788.987
75,-792.088
100,-794.737
125,-797.089
150,-799.232
175,-801.217
200,-803.081
225,-804.851
250,-806.549
275,-808.191
300,-809.792
325,-811.36
350,-812.904
375,-814.43
400,-815.943
425,-817.444
450,-818.937
475,-820.423
500,-821.903
525,-823.378
550,-824.847
575,-826.311
600,-827.769
625,-829.222
650,-830.669
675,-832.109
700,-833.543
725,-834.97
750,-836.39
775,-837.802
800,-839.206
825,-840.601
850,-841.988
875,-843.367
900,-844.736
925,-846.096
950,-847.447
975,-848.788
1000,-850.12
1025,-851.441
1050,-852.753
1075,-854.055
1100,-855.347
1125,-856.629
1150,-857.9
1175,-859.162
1200,-860.413
1225,-861.654
1250,-862.885
1275,-864.106
1300,-865.316
1325,-866.517
1350,-867.707
1375,-868.887
1400,-870.057
1425,-871.218
1450,-872.368
1475,-873.508
1500,-874.639
1525,-875.759
1550,-876.87
1575,-877.972
1600,-879.063
1625,-880.145
1650,-881.218
1675,-882.281
1700,-883.335
1725,-884.379
1750,-885.415
1775,-886.441
1800,-887.458
1825,-888.466
1850,-889.465
1875,-890.456
1900,-891.437
1925,-892.41
1950,-893.374
1975,-894.329
2000,-895.276
2025,-896.215
2050,-897.145
2075,-898.067
2100,-898.981
2125,-899.886
2150,-900.784
2175,-901.673
2200,-902.555
2225,-903.428
2250,-904.294
2275,-905.152
2300,-906.003
2325,-906.845
2350,-907.68
2375,-908.508
2400,-909.329
2425,-910.142
2450,-910.947
2475,-911.746
2500,-912.537
2525,-913.321
2550,-914.099
2575,-914.869
2600,-915.632
2625,-916.389
2650,-917.138
2675,-917.881
2700,-918.618
2725,-919.348
2750,-920.071
2775,-920.788
2800,-921.498
2825,-922.202
2850,-922.9
2875,-923.591
2900,-924.276
2925,-924.955
2950,-925.628
2975,-926.295
3000,-926.956
3025,-927.611
3050,-928.26
3075,-928.903
3100,-929.541
3125,-930.173
3150,-930.799
3175,-931.42
3200,-932.035
3225,-932.644
3250,-933.248
3275,-933.847
3300,-934.44
3325,-935.028
3350,-935.611
3375,-936.188
3400,-936.76
3425,-937.327
3450,-937.889
3475,-938.446
3500,-938.998
3525,-939.545
3550,-940.087
3575,-940.625
3600,-941.157
3625,-941.685
3650,-942.208
3675,-942.726
3700,-943.24
3725,-943.749
3750,-944.253
3775,-944.753
3800,-945.248
3825,-945.739
3850,-946.226
3875,-946.708
3900,-947.186
3925,-947.66
3950,-948.129
3975,-948.594
4000,-949.055
