X Coordinates:
0,10,10,0,10,10,0,0,3.52708,1.6658,1.17785,2.37786,6.0119,5.70387,6.54927,7.84921,8.52026,7.18626,4.85084,4.06652,5.39624,0.588925,9.26013,9.20404,9.60202,8.48649,6.01513,5.08081,6.78069,1.63785,0.849176,0.424588,3.87973,4.29272,3.39258,2.89359,2.4497,7.46663,7.932,3.06802,9.58743,9.41437,0.679113,0.505577,5.17995,4.61711,4.99398,4.25279,7.36355,7.83646,2.89152,2.50797,1.98953,6.82861,6.27989,7.61292,8.14336,3.41187,3.61662,3.9746,5.73862,5.83267,6.61708,1.37641,0.923254,1.687,8.63445,9.16642,8.45344,3.73424,3.0515,
Volumes:
0.106987,0.123809,0.0608253,0.0731229,0.176025,0.212238,0.168634,0.217726,0.0968474,0.129671,0.18228,0.164442,0.12324,0.105591,0.120156,0.290644,0.236471,0.15311,0.137764,0.21258,0.125858,0.235208,0.282678,0.17073,0.0953264,0.241189,0.341187,0.34723,0.314,0.314354,0.206598,0.138283,0.074094,0.186838,0.120666,0.0810627,0.205524,0.210513,0.181217,0.200958,0.159971,0.554068,0.499451,0.265876,0.298535,0.450682,0.643031,0.403143,0.376951,0.321949,0.657396,0.494223,0.496441,0.429068,0.289318,0.457791,0.279433,0.383137,0.329784,0.431308,0.332494,0.567443,0.612825,0.380565,0.351926,0.647314,0.379604,0.362211,0.490162,0.231881,0.256345,

 Time(s),  P(Pa) on vertices
0,289.359,0,0,289.359,0,0,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,289.359,
25,293.14,0,0,293.14,0,0,293.14,293.14,293.14,293.14,293.14,293.14,293.131,293.132,293.109,288.149,261.567,292.517,293.137,293.139,293.134,293.14,169.443,180.963,99.6757,262.042,293.159,293.144,293.07,293.14,293.14,293.14,293.141,293.141,293.14,293.14,293.14,291.52,285.499,293.14,101.871,143.221,293.14,293.14,293.137,293.139,293.141,293.141,291.897,287.126,293.14,293.14,293.14,293.066,293.136,290.364,279.372,293.14,293.14,293.14,293.137,293.149,293.116,293.14,293.14,293.14,251.44,185.516,265.828,293.14,293.14,
50,294.603,0,0,294.603,0,0,294.603,294.603,294.603,294.603,294.603,294.603,293.95,294.299,292.148,266.971,219.959,285.334,294.585,294.603,294.488,294.603,126.721,135.278,71.168,221.259,294.035,294.574,290.642,294.603,294.603,294.603,294.603,294.602,294.603,294.603,294.603,279.592,261.225,294.603,73.2507,103.355,294.603,294.603,294.542,294.597,294.581,294.602,281.779,265.644,294.603,294.603,294.603,290.314,293.299,275.067,248.611,294.603,294.603,294.603,294.276,294.227,291.898,294.603,294.603,294.603,207.481,140.177,225.814,294.603,294.603,
75,295.761,0,0,295.761,0,0,295.761,295.761,295.748,295.761,295.761,295.761,292.017,293.556,286.549,244.739,192.136,272.528,295.39,295.708,294.584,295.761,105.898,113.173,58.5737,193.952,292.27,295.179,282.896,295.761,295.761,295.761,295.724,295.665,295.75,295.758,295.76,262.985,238.236,295.758,60.4364,85.4483,295.761,295.761,294.985,295.553,295.295,295.669,266.622,243.922,295.76,295.76,295.761,282.087,289.801,256.314,223.335,295.75,295.743,295.716,293.44,293.153,285.931,295.761,295.761,295.761,179.956,117.7,198.166,295.735,295.756,
100,296.75,0,0,296.75,0,0,296.75,296.75,296.614,296.749,296.75,296.74,287.649,290.731,278.477,226.094,172.666,259.049,295.191,296.376,293.005,296.75,93.0596,99.5724,51.1262,174.761,288.038,294.535,272.987,296.748,296.749,296.75,296.48,296.178,296.649,296.713,296.736,247.182,219.544,296.698,52.8116,74.735,296.75,296.75,294.043,295.73,294.878,296.208,251.692,225.725,296.72,296.734,296.747,271.778,283.727,239.387,203.958,296.643,296.583,296.426,290.482,289.836,277.47,296.749,296.75,296.748,161.161,103.73,178.595,296.546,296.698,
125,297.628,0,0,297.628,0,0,297.628,297.628,297.113,297.613,297.623,297.562,281.873,286.444,269.635,210.858,158.192,246.526,293.909,296.453,290.023,297.627,84.1149,90.0892,46.0411,160.415,282.329,292.656,262.777,297.612,297.626,297.627,296.738,295.978,297.23,297.456,297.551,233.298,204.445,297.389,47.5886,67.3743,297.627,297.627,291.814,294.98,293.281,296.055,238.308,210.789,297.472,297.542,297.6,261.274,276.471,224.947,188.808,297.207,297.026,296.592,286.052,285.02,268.28,297.62,297.625,297.612,147.351,93.9406,163.936,296.919,297.399,
150,298.422,0,0,298.422,0,0,298.422,298.422,297.171,298.361,298.4,298.2,275.469,281.325,260.856,198.283,146.923,235.301,291.715,295.893,286.096,298.418,77.4167,82.9744,42.274,149.188,275.941,289.817,253.016,298.361,298.412,298.42,296.431,295.051,297.417,297.932,298.177,221.292,192.052,297.769,43.7125,61.9041,298.417,298.419,288.632,293.383,290.73,295.193,226.582,198.408,297.961,298.152,298.315,251.308,268.881,212.69,176.629,297.369,297,296.157,280.801,279.407,259.212,298.388,298.409,298.36,136.667,86.5755,152.459,296.78,297.798,
175,299.143,0,0,299.141,0,0,299.141,299.143,296.773,298.975,299.076,298.621,268.901,275.817,252.493,187.736,137.84,225.33,288.85,294.746,281.615,299.128,72.1566,77.3768,39.3353,140.101,269.36,286.322,243.956,298.979,299.111,299.134,295.581,293.491,297.182,298.1,298.577,210.888,181.691,297.802,40.6853,57.6289,299.124,299.131,284.827,291.113,287.503,293.706,216.327,187.987,298.146,298.526,298.866,242.109,261.392,202.206,166.591,297.103,296.496,295.157,275.178,273.467,250.62,299.045,299.103,298.974,128.091,80.7708,143.17,296.133,297.855,
200,299.783,0,0,299.78,0,0,299.781,299.783,295.95,299.437,299.637,298.801,262.426,270.198,244.672,178.749,130.32,216.467,285.531,293.109,276.854,299.749,67.8839,72.8229,36.959,132.556,262.858,282.421,235.645,299.447,299.713,299.765,294.256,291.429,296.541,297.947,298.728,201.811,172.883,297.485,38.2356,54.1675,299.742,299.758,280.658,288.352,283.841,291.718,207.318,179.083,298.011,298.641,299.23,233.703,254.21,193.142,158.147,296.43,295.555,293.674,269.462,267.483,242.62,299.573,299.696,299.435,121.013,76.0427,135.457,295.03,297.565,
225,300.331,0,0,300.326,0,0,300.326,300.331,294.758,299.727,300.067,298.733,256.175,264.632,237.416,170.983,123.965,208.556,281.928,291.086,271.997,300.267,64.3239,69.0241,34.9859,126.164,256.574,278.3,228.048,299.746,300.202,300.297,292.544,288.99,295.538,297.485,298.622,193.823,165.285,296.839,36.2004,51.2908,300.254,300.284,276.307,285.256,279.924,289.353,199.349,171.374,297.566,298.493,299.391,226.042,247.419,185.223,150.919,295.394,294.239,291.805,263.814,261.613,235.226,299.956,300.172,299.724,115.043,72.0949,128.923,293.543,296.947,
250,300.768,0,0,300.761,0,0,300.761,300.769,293.258,299.836,300.349,298.423,250.21,259.213,230.706,164.19,118.502,201.458,278.168,288.772,267.159,300.665,61.2984,65.7927,33.3137,120.659,250.576,274.084,221.103,299.865,300.562,300.714,290.529,286.284,294.226,296.74,298.267,186.738,158.65,295.901,34.4746,48.8508,300.645,300.692,271.897,281.948,275.884,286.716,192.249,164.62,296.837,298.092,299.345,219.056,241.044,178.236,144.646,294.05,292.615,289.639,258.329,255.944,228.409,300.179,300.514,299.831,109.922,68.7342,123.297,291.749,296.036,
275,301.079,0,0,301.068,0,0,301.068,301.081,291.511,299.761,300.473,297.887,244.554,253.991,224.501,158.186,113.742,195.053,274.341,286.248,262.413,300.927,58.686,63.0004,31.8729,115.856,244.888,269.86,214.742,299.802,300.779,300.999,288.286,283.397,292.661,295.745,297.682,180.403,152.793,294.712,32.9872,46.7472,300.898,300.967,267.511,278.519,271.809,283.894,185.881,158.644,295.856,297.457,299.094,212.669,235.078,172.016,139.136,292.455,290.748,287.255,253.052,250.517,222.123,300.233,300.71,299.753,105.465,65.8286,118.387,289.717,294.873,
300,301.249,0,0,301.233,0,0,301.234,301.251,289.57,299.502,300.434,297.144,239.21,248.991,218.757,152.832,109.547,189.242,270.51,283.579,257.8,301.042,56.4006,60.5563,30.6148,111.617,239.513,265.686,208.901,299.556,300.842,301.14,285.878,280.398,290.893,294.536,296.886,174.701,147.575,293.311,31.6881,44.9094,301.002,301.095,263.201,275.035,267.761,280.953,180.132,153.31,294.66,296.611,298.647,206.813,229.501,166.438,134.246,290.659,288.693,284.715,248.007,245.349,216.318,300.116,300.75,299.49,101.541,63.2841,114.055,287.505,293.497,
325,301.267,0,0,301.248,0,0,301.248,301.27,287.48,299.066,300.227,296.214,234.167,244.22,213.431,148.02,105.813,183.944,266.716,280.816,253.344,301.001,54.3795,58.3937,29.5039,107.84,234.443,261.597,203.519,299.135,300.745,301.127,283.353,277.336,288.965,293.145,295.904,169.536,142.89,291.735,30.5406,43.2859,300.949,301.07,258.998,271.543,263.778,277.944,174.911,148.511,293.28,295.579,298.017,201.424,224.285,161.399,129.871,288.705,286.497,282.07,243.2,240.441,210.946,299.828,300.628,299.05,98.0527,61.0316,110.195,285.163,291.945,
350,301.129,0,0,301.105,0,0,301.105,301.133,285.279,298.461,299.857,295.119,229.411,239.677,208.48,143.664,102.462,179.089,262.989,277.998,249.058,300.801,52.5754,56.4626,28.5136,104.448,229.661,257.617,198.545,298.544,300.488,300.956,280.752,274.25,286.914,291.603,294.756,164.83,138.653,290.017,29.5174,41.8381,300.737,300.886,254.923,268.078,259.887,274.906,170.145,144.165,291.746,294.382,297.218,196.45,219.404,156.82,125.925,286.631,284.198,279.359,238.627,235.787,205.961,299.373,300.345,298.441,94.9246,59.0196,106.729,282.728,290.248,
375,300.832,0,0,300.803,0,0,300.804,300.837,282.998,297.698,299.326,293.878,224.923,235.356,203.867,139.698,99.4327,174.622,259.346,275.156,244.943,300.442,50.9521,54.7245,27.6236,101.38,225.151,253.758,193.934,297.796,300.071,300.626,278.104,271.168,284.769,289.934,293.464,160.52,134.798,288.184,28.5978,40.5365,300.366,300.542,250.984,264.663,256.102,271.866,165.772,140.206,290.086,293.043,296.263,191.843,214.827,152.635,122.344,284.465,281.825,276.612,234.282,231.375,201.324,298.758,299.902,297.673,92.0989,57.2081,103.593,280.232,288.434,
400,300.379,0,0,300.345,0,0,300.346,300.383,280.659,296.788,298.641,292.509,220.685,231.245,199.558,136.068,96.6771,170.495,255.799,272.309,240.998,299.927,49.4815,53.1494,26.8181,98.5874,220.892,250.025,189.646,296.899,299.498,300.14,275.433,268.109,282.556,288.161,292.046,156.554,131.271,286.259,27.7653,39.3581,299.838,300.043,247.186,261.311,252.433,268.844,161.743,136.579,288.32,291.581,295.167,187.562,210.531,148.793,119.074,282.233,279.404,273.853,230.152,227.192,196.999,297.991,299.304,296.757,89.5302,55.5659,100.739,277.698,286.526,
425,299.772,0,0,299.734,0,0,299.735,299.777,278.282,295.741,297.812,291.029,216.678,227.334,195.524,132.728,94.1565,166.667,252.353,269.476,237.219,299.26,48.141,51.7133,26.0846,96.0313,216.866,246.422,185.646,295.866,298.776,299.501,272.756,265.087,280.292,286.304,290.519,152.891,128.029,284.26,27.007,38.2847,299.16,299.391,243.528,258.034,248.881,265.856,158.015,133.242,286.467,290.013,293.944,183.571,206.489,145.248,116.074,279.952,276.952,271.096,226.225,223.223,192.955,297.083,298.558,295.706,87.1817,54.0684,98.127,275.144,284.543,
