
Inspected Vertex: 77
Time,u(m)
0,2.79195e-007
25,2.72241e-007
50,2.69325e-007
75,2.67071e-007
100,2.6516e-007
125,2.63467e-007
150,2.6193e-007
175,2.60511e-007
200,2.59184e-007
225,2.57934e-007
250,2.56748e-007
275,2.55616e-007
300,2.54531e-007
325,2.53488e-007
350,2.52481e-007
375,2.51507e-007
400,2.50562e-007
425,2.49644e-007
450,2.48751e-007
475,2.4788e-007
500,2.4703e-007
525,2.46199e-007
550,2.45385e-007
575,2.44588e-007
600,2.43807e-007
625,2.43041e-007
650,2.42288e-007
675,2.41548e-007
700,2.4082e-007
725,2.40104e-007
750,2.39399e-007
775,2.38704e-007
800,2.3802e-007
825,2.37345e-007
850,2.36679e-007
875,2.36022e-007
