Y Coordinates:
0.2,0,0.4,0.6,0.8,1,1.2,1.4,1.6,1.8,2,

 Time(s),  v(m) on vertices
0,-1.10828e-008,0,-2.21655e-008,-3.32483e-008,-4.43311e-008,-5.54138e-008,-6.64966e-008,-7.75793e-008,-8.86621e-008,-9.97449e-008,-1.10828e-007,
25,-1.12221e-008,0,-2.24442e-008,-3.36664e-008,-4.48885e-008,-5.61106e-008,-6.73328e-008,-7.85549e-008,-8.9777e-008,-1.00999e-007,-1.12221e-007,
50,-1.12805e-008,0,-2.25611e-008,-3.38416e-008,-4.51222e-008,-5.64027e-008,-6.76833e-008,-7.89638e-008,-9.02444e-008,-1.01525e-007,-1.12805e-007,
75,-1.13257e-008,0,-2.26514e-008,-3.39771e-008,-4.53028e-008,-5.66285e-008,-6.79541e-008,-7.92798e-008,-9.06055e-008,-1.01931e-007,-1.13257e-007,
100,-1.13639e-008,0,-2.27279e-008,-3.40919e-008,-4.54558e-008,-5.68198e-008,-6.81837e-008,-7.95477e-008,-9.09116e-008,-1.02276e-007,-1.1364e-007,
125,-1.13978e-008,0,-2.27956e-008,-3.41935e-008,-4.55913e-008,-5.69891e-008,-6.83869e-008,-7.97847e-008,-9.11826e-008,-1.0258e-007,-1.13978e-007,
150,-1.14286e-008,0,-2.28571e-008,-3.42857e-008,-4.57143e-008,-5.71429e-008,-6.85714e-008,-8e-008,-9.14286e-008,-1.02857e-007,-1.14286e-007,
175,-1.1457e-008,0,-2.29139e-008,-3.43709e-008,-4.58279e-008,-5.72848e-008,-6.87418e-008,-8.01988e-008,-9.16557e-008,-1.03113e-007,-1.1457e-007,
200,-1.14835e-008,0,-2.2967e-008,-3.44505e-008,-4.5934e-008,-5.74175e-008,-6.8901e-008,-8.03845e-008,-9.18679e-008,-1.03351e-007,-1.14835e-007,
225,-1.15085e-008,0,-2.3017e-008,-3.45255e-008,-4.6034e-008,-5.75425e-008,-6.9051e-008,-8.05595e-008,-9.2068e-008,-1.03576e-007,-1.15085e-007,
250,-1.15322e-008,0,-2.30644e-008,-3.45967e-008,-4.61289e-008,-5.76611e-008,-6.91933e-008,-8.07255e-008,-9.22578e-008,-1.0379e-007,-1.15322e-007,
275,-1.15549e-008,0,-2.31097e-008,-3.46646e-008,-4.62194e-008,-5.77743e-008,-6.93292e-008,-8.0884e-008,-9.24389e-008,-1.03994e-007,-1.15549e-007,
300,-1.15766e-008,0,-2.31531e-008,-3.47297e-008,-4.63062e-008,-5.78828e-008,-6.94593e-008,-8.10359e-008,-9.26124e-008,-1.04189e-007,-1.15766e-007,
325,-1.15974e-008,0,-2.31949e-008,-3.47923e-008,-4.63897e-008,-5.79871e-008,-6.95845e-008,-8.11819e-008,-9.27794e-008,-1.04377e-007,-1.15974e-007,
350,-1.16176e-008,0,-2.32351e-008,-3.48527e-008,-4.64703e-008,-5.80878e-008,-6.97054e-008,-8.13229e-008,-9.29405e-008,-1.04558e-007,-1.16176e-007,
375,-1.1637e-008,0,-2.32741e-008,-3.49111e-008,-4.65482e-008,-5.81852e-008,-6.98222e-008,-8.14593e-008,-9.30963e-008,-1.04733e-007,-1.1637e-007,
400,-1.16559e-008,0,-2.33119e-008,-3.49678e-008,-4.66237e-008,-5.82797e-008,-6.99356e-008,-8.15915e-008,-9.32474e-008,-1.04903e-007,-1.16559e-007,
425,-1.16743e-008,0,-2.33486e-008,-3.50229e-008,-4.66972e-008,-5.83714e-008,-7.00457e-008,-8.172e-008,-9.33943e-008,-1.05069e-007,-1.16743e-007,
450,-1.16922e-008,0,-2.33843e-008,-3.50765e-008,-4.67686e-008,-5.84608e-008,-7.01529e-008,-8.1845e-008,-9.35372e-008,-1.05229e-007,-1.16922e-007,
475,-1.17096e-008,0,-2.34192e-008,-3.51287e-008,-4.68383e-008,-5.85479e-008,-7.02574e-008,-8.19669e-008,-9.36765e-008,-1.05386e-007,-1.17096e-007,
