X Coordinates:
5.41247,5.76828,8.96036,9.30718,8.54177,7.20553,7.65076,6.69203,1.1363,1.40899,0.730264,6.11861,6.37302,8.09558,2.59606,3.04066,2.32883,3.64428,4.2528,4.58686,0,0.365132,9.75833,10,1.67385,4.95263,9.51701,2.06611,

 Time(s),  sigmaYY(Pa) on vertices
0,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,
25,-784.991,-784.991,-798.222,-808.552,-792.333,-785.164,-785.76,-785,-784.99,-784.99,-784.99,-784.993,-784.996,-787.584,-784.99,-784.99,-784.99,-784.99,-784.99,-784.99,-784.99,-784.99,-829.874,-836.013,-784.99,-784.99,-819.231,-784.99,
50,-789.038,-789.09,-811.814,-821.471,-804.392,-790.882,-793.314,-789.686,-789.011,-789.011,-789.011,-789.198,-789.367,-797.602,-789.011,-789.011,-789.011,-789.011,-789.012,-789.014,-789.011,-789.011,-837.654,-842.003,-789.011,-789.022,-829.843,-789.011,
75,-792.357,-792.617,-820.313,-829.007,-812.944,-796.648,-800.361,-794.425,-792.138,-792.138,-792.138,-793.021,-793.548,-805.733,-792.138,-792.139,-792.138,-792.144,-792.154,-792.186,-792.138,-792.138,-842.562,-846.123,-792.138,-792.252,-836.091,-792.138,
100,-795.481,-796.059,-826.509,-834.433,-819.45,-802.039,-806.475,-799.104,-794.796,-794.796,-794.796,-796.821,-797.72,-812.277,-794.8,-794.809,-794.798,-794.84,-794.887,-795.01,-794.796,-794.796,-846.344,-849.439,-794.797,-795.202,-840.688,-794.797,
125,-798.548,-799.468,-831.423,-838.743,-824.705,-806.939,-811.768,-803.543,-797.154,-797.156,-797.154,-800.559,-801.77,-817.71,-797.176,-797.208,-797.167,-797.296,-797.418,-797.69,-797.153,-797.153,-849.506,-852.284,-797.158,-798.052,-844.412,-797.161,
150,-801.568,-802.807,-835.532,-842.367,-829.13,-811.372,-816.408,-807.685,-799.301,-799.306,-799.298,-804.173,-805.628,-822.355,-799.364,-799.441,-799.341,-799.618,-799.847,-800.303,-799.297,-799.297,-852.269,-854.814,-799.313,-800.85,-847.592,-799.324,
175,-804.526,-806.042,-839.088,-845.526,-832.972,-815.4,-820.533,-811.531,-801.291,-801.304,-801.285,-807.628,-809.269,-826.42,-801.429,-801.569,-801.381,-801.859,-802.216,-802.871,-801.279,-801.28,-854.752,-857.116,-801.321,-803.599,-850.401,-801.346,
200,-807.403,-809.154,-842.244,-848.347,-836.381,-819.083,-824.248,-815.103,-803.164,-803.189,-803.15,-810.915,-812.695,-830.043,-803.409,-803.628,-803.328,-804.047,-804.542,-805.395,-803.139,-803.142,-857.026,-859.244,-803.222,-806.29,-852.938,-803.267,
225,-810.192,-812.137,-845.095,-850.914,-839.458,-822.473,-827.632,-818.431,-804.949,-804.991,-804.924,-814.035,-815.919,-833.32,-805.329,-805.638,-805.209,-806.194,-806.829,-807.871,-804.903,-804.908,-859.136,-861.234,-805.044,-808.916,-855.266,-805.116,
250,-812.885,-814.992,-847.707,-853.279,-842.272,-825.616,-830.743,-821.543,-806.666,-806.729,-806.628,-816.997,-818.959,-836.319,-807.206,-807.61,-807.041,-808.304,-809.075,-810.292,-806.594,-806.602,-861.114,-863.11,-806.807,-811.469,-857.429,-806.912,
275,-815.484,-817.723,-850.126,-855.482,-844.872,-828.546,-833.627,-824.465,-808.331,-808.42,-808.277,-819.811,-821.83,-839.09,-809.049,-809.55,-808.835,-810.378,-811.279,-812.656,-808.229,-808.24,-862.982,-864.89,-808.525,-813.948,-859.457,-808.666,
300,-817.989,-820.337,-852.385,-857.55,-847.295,-831.292,-836.318,-827.219,-809.958,-810.075,-809.886,-822.489,-824.551,-841.672,-810.862,-811.461,-810.598,-812.417,-813.439,-814.96,-809.82,-809.835,-864.758,-866.59,-810.21,-816.351,-861.371,-810.389,
325,-820.405,-822.842,-854.51,-859.504,-849.57,-833.879,-838.844,-829.824,-811.555,-811.701,-811.464,-825.044,-827.136,-844.092,-812.65,-813.343,-812.337,-814.42,-815.553,-817.203,-811.38,-811.399,-866.454,-868.218,-811.867,-818.681,-863.19,-812.086,
350,-822.735,-825.245,-856.521,-861.361,-851.717,-836.327,-841.229,-832.297,-813.13,-813.305,-813.018,-827.485,-829.598,-846.374,-814.414,-815.197,-814.052,-816.386,-817.622,-819.387,-812.915,-812.939,-868.08,-869.785,-813.502,-820.938,-864.926,-813.76,
375,-824.985,-827.555,-858.434,-863.134,-853.754,-838.652,-843.489,-834.652,-814.686,-814.891,-814.555,-829.822,-831.949,-848.537,-816.155,-817.023,-815.747,-818.317,-819.645,-821.511,-814.432,-814.461,-869.646,-871.297,-815.119,-823.126,-866.59,-815.416,
400,-827.159,-829.777,-860.26,-864.833,-855.695,-840.868,-845.64,-836.901,-816.228,-816.462,-816.078,-832.065,-834.2,-850.595,-817.875,-818.822,-817.423,-820.211,-821.623,-823.579,-815.935,-815.969,-871.157,-872.759,-816.719,-825.249,-868.19,-817.054,
