X Coordinates:
9.8,10,9.6,9.4,9.2,9,8.8,8.6,8.4,8.2,8,7.8,7.6,7.4,7.2,7,6.8,6.6,6.4,6.2,6,5.8,5.6,5.4,5.2,5,4.8,4.6,4.4,4.2,4,3.8,3.6,3.4,3.2,3,2.8,2.6,2.4,2.2,2,1.8,1.6,1.4,1.2,1,0.8,0.6,0.4,0.2,0,

 Time(s),  sigmaYY(Pa) on vertices
0,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,
25,-832.004,-837.307,-823.055,-814.852,-806.286,-800.477,-795.992,-791.877,-790.051,-787.639,-786.557,-785.722,-785.256,-784.987,-784.835,-784.753,-784.714,-784.698,-784.691,-784.689,-784.687,-784.687,-784.687,-784.687,-784.687,-784.687,-784.687,-784.688,-784.688,-784.688,-784.688,-784.688,-784.688,-784.688,-784.688,-784.688,-784.688,-784.688,-784.688,-784.688,-784.688,-784.688,-784.688,-784.688,-784.688,-784.688,-784.688,-784.688,-784.688,-784.688,-784.688,
50,-839.103,-842.944,-832.514,-826.211,-819.151,-813.882,-809.402,-804.642,-802.012,-798.218,-796.001,-793.978,-792.534,-791.453,-790.619,-789.997,-789.569,-789.276,-789.103,-788.983,-788.892,-788.851,-788.816,-788.802,-788.788,-788.78,-788.776,-788.775,-788.773,-788.773,-788.773,-788.773,-788.773,-788.773,-788.773,-788.773,-788.773,-788.773,-788.773,-788.773,-788.773,-788.773,-788.773,-788.773,-788.773,-788.773,-788.773,-788.773,-788.773,-788.773,-788.773,
75,-843.707,-846.88,-838.234,-832.922,-826.827,-822.129,-818.01,-813.409,-810.682,-806.605,-803.988,-801.449,-799.488,-797.878,-796.503,-795.364,-794.475,-793.773,-793.306,-792.937,-792.609,-792.433,-792.264,-792.182,-792.092,-792.03,-791.994,-791.972,-791.955,-791.945,-791.939,-791.935,-791.933,-791.931,-791.93,-791.93,-791.93,-791.929,-791.929,-791.929,-791.929,-791.929,-791.929,-791.929,-791.929,-791.929,-791.929,-791.929,-791.929,-791.929,-791.929,
100,-847.307,-850.077,-842.517,-837.833,-832.392,-828.13,-824.338,-819.992,-817.326,-813.265,-810.531,-807.792,-805.591,-803.7,-802,-800.518,-799.283,-798.239,-797.5,-796.878,-796.28,-795.93,-795.57,-795.378,-795.157,-794.989,-794.878,-794.806,-794.741,-794.697,-794.67,-794.65,-794.635,-794.624,-794.618,-794.614,-794.61,-794.608,-794.607,-794.606,-794.606,-794.605,-794.605,-794.605,-794.605,-794.605,-794.605,-794.605,-794.605,-794.605,-794.605,
125,-850.348,-852.841,-846.029,-841.788,-836.825,-832.9,-829.376,-825.275,-822.707,-818.75,-816.008,-813.209,-810.904,-808.868,-806.982,-805.287,-803.817,-802.522,-801.572,-800.741,-799.902,-799.387,-798.832,-798.521,-798.147,-797.848,-797.634,-797.489,-797.349,-797.247,-797.18,-797.126,-797.083,-797.051,-797.028,-797.014,-797.002,-796.993,-796.986,-796.982,-796.979,-796.977,-796.976,-796.975,-796.974,-796.974,-796.973,-796.973,-796.973,-796.973,-796.973,
150,-853.026,-855.313,-849.058,-845.149,-840.555,-836.896,-833.593,-829.709,-827.244,-823.416,-820.711,-817.913,-815.573,-813.467,-811.477,-809.652,-808.027,-806.555,-805.448,-804.457,-803.422,-802.765,-802.037,-801.612,-801.092,-800.658,-800.331,-800.103,-799.873,-799.696,-799.574,-799.473,-799.388,-799.321,-799.272,-799.237,-799.208,-799.185,-799.168,-799.155,-799.146,-799.14,-799.135,-799.131,-799.129,-799.127,-799.126,-799.125,-799.125,-799.125,-799.124,
175,-855.444,-857.571,-851.75,-848.104,-843.803,-840.363,-837.243,-833.549,-831.182,-827.484,-824.835,-822.068,-819.729,-817.596,-815.551,-813.648,-811.921,-810.325,-809.105,-807.993,-806.804,-806.033,-805.157,-804.633,-803.98,-803.419,-802.983,-802.67,-802.346,-802.088,-801.903,-801.745,-801.609,-801.497,-801.411,-801.348,-801.294,-801.25,-801.215,-801.188,-801.169,-801.154,-801.142,-801.133,-801.127,-801.122,-801.118,-801.116,-801.115,-801.114,-801.114,
200,-857.666,-859.665,-854.195,-850.763,-846.703,-843.445,-840.481,-836.952,-834.674,-831.101,-828.514,-825.794,-823.475,-821.338,-819.268,-817.321,-815.528,-813.847,-812.544,-811.342,-810.034,-809.171,-808.174,-807.565,-806.797,-806.123,-805.585,-805.193,-804.778,-804.436,-804.186,-803.968,-803.775,-803.612,-803.482,-803.386,-803.3,-803.228,-803.17,-803.123,-803.088,-803.06,-803.038,-803.02,-803.007,-802.997,-802.989,-802.985,-802.981,-802.979,-802.978,
225,-859.734,-861.626,-856.447,-853.194,-849.337,-846.234,-843.404,-840.02,-837.823,-834.366,-831.844,-829.176,-826.886,-824.761,-822.685,-820.715,-818.881,-817.142,-815.78,-814.511,-813.111,-812.174,-811.08,-810.399,-809.534,-808.761,-808.132,-807.668,-807.167,-806.745,-806.43,-806.152,-805.9,-805.684,-805.506,-805.372,-805.249,-805.146,-805.058,-804.987,-804.932,-804.888,-804.851,-804.821,-804.799,-804.781,-804.767,-804.759,-804.751,-804.748,-804.747,
