Y Coordinates:
0.153846,0,0.307692,0.461538,0.615385,0.769231,0.923077,1.07692,1.23077,1.38462,1.53846,1.69231,1.84615,2,

 Time(s),  v(m) on vertices
0,-8.5252e-009,0,-1.70504e-008,-2.55756e-008,-3.41008e-008,-4.2626e-008,-5.11512e-008,-5.96764e-008,-6.82016e-008,-7.67268e-008,-8.5252e-008,-9.37772e-008,-1.02302e-007,-1.10828e-007,
25,-8.63262e-009,0,-1.72652e-008,-2.58979e-008,-3.45305e-008,-4.31631e-008,-5.17957e-008,-6.04283e-008,-6.90609e-008,-7.76936e-008,-8.63262e-008,-9.49588e-008,-1.03591e-007,-1.12224e-007,
50,-8.67744e-009,0,-1.73549e-008,-2.60323e-008,-3.47097e-008,-4.33872e-008,-5.20646e-008,-6.07421e-008,-6.94195e-008,-7.80969e-008,-8.67744e-008,-9.54518e-008,-1.04129e-007,-1.12807e-007,
75,-8.71211e-009,0,-1.74242e-008,-2.61363e-008,-3.48485e-008,-4.35606e-008,-5.22727e-008,-6.09848e-008,-6.96969e-008,-7.8409e-008,-8.71211e-008,-9.58333e-008,-1.04545e-007,-1.13257e-007,
100,-8.74154e-009,0,-1.74831e-008,-2.62246e-008,-3.49661e-008,-4.37077e-008,-5.24492e-008,-6.11908e-008,-6.99323e-008,-7.86738e-008,-8.74154e-008,-9.61569e-008,-1.04898e-007,-1.1364e-007,
125,-8.76759e-009,0,-1.75352e-008,-2.63028e-008,-3.50704e-008,-4.3838e-008,-5.26056e-008,-6.13732e-008,-7.01407e-008,-7.89083e-008,-8.76759e-008,-9.64435e-008,-1.05211e-007,-1.13979e-007,
150,-8.79126e-009,0,-1.75825e-008,-2.63738e-008,-3.5165e-008,-4.39563e-008,-5.27475e-008,-6.15388e-008,-7.033e-008,-7.91213e-008,-8.79126e-008,-9.67038e-008,-1.05495e-007,-1.14286e-007,
175,-8.81311e-009,0,-1.76262e-008,-2.64393e-008,-3.52524e-008,-4.40655e-008,-5.28786e-008,-6.16917e-008,-7.05048e-008,-7.9318e-008,-8.81311e-008,-9.69442e-008,-1.05757e-007,-1.1457e-007,
200,-8.83352e-009,0,-1.7667e-008,-2.65006e-008,-3.53341e-008,-4.41676e-008,-5.30011e-008,-6.18346e-008,-7.06682e-008,-7.95017e-008,-8.83352e-008,-9.71687e-008,-1.06002e-007,-1.14836e-007,
225,-8.85276e-009,0,-1.77055e-008,-2.65583e-008,-3.5411e-008,-4.42638e-008,-5.31166e-008,-6.19693e-008,-7.08221e-008,-7.96748e-008,-8.85276e-008,-9.73804e-008,-1.06233e-007,-1.15086e-007,
