Y Coordinates:
0.153846,0,0.307692,0.461538,0.615385,0.769231,0.923077,1.07692,1.23077,1.38462,1.53846,1.69231,1.84615,2,

 Time(s),  v(m) on vertices
650,-9.09352e-009,0,-1.8187e-008,-2.72805e-008,-3.6374e-008,-4.54675e-008,-5.4561e-008,-6.36545e-008,-7.2748e-008,-8.18415e-008,-9.0935e-008,-1.00028e-007,-1.09122e-007,-1.18215e-007,
675,-9.1049e-009,0,-1.82098e-008,-2.73147e-008,-3.64196e-008,-4.55244e-008,-5.46293e-008,-6.37342e-008,-7.28391e-008,-8.1944e-008,-9.10488e-008,-1.00154e-007,-1.09259e-007,-1.18363e-007,
700,-9.11609e-009,0,-1.82322e-008,-2.73483e-008,-3.64643e-008,-4.55804e-008,-5.46965e-008,-6.38126e-008,-7.29286e-008,-8.20447e-008,-9.11608e-008,-1.00277e-007,-1.09393e-007,-1.18509e-007,
725,-9.12711e-009,0,-1.82542e-008,-2.73813e-008,-3.65084e-008,-4.56355e-008,-5.47626e-008,-6.38897e-008,-7.30167e-008,-8.21438e-008,-9.12709e-008,-1.00398e-007,-1.09525e-007,-1.18652e-007,
750,-9.13795e-009,0,-1.82759e-008,-2.74138e-008,-3.65518e-008,-4.56897e-008,-5.48276e-008,-6.39656e-008,-7.31035e-008,-8.22414e-008,-9.13794e-008,-1.00517e-007,-1.09655e-007,-1.18793e-007,
775,-9.14864e-009,0,-1.82973e-008,-2.74459e-008,-3.65945e-008,-4.57431e-008,-5.48917e-008,-6.40404e-008,-7.3189e-008,-8.23376e-008,-9.14862e-008,-1.00635e-007,-1.09783e-007,-1.18932e-007,
800,-9.15917e-009,0,-1.83183e-008,-2.74775e-008,-3.66366e-008,-4.57958e-008,-5.49549e-008,-6.41141e-008,-7.32732e-008,-8.24323e-008,-9.15915e-008,-1.00751e-007,-1.0991e-007,-1.19069e-007,
825,-9.16955e-009,0,-1.83391e-008,-2.75086e-008,-3.66781e-008,-4.58477e-008,-5.50172e-008,-6.41867e-008,-7.33562e-008,-8.25258e-008,-9.16953e-008,-1.00865e-007,-1.10034e-007,-1.19204e-007,
850,-9.17979e-009,0,-1.83596e-008,-2.75393e-008,-3.67191e-008,-4.58989e-008,-5.50786e-008,-6.42584e-008,-7.34381e-008,-8.26179e-008,-9.17977e-008,-1.00977e-007,-1.10157e-007,-1.19337e-007,
875,-9.18989e-009,0,-1.83798e-008,-2.75697e-008,-3.67595e-008,-4.59494e-008,-5.51392e-008,-6.43291e-008,-7.3519e-008,-8.27088e-008,-9.18987e-008,-1.01089e-007,-1.10278e-007,-1.19468e-007,
