
Inspected Vertex: 4
Time,u(m)
0,2.79195e-007
25,2.72249e-007
50,2.69326e-007
75,2.67072e-007
100,2.65162e-007
125,2.6347e-007
150,2.61933e-007
175,2.60514e-007
200,2.59188e-007
225,2.57938e-007
250,2.56752e-007
275,2.5562e-007
300,2.54535e-007
325,2.53492e-007
350,2.52485e-007
375,2.51511e-007
400,2.50566e-007
425,2.49648e-007
450,2.48755e-007
475,2.47884e-007
500,2.47034e-007
525,2.46203e-007
550,2.45389e-007
575,2.44592e-007
600,2.43811e-007
625,2.43045e-007
650,2.42292e-007
675,2.41551e-007
700,2.40824e-007
725,2.40107e-007
750,2.39402e-007
775,2.38708e-007
800,2.38023e-007
825,2.37348e-007
850,2.36682e-007
875,2.36025e-007
900,2.35377e-007
925,2.34736e-007
950,2.34104e-007
975,2.33479e-007
1000,2.32862e-007
1025,2.32252e-007
1050,2.31648e-007
1075,2.31052e-007
1100,2.30462e-007
1125,2.29878e-007
1150,2.29301e-007
1175,2.2873e-007
1200,2.28165e-007
1225,2.27605e-007
1250,2.27052e-007
1275,2.26504e-007
1300,2.25961e-007
1325,2.25424e-007
1350,2.24892e-007
1375,2.24366e-007
1400,2.23844e-007
1425,2.23328e-007
1450,2.22816e-007
1475,2.2231e-007
1500,2.21808e-007
1525,2.21311e-007
1550,2.20818e-007
1575,2.20331e-007
1600,2.19848e-007
1625,2.19369e-007
1650,2.18895e-007
1675,2.18425e-007
1700,2.17959e-007
1725,2.17498e-007
1750,2.17041e-007
1775,2.16589e-007
1800,2.1614e-007
1825,2.15696e-007
1850,2.15255e-007
1875,2.14819e-007
1900,2.14386e-007
1925,2.13958e-007
1950,2.13533e-007
1975,2.13113e-007
2000,2.12696e-007
2025,2.12283e-007
2050,2.11873e-007
2075,2.11467e-007
2100,2.11065e-007
2125,2.10667e-007
2150,2.10272e-007
2175,2.09881e-007
2200,2.09493e-007
2225,2.09109e-007
2250,2.08728e-007
2275,2.08351e-007
2300,2.07977e-007
2325,2.07607e-007
2350,2.07239e-007
2375,2.06875e-007
2400,2.06515e-007
2425,2.06157e-007
2450,2.05803e-007
2475,2.05452e-007
2500,2.05104e-007
2525,2.0476e-007
2550,2.04418e-007
2575,2.04079e-007
2600,2.03744e-007
2625,2.03411e-007
2650,2.03082e-007
2675,2.02755e-007
2700,2.02432e-007
2725,2.02111e-007
2750,2.01793e-007
2775,2.01478e-007
2800,2.01166e-007
2825,2.00857e-007
2850,2.0055e-007
2875,2.00246e-007
2900,1.99945e-007
2925,1.99647e-007
2950,1.99351e-007
2975,1.99058e-007
3000,1.98767e-007
3025,1.9848e-007
3050,1.98194e-007
3075,1.97912e-007
3100,1.97631e-007
3125,1.97354e-007
3150,1.97079e-007
3175,1.96806e-007
3200,1.96536e-007
3225,1.96268e-007
3250,1.96002e-007
3275,1.95739e-007
3300,1.95479e-007
3325,1.9522e-007
3350,1.94964e-007
3375,1.9471e-007
3400,1.94459e-007
3425,1.9421e-007
3450,1.93963e-007
3475,1.93718e-007
3500,1.93475e-007
3525,1.93235e-007
3550,1.92997e-007
3575,1.92761e-007
3600,1.92527e-007
3625,1.92295e-007
3650,1.92065e-007
3675,1.91837e-007
3700,1.91612e-007
3725,1.91388e-007
3750,1.91166e-007
3775,1.90947e-007
3800,1.90729e-007
3825,1.90513e-007
3850,1.90299e-007
3875,1.90087e-007
3900,1.89877e-007
3925,1.89669e-007
3950,1.89463e-007
3975,1.89259e-007
4000,1.89056e-007
