Y Coordinates:
2,1.33333,0.666667,0,

 Time(s),  v(m) on vertices
0,-1.10828e-007,-7.38851e-008,-3.69425e-008,0,
25,-1.12276e-007,-7.48505e-008,-3.74253e-008,0,
50,-1.12836e-007,-7.5224e-008,-3.7612e-008,0,
75,-1.1328e-007,-7.55198e-008,-3.77599e-008,0,
100,-1.13658e-007,-7.57723e-008,-3.78862e-008,0,
125,-1.13995e-007,-7.59967e-008,-3.79984e-008,0,
150,-1.14301e-007,-7.62009e-008,-3.81005e-008,0,
175,-1.14584e-007,-7.63896e-008,-3.81949e-008,0,
200,-1.14849e-007,-7.65662e-008,-3.82831e-008,0,
225,-1.15099e-007,-7.67327e-008,-3.83664e-008,0,
250,-1.15336e-007,-7.68908e-008,-3.84454e-008,0,
275,-1.15562e-007,-7.70416e-008,-3.85209e-008,0,
300,-1.15779e-007,-7.71862e-008,-3.85932e-008,0,
325,-1.15988e-007,-7.73254e-008,-3.86628e-008,0,
350,-1.16189e-007,-7.74596e-008,-3.87299e-008,0,
375,-1.16384e-007,-7.75895e-008,-3.87949e-008,0,
400,-1.16573e-007,-7.77154e-008,-3.88578e-008,0,
425,-1.16757e-007,-7.78378e-008,-3.8919e-008,0,
450,-1.16935e-007,-7.79569e-008,-3.89786e-008,0,
475,-1.17109e-007,-7.8073e-008,-3.90367e-008,0,
500,-1.17279e-007,-7.81864e-008,-3.90934e-008,0,
525,-1.17445e-007,-7.82972e-008,-3.91488e-008,0,
550,-1.17608e-007,-7.84056e-008,-3.9203e-008,0,
575,-1.17767e-007,-7.85118e-008,-3.92561e-008,0,
600,-1.17924e-007,-7.86159e-008,-3.93082e-008,0,
625,-1.18077e-007,-7.87181e-008,-3.93593e-008,0,
650,-1.18227e-007,-7.88184e-008,-3.94094e-008,0,
675,-1.18375e-007,-7.89171e-008,-3.94588e-008,0,
700,-1.18521e-007,-7.9014e-008,-3.95072e-008,0,
725,-1.18664e-007,-7.91095e-008,-3.9555e-008,0,
750,-1.18805e-007,-7.92034e-008,-3.96019e-008,0,
775,-1.18944e-007,-7.9296e-008,-3.96482e-008,0,
800,-1.1908e-007,-7.93872e-008,-3.96938e-008,0,
825,-1.19215e-007,-7.94771e-008,-3.97388e-008,0,
850,-1.19348e-007,-7.95658e-008,-3.97832e-008,0,
875,-1.1948e-007,-7.96533e-008,-3.98269e-008,0,
