
Inspected Vertex: 155
Time,sigmaYY(Pa)
0,-774.943
25,-784.707
50,-788.781
75,-791.933
100,-794.608
125,-796.977
150,-799.129
175,-801.118
200,-802.984
225,-804.753
250,-806.448
275,-808.086
300,-809.681
325,-811.243
350,-812.78
375,-814.299
400,-815.805
425,-817.3
450,-818.787
475,-820.267
500,-821.742
525,-823.211
550,-824.676
575,-826.136
600,-827.59
625,-829.04
650,-830.484
675,-831.922
700,-833.354
725,-834.779
750,-836.197
775,-837.608
800,-839.011
825,-840.406
850,-841.792
875,-843.17
