
Inspected Vertex: 47
Time,v(m)
0,-1.10828e-007
25,-1.12265e-007
50,-1.1284e-007
75,-1.13287e-007
100,-1.13667e-007
125,-1.14004e-007
150,-1.1431e-007
175,-1.14593e-007
200,-1.14858e-007
225,-1.15107e-007
250,-1.15344e-007
275,-1.1557e-007
300,-1.15786e-007
325,-1.15995e-007
350,-1.16196e-007
375,-1.1639e-007
400,-1.16579e-007
425,-1.16762e-007
450,-1.16941e-007
475,-1.17115e-007
500,-1.17284e-007
525,-1.1745e-007
550,-1.17613e-007
575,-1.17772e-007
600,-1.17928e-007
625,-1.18081e-007
650,-1.18231e-007
675,-1.18379e-007
700,-1.18525e-007
725,-1.18668e-007
750,-1.18808e-007
775,-1.18947e-007
800,-1.19084e-007
825,-1.19219e-007
850,-1.19352e-007
875,-1.19483e-007
900,-1.19612e-007
925,-1.1974e-007
950,-1.19867e-007
975,-1.19991e-007
1000,-1.20115e-007
1025,-1.20236e-007
1050,-1.20357e-007
1075,-1.20476e-007
1100,-1.20594e-007
1125,-1.2071e-007
1150,-1.20826e-007
1175,-1.2094e-007
1200,-1.21053e-007
1225,-1.21164e-007
1250,-1.21275e-007
1275,-1.21384e-007
1300,-1.21493e-007
1325,-1.216e-007
1350,-1.21706e-007
1375,-1.21811e-007
1400,-1.21915e-007
1425,-1.22019e-007
1450,-1.22121e-007
1475,-1.22222e-007
1500,-1.22322e-007
1525,-1.22421e-007
1550,-1.2252e-007
1575,-1.22617e-007
1600,-1.22713e-007
1625,-1.22809e-007
1650,-1.22904e-007
1675,-1.22998e-007
1700,-1.23091e-007
1725,-1.23183e-007
1750,-1.23274e-007
1775,-1.23364e-007
1800,-1.23454e-007
1825,-1.23543e-007
1850,-1.23631e-007
1875,-1.23718e-007
1900,-1.23804e-007
1925,-1.2389e-007
1950,-1.23974e-007
1975,-1.24058e-007
2000,-1.24142e-007
2025,-1.24224e-007
2050,-1.24306e-007
2075,-1.24387e-007
2100,-1.24467e-007
2125,-1.24547e-007
2150,-1.24626e-007
2175,-1.24704e-007
2200,-1.24781e-007
2225,-1.24858e-007
2250,-1.24934e-007
2275,-1.25009e-007
2300,-1.25084e-007
2325,-1.25158e-007
2350,-1.25231e-007
2375,-1.25304e-007
2400,-1.25376e-007
2425,-1.25447e-007
2450,-1.25518e-007
2475,-1.25588e-007
2500,-1.25658e-007
2525,-1.25726e-007
2550,-1.25795e-007
2575,-1.25862e-007
2600,-1.25929e-007
2625,-1.25996e-007
2650,-1.26061e-007
2675,-1.26127e-007
2700,-1.26191e-007
2725,-1.26255e-007
2750,-1.26319e-007
2775,-1.26382e-007
2800,-1.26444e-007
2825,-1.26506e-007
2850,-1.26567e-007
2875,-1.26628e-007
2900,-1.26688e-007
2925,-1.26747e-007
2950,-1.26807e-007
2975,-1.26865e-007
3000,-1.26923e-007
3025,-1.26981e-007
3050,-1.27038e-007
3075,-1.27094e-007
3100,-1.2715e-007
3125,-1.27205e-007
3150,-1.2726e-007
3175,-1.27315e-007
3200,-1.27369e-007
3225,-1.27422e-007
3250,-1.27475e-007
3275,-1.27528e-007
3300,-1.2758e-007
3325,-1.27631e-007
3350,-1.27683e-007
3375,-1.27733e-007
3400,-1.27783e-007
3425,-1.27833e-007
3450,-1.27882e-007
3475,-1.27931e-007
3500,-1.2798e-007
3525,-1.28028e-007
3550,-1.28075e-007
3575,-1.28123e-007
3600,-1.28169e-007
3625,-1.28216e-007
3650,-1.28261e-007
3675,-1.28307e-007
3700,-1.28352e-007
3725,-1.28397e-007
3750,-1.28441e-007
3775,-1.28485e-007
3800,-1.28528e-007
3825,-1.28571e-007
3850,-1.28614e-007
3875,-1.28656e-007
3900,-1.28698e-007
3925,-1.2874e-007
3950,-1.28781e-007
3975,-1.28822e-007
4000,-1.28862e-007
