X Coordinates:
9.85075,10,9.7015,9.55224,9.40299,9.25374,9.10448,8.95523,8.80597,8.65672,8.50747,8.35821,8.20896,8.05971,7.91045,7.7612,7.61194,7.46269,7.31344,7.16418,7.01493,6.86567,6.71642,6.56717,6.41791,6.26866,6.11941,5.97015,5.8209,5.67164,5.52239,5.37314,5.22388,5.07463,4.92537,4.77612,4.62687,4.47761,4.32836,4.17911,4.02985,3.8806,3.73134,3.58209,3.43284,3.28358,3.13433,2.98507,2.83582,2.68657,2.53731,2.38806,2.23881,2.08955,1.9403,1.79104,1.64179,1.49254,1.34328,1.19403,1.04478,0.895522,0.746269,0.597015,0.447761,0.298507,0.149254,0,

 Time(s),  sigmaYY(Pa) on vertices
0,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,-774.943,
25,-833.95,-837.584,-827.31,-820.17,-814.003,-808.248,-803.845,-799.083,-796.554,-793.184,-790.829,-789.288,-787.844,-786.937,-786.145,-785.637,-785.32,-785.095,-784.947,-784.847,-784.789,-784.752,-784.733,-784.72,-784.715,-784.711,-784.709,-784.708,-784.707,-784.707,-784.707,-784.707,-784.707,-784.707,-784.707,-784.707,-784.707,-784.707,-784.707,-784.707,-784.707,-784.707,-784.707,-784.707,-784.707,-784.707,-784.707,-784.707,-784.707,-784.707,-784.707,-784.707,-784.707,-784.707,-784.707,-784.707,-784.707,-784.707,-784.707,-784.707,-784.707,-784.707,-784.707,-784.707,-784.707,-784.707,-784.707,-784.707,
50,-840.504,-843.115,-835.695,-830.378,-825.593,-820.89,-817.116,-812.656,-810.017,-806.289,-803.283,-801.031,-798.66,-796.925,-795.157,-793.793,-792.745,-791.847,-791.123,-790.523,-790.097,-789.72,-789.485,-789.264,-789.144,-789.035,-788.96,-788.899,-788.861,-788.835,-788.816,-788.803,-788.795,-788.791,-788.787,-788.785,-788.783,-788.783,-788.782,-788.782,-788.782,-788.781,-788.781,-788.781,-788.781,-788.781,-788.781,-788.781,-788.781,-788.781,-788.781,-788.781,-788.781,-788.781,-788.781,-788.781,-788.781,-788.781,-788.781,-788.781,-788.781,-788.781,-788.781,-788.781,-788.781,-788.781,-788.781,-788.781,
75,-844.864,-847.015,-840.893,-836.46,-832.415,-828.37,-825.075,-821.06,-818.599,-815.051,-812.052,-809.699,-807.121,-805.134,-803,-801.248,-799.805,-798.484,-797.341,-796.318,-795.543,-794.783,-794.26,-793.722,-793.395,-793.07,-792.825,-792.603,-792.444,-792.322,-792.224,-792.144,-792.09,-792.053,-792.02,-791.997,-791.977,-791.968,-791.958,-791.95,-791.945,-791.942,-791.939,-791.937,-791.936,-791.935,-791.934,-791.934,-791.934,-791.934,-791.934,-791.934,-791.934,-791.933,-791.933,-791.933,-791.933,-791.933,-791.933,-791.933,-791.933,-791.933,-791.933,-791.933,-791.933,-791.933,-791.933,-791.933,
100,-848.319,-850.195,-844.853,-840.965,-837.393,-833.79,-830.833,-827.175,-824.893,-821.568,-818.691,-816.381,-813.8,-811.756,-809.504,-807.596,-805.969,-804.428,-803.047,-801.761,-800.757,-799.718,-798.969,-798.16,-797.64,-797.098,-796.669,-796.261,-795.947,-795.694,-795.476,-795.286,-795.147,-795.045,-794.949,-794.877,-794.808,-794.776,-794.735,-794.705,-794.681,-794.663,-794.649,-794.637,-794.63,-794.624,-794.619,-794.616,-794.614,-794.612,-794.611,-794.61,-794.609,-794.609,-794.609,-794.608,-794.608,-794.608,-794.608,-794.608,-794.608,-794.608,-794.608,-794.608,-794.608,-794.608,-794.608,-794.608,
125,-851.261,-852.948,-848.141,-844.632,-841.395,-838.113,-835.407,-832.029,-829.899,-826.777,-824.036,-821.806,-819.283,-817.254,-814.982,-813.022,-811.314,-809.664,-808.153,-806.711,-805.565,-804.342,-803.434,-802.425,-801.755,-801.036,-800.449,-799.873,-799.413,-799.027,-798.683,-798.371,-798.131,-797.948,-797.77,-797.631,-797.491,-797.421,-797.33,-797.26,-797.202,-797.156,-797.116,-797.084,-797.061,-797.041,-797.026,-797.014,-797.007,-796.999,-796.994,-796.989,-796.986,-796.984,-796.982,-796.98,-796.979,-796.978,-796.978,-796.978,-796.977,-796.977,-796.977,-796.977,-796.977,-796.977,-796.977,-796.977,
150,-853.865,-855.412,-851.002,-847.775,-844.791,-841.755,-839.244,-836.09,-834.088,-831.141,-828.529,-826.384,-823.939,-821.95,-819.701,-817.736,-816,-814.3,-812.72,-811.188,-809.956,-808.613,-807.597,-806.446,-805.665,-804.81,-804.098,-803.385,-802.799,-802.298,-801.838,-801.41,-801.071,-800.805,-800.538,-800.326,-800.104,-799.99,-799.838,-799.715,-799.612,-799.526,-799.451,-799.386,-799.338,-799.297,-799.263,-799.235,-799.216,-799.197,-799.183,-799.171,-799.161,-799.154,-799.148,-799.143,-799.14,-799.137,-799.135,-799.133,-799.132,-799.131,-799.13,-799.129,-799.129,-799.129,-799.129,-799.129,
175,-856.226,-857.664,-853.563,-850.558,-847.773,-844.933,-842.578,-839.609,-837.715,-834.918,-832.422,-830.36,-827.994,-826.056,-823.848,-821.901,-820.164,-818.447,-816.834,-815.252,-813.968,-812.55,-811.46,-810.21,-809.348,-808.391,-807.583,-806.761,-806.073,-805.475,-804.915,-804.385,-803.955,-803.612,-803.26,-802.976,-802.672,-802.51,-802.293,-802.113,-801.959,-801.826,-801.708,-801.604,-801.523,-801.452,-801.393,-801.342,-801.306,-801.27,-801.242,-801.218,-801.197,-801.182,-801.168,-801.157,-801.15,-801.142,-801.137,-801.132,-801.128,-801.125,-801.123,-801.121,-801.12,-801.119,-801.119,-801.118,
200,-858.403,-859.753,-855.901,-853.075,-850.453,-847.773,-845.549,-842.734,-840.932,-838.265,-835.873,-833.886,-831.598,-829.713,-827.553,-825.635,-823.912,-822.196,-820.571,-818.964,-817.652,-816.185,-815.047,-813.728,-812.807,-811.775,-810.893,-809.987,-809.218,-808.54,-807.897,-807.279,-806.77,-806.358,-805.928,-805.578,-805.196,-804.987,-804.706,-804.468,-804.261,-804.079,-803.914,-803.766,-803.649,-803.543,-803.454,-803.374,-803.318,-803.259,-803.212,-803.171,-803.136,-803.109,-803.084,-803.063,-803.049,-803.033,-803.024,-803.014,-803.006,-802.999,-802.995,-802.99,-802.988,-802.985,-802.984,-802.984,
225,-860.433,-861.711,-858.065,-855.389,-852.902,-850.358,-848.243,-845.56,-843.837,-841.283,-838.983,-837.066,-834.851,-833.017,-830.907,-829.025,-827.323,-825.619,-823.995,-822.378,-821.052,-819.557,-818.387,-817.021,-816.057,-814.97,-814.032,-813.06,-812.226,-811.484,-810.773,-810.082,-809.505,-809.033,-808.534,-808.124,-807.671,-807.418,-807.076,-806.783,-806.523,-806.292,-806.08,-805.887,-805.731,-805.589,-805.466,-805.355,-805.274,-805.189,-805.119,-805.059,-805.005,-804.962,-804.923,-804.89,-804.867,-804.84,-804.825,-804.807,-804.793,-804.782,-804.773,-804.764,-804.76,-804.756,-804.754,-804.753,
250,-862.343,-863.56,-860.089,-857.54,-855.169,-852.739,-850.718,-848.15,-846.496,-844.042,-841.825,-839.971,-837.823,-836.039,-833.979,-832.133,-830.457,-828.771,-827.157,-825.54,-824.21,-822.699,-821.509,-820.111,-819.118,-817.989,-817.009,-815.987,-815.102,-814.308,-813.54,-812.789,-812.154,-811.63,-811.072,-810.609,-810.091,-809.798,-809.401,-809.056,-808.747,-808.469,-808.211,-807.972,-807.778,-807.597,-807.44,-807.295,-807.188,-807.076,-806.981,-806.898,-806.823,-806.763,-806.706,-806.659,-806.623,-806.584,-806.561,-806.533,-806.511,-806.494,-806.48,-806.466,-806.459,-806.452,-806.449,-806.448,
275,-864.154,-865.318,-861.997,-859.557,-857.286,-854.957,-853.018,-850.549,-848.957,-846.591,-844.448,-842.652,-840.566,-838.829,-836.817,-835.009,-833.36,-831.695,-830.096,-828.486,-827.158,-825.64,-824.439,-823.02,-822.006,-820.847,-819.836,-818.775,-817.849,-817.014,-816.201,-815.399,-814.716,-814.148,-813.537,-813.029,-812.455,-812.125,-811.678,-811.285,-810.93,-810.608,-810.306,-810.024,-809.792,-809.574,-809.383,-809.203,-809.069,-808.927,-808.807,-808.7,-808.602,-808.522,-808.446,-808.383,-808.335,-808.28,-808.248,-808.209,-808.178,-808.153,-808.132,-808.112,-808.102,-808.092,-808.087,-808.086,
300,-865.88,-866.997,-863.808,-861.464,-859.28,-857.039,-855.172,-852.791,-851.254,-848.967,-846.891,-845.148,-843.12,-841.426,-839.461,-837.689,-836.068,-834.427,-832.844,-831.246,-829.924,-828.406,-827.2,-825.767,-824.739,-823.559,-822.525,-821.434,-820.477,-819.609,-818.758,-817.914,-817.191,-816.585,-815.93,-815.382,-814.758,-814.397,-813.904,-813.468,-813.072,-812.708,-812.365,-812.042,-811.774,-811.52,-811.295,-811.082,-810.921,-810.75,-810.603,-810.471,-810.349,-810.25,-810.154,-810.072,-810.011,-809.939,-809.897,-809.846,-809.805,-809.771,-809.744,-809.717,-809.702,-809.689,-809.682,-809.681,
325,-867.532,-868.609,-865.536,-863.275,-861.169,-859.006,-857.203,-854.902,-853.413,-851.197,-849.183,-847.488,-845.513,-843.86,-841.938,-840.202,-838.609,-836.992,-835.429,-833.845,-832.531,-831.018,-829.81,-828.371,-827.334,-826.139,-825.088,-823.974,-822.992,-822.098,-821.217,-820.339,-819.582,-818.944,-818.251,-817.668,-817.001,-816.611,-816.078,-815.604,-815.169,-814.768,-814.387,-814.026,-813.724,-813.436,-813.18,-812.934,-812.747,-812.547,-812.374,-812.217,-812.071,-811.952,-811.835,-811.735,-811.659,-811.571,-811.518,-811.454,-811.402,-811.359,-811.324,-811.289,-811.271,-811.253,-811.244,-811.243,
350,-869.119,-870.16,-867.19,-865.005,-862.968,-860.875,-859.13,-856.899,-855.455,-853.304,-851.345,-849.695,-847.769,-846.154,-844.274,-842.571,-841.006,-839.414,-837.87,-836.302,-835,-833.493,-832.288,-830.847,-829.805,-828.6,-827.536,-826.405,-825.404,-824.489,-823.584,-822.677,-821.891,-821.227,-820.502,-819.889,-819.184,-818.769,-818.201,-817.692,-817.223,-816.788,-816.373,-815.976,-815.642,-815.323,-815.036,-814.759,-814.547,-814.319,-814.121,-813.94,-813.771,-813.631,-813.494,-813.375,-813.285,-813.179,-813.116,-813.039,-812.975,-812.923,-812.88,-812.837,-812.815,-812.793,-812.782,-812.78,
375,-870.65,-871.658,-868.781,-866.664,-864.689,-862.659,-860.966,-858.8,-857.396,-855.304,-853.396,-851.786,-849.906,-848.327,-846.486,-844.816,-843.278,-841.709,-840.186,-838.635,-837.345,-835.848,-834.647,-833.207,-832.163,-830.952,-829.879,-828.736,-827.72,-826.789,-825.864,-824.934,-824.125,-823.438,-822.684,-822.046,-821.308,-820.872,-820.272,-819.733,-819.233,-818.767,-818.32,-817.891,-817.529,-817.18,-816.865,-816.559,-816.323,-816.069,-815.846,-815.642,-815.451,-815.291,-815.134,-814.997,-814.893,-814.77,-814.696,-814.605,-814.531,-814.469,-814.418,-814.368,-814.341,-814.315,-814.302,-814.299,
400,-872.13,-873.108,-870.315,-868.259,-866.341,-864.369,-862.722,-860.615,-859.248,-857.21,-855.349,-853.777,-851.939,-850.394,-848.59,-846.951,-845.438,-843.894,-842.391,-840.858,-839.58,-838.094,-836.899,-835.463,-834.419,-833.205,-832.127,-830.975,-829.948,-829.004,-828.063,-827.114,-826.285,-825.579,-824.802,-824.143,-823.376,-822.92,-822.293,-821.726,-821.199,-820.706,-820.231,-819.773,-819.384,-819.008,-818.667,-818.334,-818.076,-817.797,-817.551,-817.326,-817.112,-816.934,-816.757,-816.603,-816.485,-816.346,-816.261,-816.158,-816.072,-816.001,-815.942,-815.884,-815.853,-815.823,-815.808,-815.805,
425,-873.563,-874.515,-871.799,-869.798,-867.932,-866.012,-864.408,-862.355,-861.022,-859.033,-857.216,-855.679,-853.881,-852.368,-850.598,-848.988,-847.501,-845.979,-844.497,-842.982,-841.717,-840.244,-839.056,-837.626,-836.583,-835.368,-834.288,-833.129,-832.095,-831.141,-830.187,-829.223,-828.378,-827.656,-826.859,-826.18,-825.389,-824.917,-824.265,-823.675,-823.123,-822.606,-822.105,-821.621,-821.208,-820.807,-820.442,-820.084,-819.805,-819.503,-819.237,-818.99,-818.757,-818.561,-818.366,-818.195,-818.064,-817.908,-817.814,-817.698,-817.601,-817.522,-817.455,-817.39,-817.354,-817.321,-817.303,-817.3,
450,-874.956,-875.883,-873.236,-871.287,-869.468,-867.596,-866.032,-864.028,-862.727,-860.784,-859.007,-857.503,-855.742,-854.258,-852.522,-850.94,-849.476,-847.977,-846.514,-845.017,-843.766,-842.306,-841.126,-839.703,-838.663,-837.45,-836.368,-835.206,-834.166,-833.204,-832.241,-831.265,-830.406,-829.671,-828.857,-828.163,-827.351,-826.864,-826.191,-825.579,-825.006,-824.467,-823.944,-823.435,-823.001,-822.578,-822.191,-821.81,-821.513,-821.189,-820.903,-820.637,-820.385,-820.172,-819.96,-819.774,-819.63,-819.46,-819.356,-819.228,-819.121,-819.033,-818.96,-818.887,-818.847,-818.81,-818.791,-818.787,
475,-876.31,-877.215,-874.633,-872.731,-870.955,-869.127,-867.6,-865.642,-864.369,-862.469,-860.73,-859.257,-857.53,-856.075,-854.369,-852.814,-851.373,-849.896,-848.452,-846.973,-845.736,-844.288,-843.118,-841.703,-840.667,-839.457,-838.375,-837.212,-836.168,-835.201,-834.23,-833.244,-832.374,-831.628,-830.8,-830.092,-829.262,-828.763,-828.072,-827.442,-826.85,-826.291,-825.747,-825.218,-824.764,-824.32,-823.914,-823.513,-823.198,-822.855,-822.55,-822.267,-821.997,-821.769,-821.541,-821.34,-821.185,-821,-820.887,-820.749,-820.633,-820.537,-820.456,-820.376,-820.334,-820.292,-820.271,-820.267,
500,-877.63,-878.513,-875.991,-874.133,-872.397,-870.61,-869.117,-867.202,-865.956,-864.096,-862.392,-860.947,-859.253,-857.824,-856.148,-854.618,-853.199,-851.743,-850.318,-848.856,-847.633,-846.199,-845.038,-843.632,-842.601,-841.394,-840.315,-839.152,-838.106,-837.135,-836.159,-835.165,-834.287,-833.532,-832.692,-831.973,-831.127,-830.616,-829.91,-829.264,-828.655,-828.079,-827.518,-826.969,-826.498,-826.036,-825.612,-825.192,-824.861,-824.5,-824.179,-823.88,-823.594,-823.352,-823.109,-822.895,-822.729,-822.531,-822.41,-822.261,-822.136,-822.033,-821.946,-821.86,-821.814,-821.769,-821.746,-821.741,
525,-878.918,-879.782,-877.315,-875.497,-873.799,-872.05,-870.588,-868.712,-867.492,-865.669,-863.998,-862.58,-860.917,-859.512,-857.864,-856.358,-854.961,-853.525,-852.119,-850.674,-849.464,-848.044,-846.892,-845.496,-844.471,-843.269,-842.193,-841.031,-839.984,-839.012,-838.031,-837.032,-836.146,-835.384,-834.534,-833.806,-832.947,-832.427,-831.707,-831.047,-830.424,-829.833,-829.256,-828.691,-828.204,-827.726,-827.286,-826.848,-826.504,-826.127,-825.791,-825.477,-825.176,-824.921,-824.665,-824.439,-824.263,-824.053,-823.924,-823.766,-823.633,-823.522,-823.43,-823.338,-823.288,-823.24,-823.216,-823.211,
550,-880.176,-881.022,-878.606,-876.826,-875.163,-873.449,-872.017,-870.179,-868.982,-867.193,-865.553,-864.161,-862.527,-861.146,-859.524,-858.042,-856.664,-855.248,-853.86,-852.432,-851.235,-849.829,-848.687,-847.301,-846.282,-845.086,-844.013,-842.854,-841.807,-840.834,-839.851,-838.848,-837.957,-837.189,-836.331,-835.595,-834.725,-834.197,-833.466,-832.793,-832.158,-831.554,-830.963,-830.383,-829.882,-829.39,-828.936,-828.483,-828.126,-827.734,-827.385,-827.058,-826.744,-826.477,-826.209,-825.971,-825.786,-825.566,-825.43,-825.263,-825.122,-825.005,-824.907,-824.81,-824.757,-824.707,-824.681,-824.676,
575,-881.406,-882.236,-879.868,-878.123,-876.493,-874.812,-873.408,-871.604,-870.43,-868.674,-867.063,-865.695,-864.088,-862.729,-861.133,-859.672,-858.314,-856.917,-855.546,-854.135,-852.951,-851.559,-850.426,-849.051,-848.039,-846.849,-845.78,-844.624,-843.58,-842.607,-841.623,-840.616,-839.722,-838.949,-838.085,-837.342,-836.464,-835.929,-835.187,-834.505,-833.859,-833.243,-832.64,-832.047,-831.534,-831.029,-830.563,-830.097,-829.728,-829.324,-828.962,-828.623,-828.297,-828.02,-827.74,-827.493,-827.3,-827.069,-826.927,-826.752,-826.605,-826.482,-826.379,-826.277,-826.222,-826.168,-826.141,-826.135,
600,-882.612,-883.425,-881.102,-879.39,-877.791,-876.142,-874.763,-872.992,-871.838,-870.113,-868.53,-867.184,-865.604,-864.266,-862.694,-861.255,-859.915,-858.536,-857.182,-855.787,-854.616,-853.237,-852.115,-850.751,-849.745,-848.562,-847.498,-846.347,-845.304,-844.332,-843.348,-842.341,-841.443,-840.667,-839.799,-839.051,-838.165,-837.625,-836.874,-836.183,-835.528,-834.902,-834.289,-833.685,-833.161,-832.645,-832.168,-831.69,-831.311,-830.895,-830.523,-830.173,-829.836,-829.549,-829.26,-829.003,-828.803,-828.563,-828.416,-828.233,-828.08,-827.952,-827.845,-827.738,-827.68,-827.625,-827.596,-827.59,
