
Inspected Vertex: 1
Time,v(m)
0,-1.10828e-007
25,-1.12276e-007
50,-1.12836e-007
75,-1.1328e-007
100,-1.13658e-007
125,-1.13995e-007
150,-1.14301e-007
175,-1.14584e-007
200,-1.14849e-007
225,-1.15099e-007
250,-1.15336e-007
275,-1.15562e-007
300,-1.15779e-007
325,-1.15988e-007
350,-1.16189e-007
375,-1.16384e-007
400,-1.16573e-007
425,-1.16757e-007
450,-1.16935e-007
475,-1.17109e-007
500,-1.17279e-007
525,-1.17445e-007
550,-1.17608e-007
575,-1.17767e-007
600,-1.17924e-007
625,-1.18077e-007
650,-1.18227e-007
675,-1.18375e-007
700,-1.18521e-007
725,-1.18664e-007
750,-1.18805e-007
775,-1.18944e-007
800,-1.1908e-007
825,-1.19215e-007
850,-1.19348e-007
875,-1.1948e-007
900,-1.19609e-007
925,-1.19737e-007
950,-1.19864e-007
975,-1.19988e-007
1000,-1.20112e-007
1025,-1.20234e-007
1050,-1.20354e-007
1075,-1.20473e-007
1100,-1.20591e-007
1125,-1.20708e-007
1150,-1.20823e-007
1175,-1.20937e-007
1200,-1.2105e-007
1225,-1.21162e-007
1250,-1.21273e-007
1275,-1.21382e-007
1300,-1.2149e-007
1325,-1.21598e-007
1350,-1.21704e-007
1375,-1.21809e-007
1400,-1.21913e-007
1425,-1.22016e-007
1450,-1.22119e-007
1475,-1.2222e-007
1500,-1.2232e-007
1525,-1.22419e-007
1550,-1.22518e-007
1575,-1.22615e-007
1600,-1.22712e-007
1625,-1.22807e-007
1650,-1.22902e-007
1675,-1.22996e-007
1700,-1.23089e-007
1725,-1.23181e-007
1750,-1.23272e-007
1775,-1.23363e-007
1800,-1.23452e-007
1825,-1.23541e-007
1850,-1.23629e-007
1875,-1.23716e-007
1900,-1.23803e-007
1925,-1.23888e-007
1950,-1.23973e-007
1975,-1.24057e-007
2000,-1.2414e-007
2025,-1.24223e-007
2050,-1.24305e-007
2075,-1.24386e-007
2100,-1.24466e-007
2125,-1.24545e-007
2150,-1.24624e-007
2175,-1.24702e-007
2200,-1.2478e-007
2225,-1.24857e-007
2250,-1.24933e-007
2275,-1.25008e-007
2300,-1.25083e-007
2325,-1.25157e-007
2350,-1.2523e-007
2375,-1.25303e-007
2400,-1.25375e-007
2425,-1.25446e-007
2450,-1.25517e-007
2475,-1.25587e-007
2500,-1.25657e-007
2525,-1.25725e-007
2550,-1.25794e-007
2575,-1.25861e-007
2600,-1.25928e-007
2625,-1.25995e-007
2650,-1.26061e-007
2675,-1.26126e-007
2700,-1.2619e-007
2725,-1.26254e-007
2750,-1.26318e-007
2775,-1.26381e-007
2800,-1.26443e-007
2825,-1.26505e-007
2850,-1.26566e-007
2875,-1.26627e-007
2900,-1.26687e-007
2925,-1.26747e-007
2950,-1.26806e-007
2975,-1.26864e-007
3000,-1.26922e-007
3025,-1.2698e-007
3050,-1.27037e-007
3075,-1.27093e-007
3100,-1.27149e-007
3125,-1.27205e-007
3150,-1.2726e-007
3175,-1.27314e-007
3200,-1.27368e-007
3225,-1.27422e-007
3250,-1.27475e-007
3275,-1.27527e-007
3300,-1.27579e-007
3325,-1.27631e-007
3350,-1.27682e-007
3375,-1.27733e-007
3400,-1.27783e-007
3425,-1.27833e-007
3450,-1.27882e-007
3475,-1.27931e-007
3500,-1.27979e-007
3525,-1.28027e-007
3550,-1.28075e-007
3575,-1.28122e-007
3600,-1.28169e-007
3625,-1.28215e-007
3650,-1.28261e-007
3675,-1.28306e-007
3700,-1.28352e-007
3725,-1.28396e-007
3750,-1.28441e-007
3775,-1.28484e-007
3800,-1.28528e-007
3825,-1.28571e-007
3850,-1.28614e-007
3875,-1.28656e-007
3900,-1.28698e-007
3925,-1.2874e-007
3950,-1.28781e-007
3975,-1.28822e-007
4000,-1.28862e-007
