X Coordinates:
5.41247,5.76828,8.96036,9.30718,8.54177,7.20553,7.65076,6.69203,1.1363,1.40899,0.730264,6.11861,6.37302,8.09558,2.59606,3.04066,2.32883,3.64428,4.2528,4.58686,0,0.365132,9.75833,10,1.67385,4.95263,9.51701,2.06611,

 Time(s),  u(m) on vertices
0,1.51113e-007,1.61047e-007,2.50169e-007,2.59852e-007,2.38482e-007,2.01175e-007,2.13606e-007,1.86838e-007,3.17249e-008,3.93383e-008,2.03886e-008,1.70829e-007,1.77932e-007,2.26025e-007,7.24806e-008,8.48938e-008,6.50199e-008,1.01747e-007,1.18736e-007,1.28063e-007,0,1.01943e-008,2.72448e-007,2.79195e-007,4.67331e-008,1.38275e-007,2.6571e-007,5.76849e-008,
25,1.53073e-007,1.63136e-007,2.51622e-007,2.59656e-007,2.40942e-007,2.03773e-007,2.16325e-007,1.8926e-007,3.21362e-008,3.98483e-008,2.0653e-008,1.73043e-007,1.80239e-007,2.28761e-007,7.34203e-008,8.59944e-008,6.58629e-008,1.03066e-007,1.20276e-007,1.29723e-007,0,1.03265e-008,2.68452e-007,2.72181e-007,4.7339e-008,1.40068e-007,2.64022e-007,5.84328e-008,
50,1.53854e-007,1.63965e-007,2.50152e-007,2.57468e-007,2.40359e-007,2.04602e-007,2.16937e-007,1.90166e-007,3.23008e-008,4.00524e-008,2.07587e-008,1.73912e-007,1.8113e-007,2.28922e-007,7.37964e-008,8.64348e-008,6.62002e-008,1.03594e-007,1.20891e-007,1.30388e-007,0,1.03794e-008,2.65636e-007,2.69287e-007,4.75815e-008,1.40785e-007,2.61478e-007,5.87321e-008,
75,1.54437e-007,1.64561e-007,2.48583e-007,2.55536e-007,2.3931e-007,2.04881e-007,2.16895e-007,1.90667e-007,3.24288e-008,4.02111e-008,2.0841e-008,1.74497e-007,1.81691e-007,2.28427e-007,7.40888e-008,8.67773e-008,6.64625e-008,1.04004e-007,1.21368e-007,1.309e-007,0,1.04205e-008,2.63422e-007,2.67043e-007,4.777e-008,1.41332e-007,2.59381e-007,5.89648e-008,
100,1.5487e-007,1.64971e-007,2.47082e-007,2.53811e-007,2.38152e-007,2.04813e-007,2.16516e-007,1.90863e-007,3.25376e-008,4.03461e-008,2.09109e-008,1.74854e-007,1.81989e-007,2.27674e-007,7.43371e-008,8.70675e-008,6.66854e-008,1.04349e-007,1.21763e-007,1.31317e-007,0,1.04555e-008,2.6153e-007,2.65138e-007,4.79303e-008,1.41764e-007,2.57557e-007,5.91626e-008,
125,1.55168e-007,1.6522e-007,2.45666e-007,2.52239e-007,2.36982e-007,2.04528e-007,2.15957e-007,1.90839e-007,3.2634e-008,4.04655e-008,2.09729e-008,1.75023e-007,1.82083e-007,2.2681e-007,7.45555e-008,8.73211e-008,6.68819e-008,1.04645e-007,1.2209e-007,1.3165e-007,0,1.04865e-008,2.59849e-007,2.63449e-007,4.80721e-008,1.42093e-007,2.5592e-007,5.93373e-008,
150,1.55348e-007,1.65333e-007,2.44329e-007,2.50787e-007,2.35831e-007,2.04105e-007,2.15296e-007,1.90658e-007,3.27211e-008,4.05733e-008,2.1029e-008,1.75043e-007,1.82022e-007,2.25898e-007,7.47493e-008,8.75429e-008,6.70573e-008,1.04895e-007,1.22351e-007,1.31905e-007,0,1.05145e-008,2.58318e-007,2.61914e-007,4.81998e-008,1.42325e-007,2.5442e-007,5.94938e-008,
175,1.55424e-007,1.65334e-007,2.43061e-007,2.4943e-007,2.34709e-007,2.03593e-007,2.14576e-007,1.90364e-007,3.28003e-008,4.0671e-008,2.10802e-008,1.74947e-007,1.81845e-007,2.24971e-007,7.49198e-008,8.77336e-008,6.7213e-008,1.051e-007,1.22549e-007,1.32085e-007,0,1.05402e-008,2.56902e-007,2.60496e-007,4.8315e-008,1.4247e-007,2.53026e-007,5.96338e-008,
200,1.55413e-007,1.65244e-007,2.41852e-007,2.48152e-007,2.33619e-007,2.0302e-007,2.13824e-007,1.89989e-007,3.28719e-008,4.07588e-008,2.11267e-008,1.7476e-007,1.81579e-007,2.24042e-007,7.50665e-008,8.78928e-008,6.73487e-008,1.05261e-007,1.22687e-007,1.32196e-007,0,1.05636e-008,2.55577e-007,2.59172e-007,4.84178e-008,1.42537e-007,2.51719e-007,5.97573e-008,
225,1.55329e-007,1.6508e-007,2.40697e-007,2.46938e-007,2.32562e-007,2.02407e-007,2.13054e-007,1.89554e-007,3.29355e-008,4.08362e-008,2.11683e-008,1.74501e-007,1.81245e-007,2.23119e-007,7.51887e-008,8.80203e-008,6.74638e-008,1.05378e-007,1.22769e-007,1.32244e-007,0,1.05846e-008,2.54327e-007,2.57923e-007,4.85077e-008,1.42535e-007,2.50483e-007,5.98634e-008,
250,1.55184e-007,1.64855e-007,2.39588e-007,2.45781e-007,2.31535e-007,2.01768e-007,2.12275e-007,1.89075e-007,3.29905e-008,4.09026e-008,2.12047e-008,1.74186e-007,1.8086e-007,2.22209e-007,7.52859e-008,8.8116e-008,6.75576e-008,1.05454e-007,1.228e-007,1.32237e-007,0,1.06031e-008,2.53141e-007,2.56737e-007,4.85839e-008,1.42474e-007,2.49307e-007,5.99515e-008,
275,1.54987e-007,1.64581e-007,2.38519e-007,2.44672e-007,2.30538e-007,2.0111e-007,2.11493e-007,1.88562e-007,3.30364e-008,4.09573e-008,2.12354e-008,1.73827e-007,1.80434e-007,2.21311e-007,7.5358e-008,8.81807e-008,6.76296e-008,1.0549e-007,1.22785e-007,1.32181e-007,0,1.06187e-008,2.52008e-007,2.55606e-007,4.86458e-008,1.42362e-007,2.48182e-007,6.0021e-008,
300,1.54747e-007,1.64266e-007,2.37487e-007,2.43606e-007,2.29568e-007,2.00441e-007,2.10712e-007,1.88025e-007,3.30728e-008,4.1e-008,2.12601e-008,1.73431e-007,1.79977e-007,2.20429e-007,7.54054e-008,8.82156e-008,6.76799e-008,1.0549e-007,1.22728e-007,1.32081e-007,0,1.06315e-008,2.50921e-007,2.54522e-007,4.86931e-008,1.42205e-007,2.47103e-007,6.00716e-008,
