
Iteration,   CurrentTime,      TimeStep, NumberOfLoops
        1, 1.000000e-001, 1.000000e-001,             2
        2, 2.000000e-001, 1.000000e-001,             2
        3, 3.000000e-001, 1.000000e-001,             2
        4, 4.000000e-001, 1.000000e-001,             2
        5, 5.000000e-001, 1.000000e-001,             2
        6, 6.000000e-001, 1.000000e-001,             2
        7, 7.000000e-001, 1.000000e-001,             2
        8, 8.000000e-001, 1.000000e-001,             2
        9, 9.000000e-001, 1.000000e-001,             2
       10, 1.000000e+000, 1.000000e-001,             2
       11, 1.100000e+000, 1.000000e-001,             2
       12, 1.200000e+000, 1.000000e-001,             2
       13, 1.300000e+000, 1.000000e-001,             2
       14, 1.400000e+000, 1.000000e-001,             2
       15, 1.500000e+000, 1.000000e-001,             2
       16, 1.600000e+000, 1.000000e-001,             2
       17, 1.700000e+000, 1.000000e-001,             2
       18, 1.800000e+000, 1.000000e-001,             2
       19, 1.900000e+000, 1.000000e-001,             2
       20, 2.000000e+000, 1.000000e-001,             2
       21, 2.100000e+000, 1.000000e-001,             2
       22, 2.200000e+000, 1.000000e-001,             2
       23, 2.300000e+000, 1.000000e-001,             2
       24, 2.400000e+000, 1.000000e-001,             2
       25, 2.500000e+000, 1.000000e-001,             2
       26, 2.600000e+000, 1.000000e-001,             2
       27, 2.700000e+000, 1.000000e-001,             2
       28, 2.800000e+000, 1.000000e-001,             2
       29, 2.900000e+000, 1.000000e-001,             2
       30, 3.000000e+000, 1.000000e-001,             2
       31, 3.100000e+000, 1.000000e-001,             2
       32, 3.200000e+000, 1.000000e-001,             2
       33, 3.300000e+000, 1.000000e-001,             2
       34, 3.400000e+000, 1.000000e-001,             2
       35, 3.500000e+000, 1.000000e-001,             2
       36, 3.600000e+000, 1.000000e-001,             2
       37, 3.700000e+000, 1.000000e-001,             2
       38, 3.800000e+000, 1.000000e-001,             2
       39, 3.900000e+000, 1.000000e-001,             2
       40, 4.000000e+000, 1.000000e-001,             2
       41, 4.100000e+000, 1.000000e-001,             2
       42, 4.200000e+000, 1.000000e-001,             2
       43, 4.300000e+000, 1.000000e-001,             2
       44, 4.400000e+000, 1.000000e-001,             2
       45, 4.500000e+000, 1.000000e-001,             2
       46, 4.600000e+000, 1.000000e-001,             2
       47, 4.700000e+000, 1.000000e-001,             2
       48, 4.800000e+000, 1.000000e-001,             2
       49, 4.900000e+000, 1.000000e-001,             2
       50, 5.000000e+000, 1.000000e-001,             2
       51, 5.100000e+000, 1.000000e-001,             2
       52, 5.200000e+000, 1.000000e-001,             2
       53, 5.300000e+000, 1.000000e-001,             2
       54, 5.400000e+000, 1.000000e-001,             2
       55, 5.500000e+000, 1.000000e-001,             2
       56, 5.600000e+000, 1.000000e-001,             2
       57, 5.700000e+000, 1.000000e-001,             2
       58, 5.800000e+000, 1.000000e-001,             2
       59, 5.900000e+000, 1.000000e-001,             2
       60, 6.000000e+000, 1.000000e-001,             2
       61, 6.100000e+000, 1.000000e-001,             2
       62, 6.200000e+000, 1.000000e-001,             2
       63, 6.300000e+000, 1.000000e-001,             2
       64, 6.400000e+000, 1.000000e-001,             2
       65, 6.500000e+000, 1.000000e-001,             2
       66, 6.600000e+000, 1.000000e-001,             2
       67, 6.700000e+000, 1.000000e-001,             2
       68, 6.800000e+000, 1.000000e-001,             2
       69, 6.900000e+000, 1.000000e-001,             2
       70, 7.000000e+000, 1.000000e-001,             2
       71, 7.100000e+000, 1.000000e-001,             2
       72, 7.200000e+000, 1.000000e-001,             2
       73, 7.300000e+000, 1.000000e-001,             2
       74, 7.400000e+000, 1.000000e-001,             2
       75, 7.500000e+000, 1.000000e-001,             2
       76, 7.600000e+000, 1.000000e-001,             2
       77, 7.700000e+000, 1.000000e-001,             2
       78, 7.800000e+000, 1.000000e-001,             2
       79, 7.900000e+000, 1.000000e-001,             2
       80, 8.000000e+000, 1.000000e-001,             2
       81, 8.100000e+000, 1.000000e-001,             2
       82, 8.200000e+000, 1.000000e-001,             2
       83, 8.300000e+000, 1.000000e-001,             2
       84, 8.400000e+000, 1.000000e-001,             2
       85, 8.500000e+000, 1.000000e-001,             2
       86, 8.600000e+000, 1.000000e-001,             2
       87, 8.700000e+000, 1.000000e-001,             2
       88, 8.800000e+000, 1.000000e-001,             2
