
Inspected Vertex: 133
Time,sigmaYY(Pa)
0,-661537
25,-661560
50,-664146
75,-675360
100,-694090
125,-716377
150,-739427
175,-761778
200,-782780
225,-802203
250,-820021
275,-836296
300,-851129
325,-864633
350,-876918
375,-888092
400,-898253
425,-907493
450,-915893
475,-923531
500,-930476
525,-936789
550,-942530
575,-947749
600,-952494
625,-956808
650,-960731
675,-964297
700,-967539
725,-970487
750,-973168
775,-975604
800,-977820
825,-979834
850,-981666
875,-983331
900,-984844
925,-986221
950,-987472
975,-988610
1000,-989644
1025,-990585
1050,-991440
1075,-992217
1100,-992924
1125,-993567
1150,-994151
1175,-994682
1200,-995165
1225,-995604
1250,-996003
1275,-996366
1300,-996696
1325,-996996
1350,-997269
1375,-997517
1400,-997743
1425,-997948
1450,-998134
1475,-998303
1500,-998458
1525,-998598
1550,-998725
1575,-998841
1600,-998946
1625,-999042
1650,-999129
1675,-999208
1700,-999280
1725,-999345
1750,-999405
1775,-999459
1800,-999508
1825,-999553
1850,-999593
1875,-999630
1900,-999664
1925,-999694
1950,-999722
1975,-999747
2000,-999770
