
Inspected Vertex: 75
Time,sigmaYY(Pa)
0,-661537
25,-661565
50,-664288
75,-675707
100,-694560
125,-716893
150,-739944
175,-762273
200,-783243
225,-802632
250,-820415
275,-836657
300,-851459
325,-864935
350,-877194
375,-888344
400,-898483
425,-907702
450,-916085
475,-923706
500,-930635
525,-936935
550,-942663
575,-947870
600,-952605
625,-956910
650,-960823
675,-964381
700,-967616
725,-970558
750,-973232
775,-975663
800,-977873
825,-979883
850,-981710
875,-983371
900,-984881
925,-986255
950,-987503
975,-988638
1000,-989670
1025,-990608
1050,-991461
1075,-992237
1100,-992942
1125,-993583
1150,-994166
1175,-994696
1200,-995177
1225,-995615
1250,-996014
1275,-996376
1300,-996705
1325,-997004
1350,-997276
1375,-997524
1400,-997748
1425,-997953
1450,-998139
1475,-998308
1500,-998462
1525,-998601
1550,-998728
1575,-998844
1600,-998949
1625,-999044
1650,-999131
1675,-999210
1700,-999282
1725,-999347
1750,-999406
1775,-999460
1800,-999509
1825,-999554
1850,-999594
1875,-999631
1900,-999665
1925,-999695
1950,-999723
1975,-999748
2000,-999771
