
Inspected Vertex: 44
Time,sigmaYY(Pa)
0,-661537
25,-661565
50,-664342
75,-675843
100,-694743
125,-717090
150,-740138
175,-762457
200,-783413
225,-802788
250,-820556
275,-836786
300,-851576
325,-865040
350,-877290
375,-888431
400,-898562
425,-907773
450,-916149
475,-923764
500,-930688
525,-936983
550,-942706
575,-947909
600,-952640
625,-956941
650,-960852
675,-964407
700,-967640
725,-970579
750,-973251
775,-975680
800,-977889
825,-979897
850,-981723
875,-983383
900,-984892
925,-986264
950,-987512
975,-988646
1000,-989677
1025,-990615
1050,-991467
1075,-992242
1100,-992947
1125,-993587
1150,-994170
1175,-994699
1200,-995180
1225,-995618
1250,-996016
1275,-996378
1300,-996707
1325,-997006
1350,-997278
1375,-997525
1400,-997750
1425,-997954
1450,-998140
1475,-998309
1500,-998463
1525,-998602
1550,-998729
1575,-998845
1600,-998949
1625,-999045
1650,-999132
1675,-999211
1700,-999282
1725,-999347
1750,-999407
1775,-999461
1800,-999510
1825,-999554
1850,-999595
1875,-999631
1900,-999665
1925,-999695
1950,-999723
1975,-999748
2000,-999771
