Y Coordinates:
1.47975,1.71036,1.33907,5.00004,5.21378,5.45063,0.465398,0.609274,0.335328,3.27376,3.54752,3.80039,1.95679,2.21472,2.47315,5.72496,6,4.665,4.79905,4.52638,0,0.167664,4.05441,4.2995,2.73657,3,0.831158,1.21665,1.03483,

 Time(s),  P(Pa) on vertices
550,56521.3,51006.6,59555.9,3821.51,3009.05,2105.2,72110.6,70888.7,72960.4,10170.8,9197.9,8286.9,44474.9,36916.9,28823.6,1054.79,0,5086.72,4581.85,5606.78,73896.5,73660.4,7357.96,6453.03,20131.6,11125.7,68320.7,61982.7,65217.6,
575,51388,46374.2,54147,3474.44,2735.76,1914,65561.5,64450.6,66334.2,9247.04,8362.54,7534.28,40435.7,33564.1,26205.9,958.995,0,4624.74,4165.72,5097.56,67185.2,66970.6,6689.7,5866.96,18303.2,10115.2,62115.8,56353.4,59294.5,
600,46721,42162.5,49229.4,3158.89,2487.3,1740.17,59607.2,58597.2,60309.7,8407.22,7603.05,6850.01,36763.3,30515.8,23825.8,871.899,0,4204.72,3787.39,4634.6,61083.4,60888.3,6082.14,5334.12,16640.9,9196.56,56474.4,51235.4,53909.4,
625,42477.8,38333.3,44758.4,2872,2261.4,1582.13,54193.7,53275.4,54832.4,7643.68,6912.54,6227.89,33424.4,27744.4,21662,792.712,0,3822.84,3443.41,4213.69,55535.8,55358.4,5529.76,4849.67,15129.6,8361.32,51345.4,46582.2,49013.3,
650,38619.9,34851.8,40693.4,2611.16,2056.02,1438.44,49271.8,48436.9,49852.5,6949.48,6284.74,5662.28,30388.8,25224.6,19694.6,720.718,0,3475.65,3130.68,3831,50492.1,50330.8,5027.55,4409.22,13755.5,7601.95,46682.2,42351.6,44561.9,
675,35112.5,31686.6,36997.6,2374.01,1869.29,1307.8,44797,44037.9,45324.9,6318.33,5713.96,5148.03,27628.9,22933.7,17906,655.262,0,3159.99,2846.35,3483.07,45906.4,45759.7,4570.94,4008.78,12506.3,6911.54,42442.5,38505.2,40514.8,
700,31923.5,28808.8,33637.5,2158.41,1699.52,1189.03,40728.5,40038.3,41208.5,5744.49,5195.02,4680.48,25119.7,20850.9,16279.7,595.751,0,2873,2587.85,3166.73,41737.2,41603.8,4155.81,3644.7,11370.4,6283.83,38587.9,35008.1,36835.3,
725,29024.2,26192.4,30582.5,1962.38,1545.17,1081.04,37029.5,36402.1,37465.9,5222.78,4723.2,4255.4,22838.3,18957.2,14801.2,541.645,0,2612.08,2352.82,2879.13,37946.6,37825.3,3778.38,3313.69,10337.8,5713.13,35083.3,31828.7,33489.9,
750,26388.2,23813.6,27805,1784.16,1404.84,982.859,33666.5,33096,34063.2,4748.44,4294.24,3868.92,20764.1,17235.5,13457,492.453,0,2374.85,2139.14,2617.65,34500.3,34390,3435.23,3012.74,9398.89,5194.26,31897.1,28938,30448.3,
775,23991.7,21650.8,25279.8,1622.12,1277.25,893.596,30608.9,30090.2,30969.6,4317.19,3904.24,3517.55,18878.3,15670.2,12234.8,447.728,0,2159.16,1944.86,2379.91,31366.9,31266.7,3123.24,2739.12,8545.28,4722.52,29000.2,26309.9,27683,
800,21812.7,19684.5,22983.8,1474.8,1161.25,812.439,27829,27357.4,28156.9,3925.1,3549.65,3198.08,17163.8,14247,11123.6,407.065,0,1963.07,1768.23,2163.77,28518.2,28427.1,2839.58,2490.35,7769.2,4293.62,26366.4,23920.4,25168.8,
