
Inspected Vertex: 75
Time,P(Pa)
0,435167
25,435140
50,431899
75,417606
100,393598
125,364966
150,335323
175,306567
200,279542
225,254545
250,231615
275,210669
300,191578
325,174199
350,158388
375,144007
400,130931
425,119040
450,108229
475,98399.6
500,89462.8
525,81337.6
550,73950.2
575,67233.9
600,61127.5
625,55575.7
650,50528.1
675,45939
700,41766.6
725,37973.2
750,34524.4
775,31388.8
800,28537.9
825,25946
850,23589.5
875,21447
900,19499.1
925,17728.1
950,16118
975,14654.1
1000,13323.2
1025,12113.1
1050,11013
1075,10012.7
1100,9103.32
1125,8276.53
1150,7524.82
1175,6841.39
1200,6220.03
1225,5655.1
1250,5141.48
1275,4674.52
1300,4249.96
1325,3863.96
1350,3513.02
1375,3193.96
1400,2903.87
1425,2640.13
1450,2400.34
1475,2182.33
1500,1984.13
1525,1803.92
1550,1640.08
1575,1491.12
1600,1355.69
1625,1232.56
1650,1120.62
1675,1018.84
1700,926.305
1725,842.174
1750,765.685
1775,696.143
1800,632.916
1825,575.432
1850,523.17
1875,475.653
1900,432.453
1925,393.176
1950,357.466
1975,325
2000,295.482
