Y Coordinates:
6,6,0,0,3,3,5.80228,5.80914,3.31837,3.23348,2.66575,0.428636,0.261344,3,3,6,5.60475,6,5.61847,5.34994,5.0542,5.29974,5.08735,0,0,0.523097,0.81074,1.31673,1.05987,4.56597,4.88104,4.41039,4.73106,3.15918,3.52026,4.19542,4.25013,3.96114,3.97102,3.72535,3.46647,2.83287,2.81106,2.6227,2.48131,1.7761,1.51749,1.80685,2.13546,2.18792,2.45953,0.831958,0.65825,1.44004,1.1287,0.214318,0,0,6,6,2.0975,1.99396,1.80419,2.79653,3.15299,3.85766,3.88793,4.18792,4.20199,5.10809,5.40417,5.12609,5.45709,5.88651,5.86531,5.77506,5.7341,0.180456,0.207443,0.334964,0.613379,1.2654,0.932602,0.628076,0.310112,0.402829,1.21411,0.901688,3.33199,4.7745,4.43731,4.53154,4.87158,3.51127,3.53845,3.31483,3.298,3.13708,3.19729,2.6159,2.75827,2.57803,2.62084,1.56835,1.58631,2.2877,2.43774,
Volumes:
0.00923533,0.00696187,0.00995653,0.0133237,0.0269775,0.0302407,0.0148179,0.0253537,0.00965977,0.0307506,0.0120885,0.00617112,0.024752,0.0869838,0.0573607,0.0297577,0.0416702,0.0223799,0.0257395,0.0318694,0.0629526,0.0471996,0.0378622,0.029115,0.0344422,0.0527688,0.0293863,0.0363012,0.0280147,0.0368569,0.0306645,0.0321194,0.0383121,0.0166352,0.0645267,0.0416238,0.0597341,0.064173,0.0295728,0.0279937,0.0359256,0.0205699,0.0324436,0.0213213,0.0503157,0.0492244,0.0291674,0.0760433,0.0326466,0.0395776,0.0308587,0.0452082,0.0425352,0.0458819,0.0543296,0.0222323,0.0246277,0.0180756,0.0119182,0.014205,0.145336,0.0869268,0.102405,0.087025,0.0508171,0.112016,0.12558,0.0907877,0.106842,0.102847,0.113463,0.0930908,0.115532,0.0315052,0.0146946,0.081762,0.112314,0.0263246,0.0324097,0.0941244,0.0899927,0.104576,0.113091,0.0995967,0.094413,0.0358641,0.11881,0.108258,0.0244388,0.127002,0.102618,0.128764,0.104717,0.117142,0.0756874,0.0685542,0.0425973,0.0340185,0.0320154,0.0348523,0.0490245,0.0953687,0.033041,0.129563,0.104354,0.114004,0.0784203,

 Time(s),  P(Pa) on vertices
0,0,0,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,0,435167,0,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,0,0,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,
25,0,0,435136,435135,235781,235970,20638.6,19914.9,223406,227147,327560,435055,435114,236100,235820,0,41094.6,0,39676.1,67048.9,96236.9,72091,92910.6,435139,435138,435020,434675,432169,433917,140415,112433,153471,126022,230140,213583,170255,166277,187064,186242,201884,216283,286689,292241,336935,363711,423350,429472,422227,403016,398118,365561,434629,434902,430669,433579,435122,435134,435136,0,0,406539,412783,421947,297162,230402,193887,191844,170821,169844,90967.8,61599.4,89190.6,56266.7,11849.3,14062.7,23470.2,27745.9,435123,435118,435097,434947,432701,434435,434935,435106,435069,433078,434478,222782,122295,151218,143558,113280,214073,212507,223555,224343,230995,228636,337713,306267,346060,336206,428489,428176,388203,368625,
50,0,0,431765,431765,136680,136769,10801.3,10424,126758,129581,225588,429830,431181,136801,136709,0,21536.9,0,20792,35237.8,50820,37912.9,49054.7,431864,431865,429085,424205,406295,417237,75162.9,59636.6,82564,67120.8,131927,119722,92349.2,89962.9,102487,102020,111938,121632,183358,189052,236000,267634,373190,394130,370249,328396,320185,271256,423747,427115,399282,414823,431356,431727,431758,0,0,334607,347899,370093,193326,132133,106751,105486,92684.2,92086.6,47997.7,32347.4,47049,29521.4,6200.92,7359.09,12285.1,14522.8,431401,431307,430752,427824,409087,421465,427607,430927,430096,411417,422080,126298,65025.8,81286.1,76889.2,60105.1,120055,119019,126878,127449,132626,130731,237252,202875,246362,235688,390661,389311,303534,275550,
75,0,0,417305,417294,95084,95131,7058.68,6812.69,87055.3,89281.2,172077,412786,415884,95140.4,95102.1,0,14086.6,0,13598.8,23088.6,33397.8,24851.6,32234.1,417551,417550,411055,400944,370183,388110,49814.6,39300.5,54889.8,44346.3,91166.1,81620.8,61707.6,60018.6,68904,68583.3,75811.4,83086.5,134706,139706,181492,210849,324312,352309,320633,272721,264036,214682,400085,406832,359708,383965,416315,417206,417290,0,0,279248,294410,320658,143256,91330.1,71987.7,71077.7,61942.7,61515.4,31526.8,21183.9,30899.1,19322.6,4052.14,4808.92,8029.09,9491.44,416433,416197,414881,408330,374460,395587,407863,415291,413378,378243,396856,86695.5,42916.7,54012.9,50976.6,39617.1,81872.5,81100.9,87150.9,87595.2,91731.8,90201.1,182755,151746,190968,181427,347476,345586,246695,218881,
100,0,0,393208,393187,74186.1,74214.2,5304.65,5120.06,67410.8,69265,141242,387189,391288,74216.9,74198,0,10591.9,0,10224.8,17379.3,25185.2,18711,24306.1,393542,393539,384888,371973,335380,356285,37759.3,29686.6,41684.8,33550.7,70851,62928,47006.5,45676.4,52683.3,52434.9,58219.3,64132.6,108369,112743,149597,176016,285601,315485,281778,234183,225854,179660,370911,379426,323629,351352,391875,393071,393189,0,0,240396,255442,281900,115775,70987.8,55140.6,54417.5,47190.8,46852.4,23766.7,15940.5,23291.5,14535.1,3045.13,3613.81,6034.27,7133.24,392036,391714,389952,381356,340223,365274,380750,390500,387964,344611,366889,67112.1,32448.1,41006.2,38648.2,29929.4,63133,62508.2,67490.3,67858.6,71327.5,70037.9,150777,123260,158067,149647,310208,308157,209396,183530,
125,0,0,364548,364522,61954.1,61973,4335.46,4184.72,56054.6,57658.2,121279,358021,362454,61973.4,61962.6,0,8659.36,0,8359.15,14217.4,20625.2,15309.1,19904.4,364913,364909,355528,341770,303993,325377,31015.4,24335.5,34277.2,27528.2,59037.3,52197.1,38722,37605.5,43491.1,43284.6,48182.5,53231.6,92050,95926.5,128740,152509,254770,284080,251067,206028,198283,155876,340654,349678,292185,320281,363096,364396,364528,0,0,211779,226011,251230,98581.4,59155.6,45567.1,44957.2,38876.3,38591.4,19459.9,13038,19069.8,11886.2,2488.73,2953.49,4931.94,5830.12,363273,362919,361005,351742,308877,334699,351092,361600,358856,313354,336417,55796.7,26613.4,33713.2,31749.5,24536.2,52372.3,51839.9,56123.2,56441.2,59451.6,58329.9,129820,105245,136333,128837,278843,276818,183071,159400,
150,0,0,334910,334883,53780.4,53794.5,3718.41,3589.18,48543.6,49961.9,106882,328440,332829,53794.1,53787,0,7428.2,0,7170.61,12200.3,17709.7,13138.3,17090.4,335274,335269,325969,312444,275856,296474,26676.1,20907.1,29499.6,23662.1,51185.3,45140.5,33358.1,32386.3,37511.4,37332.5,41616.2,46052.1,80650.4,84122.8,113591,135055,229187,256862,225712,183955,176838,138138,311353,320204,264571,291538,333468,334758,334890,0,0,189225,202417,225885,86486.6,51289.9,39324.8,38792.5,33492.2,33243.8,16707.4,11187.1,16372,10197.7,2134.5,2533.1,4230.07,5000.42,333644,333292,331393,322237,280533,305523,321595,331983,329265,284844,307210,48315.7,22871,29011.4,27309.4,21080.4,45294.5,44827.2,48604.1,48885.1,51552.7,50557.6,114576,92470.7,120436,113705,251887,249969,162907,141339,
175,0,0,306173,306147,47695.1,47706.5,3276.02,3162.2,42995.1,44265.6,95562.3,300027,304193,47705.8,47700.6,0,6545.08,0,6318.09,10752,15612.4,11579.1,15066.3,306519,306514,297681,284886,250530,269846,23538.8,18436.8,26039,20872.2,45363.2,39950.8,29460.9,28597.8,33150.6,32992.2,36806.5,40765.9,71883.9,75015.2,101625,121063,207177,232831,203966,165623,159119,123875,283857,292220,240004,265211,304802,306028,306154,0,0,170433,182545,204136,77140,45456.9,34764.2,34290.8,29579.9,29359.1,14728,9858.49,14432.1,8986.02,1880.54,2231.72,3726.85,4405.54,304969,304634,302829,294145,254896,278352,293537,303390,300810,258932,279947,42791,20172,25606.6,24098.5,18590.1,40088.4,39671.5,43049.3,43300.8,45692.8,44799.9,102521,82543.5,107818,101740,228206,226424,146409,126784,
200,0,0,279172,279147,42792.4,42802,2928.86,2827.11,38548.7,39694.7,86112.3,273457,277329,42801.2,42797.1,0,5851.8,0,5648.84,9614.11,13962.6,10353.9,13474.2,279494,279489,271275,259401,227639,245476,21062,16491.3,23303.3,18672.5,40685.6,35804.7,26373.5,25598.4,29687,29544.9,32974.5,36539.1,64667.7,67502.1,91606.4,109241,187782,211342,184838,149799,143870,111802,258448,266204,217942,241191,277896,279037,279154,0,0,154181,165248,184998,69422.2,40770,31137.3,30711.9,26480.2,26281.9,13171.3,8814.9,12906.6,8034.53,1681.25,1995.21,3331.93,3938.7,278052,277739,276061,267991,231664,253345,267426,276582,274184,235390,254824,38364.6,18045,22915.7,21563.2,16628.6,35928.5,35553.3,38597.5,38824.4,40983,40177,92421.4,74316.8,97221.4,91716.8,207087,205450,132294,114445,
225,0,0,254201,254178,38633.2,38641.6,2639.19,2547.52,34789,35826.6,77922.2,248943,252505,38640.8,38637.3,0,5273.2,0,5090.29,8663.98,12584,9330.83,12143.7,254497,254493,246936,236025,206896,223245,18987.4,14864.3,21009.9,16831.6,36724.1,32305.7,23781.7,23081.7,26774.7,26646.4,29746.3,32970.2,58465.6,61036.5,82908.4,98923,170448,191980,167759,135818,130419,101253,235150,242275,198019,219314,253027,254076,254185,0,0,139805,149894,167908,62776.5,36800.6,28085.2,27700.9,23878.1,23699,11870.6,7943.63,11631.9,7240.27,1514.97,1797.88,3002.41,3549.17,253170,252883,251339,243917,210582,230463,243398,251818,249612,213996,231823,34622.4,16265.4,20660.1,19439.4,14988.1,32417.7,32078.4,34833.2,35038.6,36993.5,36263.5,83649.5,67217.8,88006.2,83011.5,188088,186591,119886,103655,
