
Inspected Vertex: 23
Time,sigmaYY(Pa)
0,-661537
25,-661572
50,-664427
75,-676018
100,-694965
125,-717328
150,-740374
175,-762683
200,-783627
225,-802988
250,-820744
275,-836961
300,-851739
325,-865192
350,-877431
375,-888562
400,-898684
425,-907887
450,-916254
475,-923862
500,-930779
525,-937067
550,-942784
575,-947982
600,-952707
625,-957003
650,-960909
675,-964461
700,-967689
725,-970624
750,-973293
775,-975719
800,-977925
825,-979930
850,-981753
875,-983411
900,-984918
925,-986288
950,-987534
975,-988666
1000,-989696
1025,-990632
1050,-991483
1075,-992257
1100,-992960
1125,-993600
1150,-994181
1175,-994710
1200,-995190
1225,-995627
1250,-996024
1275,-996386
1300,-996714
1325,-997013
1350,-997284
1375,-997531
1400,-997755
1425,-997959
1450,-998144
1475,-998313
1500,-998466
1525,-998606
1550,-998732
1575,-998847
1600,-998952
1625,-999047
1650,-999134
1675,-999213
1700,-999284
1725,-999349
1750,-999408
1775,-999462
1800,-999511
1825,-999555
1850,-999596
1875,-999632
1900,-999666
1925,-999696
1950,-999724
1975,-999749
2000,-999772
