
Inspected Vertex: 23
Time,P(Pa)
0,435167
25,435139
50,431864
75,417551
100,393542
125,364913
150,335274
175,306519
200,279494
225,254497
250,231566
275,210621
300,191530
325,174152
350,158341
375,143962
400,130886
425,118997
450,108187
475,98359.6
500,89424.3
525,81300.8
550,73915.1
575,67200.4
600,61095.7
625,55545.5
650,50499.5
675,45912
700,41741.1
725,37949.2
750,34501.8
775,31367.5
800,28517.9
825,25927.2
850,23571.9
875,21430.5
900,19483.7
925,17713.7
950,16104.5
975,14641.5
1000,13311.4
1025,12102.2
1050,11002.8
1075,10003.2
1100,9094.48
1125,8268.3
1150,7517.17
1175,6834.28
1200,6213.42
1225,5648.97
1250,5135.79
1275,4669.24
1300,4245.06
1325,3859.42
1350,3508.82
1375,3190.06
1400,2900.26
1425,2636.79
1450,2397.25
1475,2179.48
1500,1981.48
1525,1801.48
1550,1637.82
1575,1489.04
1600,1353.77
1625,1230.78
1650,1118.97
1675,1017.32
1700,924.904
1725,840.882
1750,764.492
1775,695.042
1800,631.902
1825,574.497
1850,522.307
1875,474.859
1900,431.721
1925,392.501
1950,356.845
1975,324.427
2000,294.955
