
Inspected Vertex: 44
Time,P(Pa)
0,435167
25,435137
50,431834
75,417453
100,393395
125,364747
150,335108
175,306364
200,279354
225,254374
250,231459
275,210527
300,191450
325,174083
350,158283
375,143913
400,130845
425,118963
450,108159
475,98336.2
500,89405.4
525,81285.7
550,73903.4
575,67191.5
600,61089.1
625,55541
650,50496.8
675,45910.7
700,41741
725,37950.1
750,34503.5
775,31369.9
800,28520.8
825,25930.6
850,23575.5
875,21434.4
900,19487.7
925,17717.8
950,16108.7
975,14645.7
1000,13315.6
1025,12106.2
1050,11006.8
1075,10007.1
1100,9098.26
1125,8271.95
1150,7520.69
1175,6837.66
1200,6216.66
1225,5652.06
1250,5138.74
1275,4672.03
1300,4247.72
1325,3861.94
1350,3511.19
1375,3192.31
1400,2902.38
1425,2638.78
1450,2399.13
1475,2181.24
1500,1983.14
1525,1803.03
1550,1639.27
1575,1490.4
1600,1355.04
1625,1231.97
1650,1120.08
1675,1018.36
1700,925.869
1725,841.781
1750,765.33
1775,695.822
1800,632.627
1825,575.172
1850,522.934
1875,475.441
1900,432.261
1925,393.003
1950,357.31
1975,324.859
2000,295.355
