
Inspected Vertex: 98
Time,P(Pa)
0,435167
25,435139
50,431867
75,417522
100,393481
125,364838
150,335197
175,306449
200,279433
225,254447
250,231526
275,210589
300,191506
325,174135
350,158330
375,143955
400,130884
425,118998
450,108191
475,98365.6
500,89432.3
525,81310.1
550,73925.6
575,67211.8
600,61107.7
625,55557.9
650,50512.2
675,45924.7
700,41753.8
725,37961.8
750,34514.1
775,31379.5
800,28529.7
825,25938.6
850,23582.9
875,21441.1
900,19493.8
925,17723.4
950,16113.7
975,14650.3
1000,13319.8
1025,12110.1
1050,11010.2
1075,10010.3
1100,9101.15
1125,8274.59
1150,7523.09
1175,6839.85
1200,6218.65
1225,5653.88
1250,5140.39
1275,4673.54
1300,4249.09
1325,3863.19
1350,3512.34
1375,3193.35
1400,2903.33
1425,2639.65
1450,2399.92
1475,2181.96
1500,1983.79
1525,1803.62
1550,1639.82
1575,1490.89
1600,1355.49
1625,1232.38
1650,1120.46
1675,1018.7
1700,926.18
1725,842.064
1750,765.588
1775,696.058
1800,632.842
1825,575.367
1850,523.112
1875,475.603
1900,432.409
1925,393.138
1950,357.433
1975,324.971
2000,295.457
