Y Coordinates:
3.72535,3.97102,0.214318,0.428636,5.60475,5.80228,5.29974,1.1287,1.44004,0,1.80685,2.18792,4.88104,5.08735,2.45953,2.6227,0.65825,0.831958,6,2.81106,3,3.23348,3.46647,4.25013,4.56597,

 Time(s),  P(Pa) on vertices
625,6424.96,5753.98,55220.8,54319.7,1137.59,569.334,2013.1,47792.6,43114.1,55480,36481.9,28323.7,3207.53,2620.19,21966.1,17973.2,52848.7,51278.5,0,13218.1,8353.57,7742.66,7123.35,4982.92,4098.07,
650,5841.29,5231.26,50204.3,49385.1,1034.24,517.614,1830.22,43451,39197.5,50440,33167.7,25750.7,2916.15,2382.16,19970.6,16340.4,48047.7,46620.1,0,12017.3,7594.7,7039.28,6476.24,4530.25,3725.79,
675,5310.65,4756.03,45643.6,44898.7,940.289,470.592,1663.95,39503.7,35636.6,45857.8,30154.6,23411.4,2651.23,2165.76,18156.4,14856,43682.9,42385,0,10925.6,6904.77,6399.81,5887.91,4118.7,3387.32,
700,4828.21,4323.98,41497.1,40819.9,854.869,427.841,1512.79,35915,32399.2,41691.9,27415.3,21284.6,2410.38,1969.01,16507,13506.4,39714.6,38534.6,0,9933.07,6277.51,5818.42,5353.03,3744.54,3079.6,
725,4389.59,3931.17,37727.4,37111.7,777.21,388.974,1375.37,32652.4,29456,37904.5,24924.8,19351,2191.41,1790.14,15007.4,12279.4,36106.7,35033.9,0,9030.71,5707.24,5289.85,4866.74,3404.37,2799.84,
750,3990.83,3574.05,34300.1,33740.3,706.605,353.638,1250.42,29686.1,26780.1,34461.1,22660.5,17593.1,1992.34,1627.52,13644.1,11163.9,32826.7,31851.3,0,8210.33,5188.77,4809.3,4424.63,3095.11,2545.49,
775,3628.28,3249.37,31184.1,30675.2,642.414,321.513,1136.83,26989.3,24347.3,31330.5,20601.9,15994.9,1811.35,1479.67,12404.6,10149.8,29844.6,28957.8,0,7464.47,4717.4,4372.41,4022.67,2813.94,2314.25,
800,3298.67,2954.18,28351.2,27888.6,584.054,292.305,1033.56,24537.5,22135.5,28484.3,18730.4,14541.8,1646.8,1345.25,11277.7,9227.71,27133.4,26327.2,0,6786.36,4288.85,3975.2,3657.24,2558.31,2104.01,
825,2999.01,2685.81,25775.7,25355,530.997,265.751,939.663,22308.4,20124.6,25896.7,17028.8,13220.8,1497.19,1223.04,10253.2,8389.43,24668.4,23935.5,0,6169.86,3899.24,3614.08,3325,2325.9,1912.88,
850,2726.57,2441.82,23434.1,23051.7,482.759,241.609,854.3,20281.8,18296.4,23544.1,15481.8,12019.8,1361.18,1111.93,9321.76,7627.3,22427.5,21761.1,0,5609.37,3545.01,3285.76,3022.94,2114.6,1739.1,
875,2478.88,2220,21305.3,20957.6,438.903,219.66,776.692,18439.3,16634.3,21405.3,14075.4,10927.8,1237.53,1010.92,8474.93,6934.4,20390.1,19784.2,0,5099.79,3222.97,2987.27,2748.33,1922.51,1581.12,
900,2253.68,2018.32,19369.8,19053.7,399.031,199.705,706.134,16764.2,15123.1,19460.7,12796.7,9935.11,1125.11,919.084,7705.04,6304.45,18537.7,17986.9,0,4636.5,2930.18,2715.89,2498.66,1747.86,1437.48,
925,2048.95,1834.97,17610.2,17322.8,362.782,181.563,641.986,15241.3,13749.3,17692.8,11634.2,9032.56,1022.9,835.591,7005.08,5731.73,16853.7,16352.9,0,4215.3,2663.99,2469.17,2271.67,1589.07,1306.89,
950,1862.81,1668.27,16010.4,15749.1,329.825,165.069,583.665,13856.7,12500.2,16085.5,10577.3,8212.01,929.972,759.682,6368.71,5211.03,15322.6,14867.4,0,3832.37,2421.98,2244.86,2065.3,1444.72,1188.17,
975,1693.59,1516.72,14555.9,14318.4,299.862,150.074,530.643,12597.9,11364.7,14624.3,9616.44,7466,845.49,690.67,5790.15,4737.64,13930.7,13516.8,0,3484.22,2201.96,2040.93,1877.68,1313.47,1080.23,
