Y Coordinates:
1.32842,1.59689,5.59979,5.7999,5.42631,0.461895,0.64657,0.230948,6,0.85134,2.02705,2.22073,3.26125,3.39386,1.19537,1.06366,3.81712,4.04305,4.20103,4.57482,4.764,4.3868,3,3.095,3.59613,0,4.95317,5.14454,1.87201,2.51863,2.68117,2.8404,

 Time(s),  P(Pa) on vertices
475,79584.9,71607.5,2041.8,1021.36,2925.06,96035.2,93797.7,97783.4,0,90493.2,56483,48872.2,13592.6,12969.6,83042.6,86167.7,10946.2,9847.81,9073.18,7220.64,6273.64,8155.58,14805.3,14366.9,12008.4,98395.3,5322.29,4355.11,62241.8,36390.1,29248.1,22097.9,
500,72356.7,65103.8,1856.34,928.59,2659.38,87313.1,85278.8,88902.5,0,82274.4,51352.9,44433.4,12358,11791.6,75500.4,78341.7,9951.95,8953.34,8249.07,6564.8,5703.81,7414.81,13460.6,13062,10917.7,89458.9,4838.87,3959.54,56588.7,33084.9,26591.6,20090.8,
525,65785.1,59190.9,1687.74,844.25,2417.83,79383.1,77533.5,80828.2,0,74802,46688.8,40397.8,11235.6,10720.6,68643.3,71226.5,9048.05,8140.14,7499.84,5968.54,5185.75,6741.35,12238,11875.6,9926.07,81334,4399.37,3599.91,51449.1,30080,24176.5,18266.1,
550,59810.3,53815,1534.45,767.571,2198.23,72173.3,70491.7,73487.2,0,68008.3,42448.4,36728.7,10215.1,9746.9,62408.9,64757.5,8226.26,7400.81,6818.67,5426.45,4714.76,6129.07,11126.5,10797,9024.53,73947,3999.8,3272.95,46776.3,27348,21980.6,16607.1,
575,54378.1,48927.3,1395.09,697.857,1998.58,65618.3,64089.4,66812.8,0,61831.5,38593.1,33392.9,9287.33,8861.65,56740.7,58876,7479.12,6728.64,6199.37,4933.6,4286.54,5572.4,10116,9816.37,8204.89,67230.9,3636.52,2975.68,42527.9,24864.2,19984.3,15098.8,
600,49439.3,44483.6,1268.38,634.475,1817.06,59658.6,58268.6,60744.7,0,56215.8,35087.9,30360,8443.82,8056.8,51587.3,53528.7,6799.84,6117.52,5636.32,4485.51,3897.22,5066.3,9197.2,8924.81,7459.69,61124.8,3306.24,2705.42,38665.4,22605.9,18169.2,13727.4,
625,44949.1,40443.4,1153.18,576.85,1652.03,54240.2,52976.5,55227.6,0,51110.1,31901.1,27602.6,7676.92,7325.06,46902,48667,6182.26,5561.91,5124.41,4078.12,3543.26,4606.16,8361.88,8114.23,6782.18,55573.2,3005.95,2459.71,35153.7,20552.8,16519,12480.7,
650,40866.6,36770.2,1048.44,524.458,1501.99,49314,48165,50211.7,0,46468.1,29003.8,25095.7,6979.68,6659.77,42642.2,44246.9,5620.76,5056.76,4658.99,3707.73,3221.45,4187.81,7602.42,7377.27,6166.2,50525.9,2732.94,2236.31,31960.9,18686.1,15018.7,11347.1,
675,37155,33430.6,953.221,476.825,1365.57,44835.1,43790.5,45651.3,0,42247.7,26369.5,22816.4,6345.76,6054.91,38769.3,40228.3,5110.27,4597.48,4235.85,3370.98,2928.87,3807.46,6911.94,6707.24,5606.16,45937,2484.73,2033.2,29058.1,16989,13654.7,10316.5,
700,33780.4,30394.3,866.646,433.518,1241.55,40763,39813.3,41505.1,0,38410.6,23974.6,20744.1,5769.42,5504.98,35248.1,36574.6,4646.13,4179.92,3851.13,3064.82,2662.86,3461.65,6284.18,6098.06,5096.99,41764.8,2259.06,1848.54,26418.9,15446,12414.5,9379.57,
