
Inspected Vertex: 2
Time,sigmaYY(Pa)
0,-661537
25,-661508
50,-664149
75,-675674
100,-694631
125,-717026
150,-740109
175,-762453
200,-783429
225,-802817
250,-820597
275,-836835
300,-851632
325,-865101
350,-877354
375,-888497
400,-898630
425,-907842
450,-916218
475,-923832
500,-930755
525,-937048
550,-942770
575,-947971
600,-952700
625,-956999
650,-960907
675,-964460
700,-967690
725,-970627
750,-973296
775,-975723
800,-977930
825,-979936
850,-981759
875,-983417
900,-984924
925,-986294
950,-987540
975,-988673
1000,-989702
1025,-990638
1050,-991489
1075,-992262
1100,-992966
1125,-993605
1150,-994186
1175,-994715
1200,-995195
1225,-995632
1250,-996029
1275,-996390
1300,-996718
1325,-997016
1350,-997287
1375,-997534
1400,-997758
1425,-997962
1450,-998147
1475,-998315
1500,-998469
1525,-998608
1550,-998734
1575,-998849
1600,-998954
1625,-999049
1650,-999135
1675,-999214
1700,-999285
1725,-999350
1750,-999409
1775,-999463
1800,-999512
1825,-999556
1850,-999597
1875,-999633
1900,-999667
1925,-999697
1950,-999724
1975,-999749
2000,-999772
