Y Coordinates:
0,0.15,0.3,0.45,0.6,0.75,0.9,1.05,1.2,1.35,1.5,1.65,1.8,1.95,2.1,2.25,2.4,2.55,2.7,2.85,3,3.15,3.3,3.45,3.6,3.75,3.9,4.05,4.2,4.35,4.5,4.65,4.8,4.95,5.1,5.25,5.4,5.55,5.7,5.85,6,

 Time(s),  P(Pa) on vertices
0,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,0,
400,130892,130561,129573,127933,125650,122733,119203,115096,110344,105057,99256.9,92975.8,86209.9,79005.9,71406.1,63446.8,55169.2,46625,37821,28836.2,19708.2,18784.7,17852.1,16910.4,15960.2,15002,14037,13063.8,12084.1,11098.7,10107.9,9111.51,8110.69,7105.8,6097.27,5085.72,4071.64,3055.57,2037.9,1019.24,0,
425,119006,118705,117807,116315,114239,111587,108377,104643,100323,95515.8,90242.1,84531.2,78379.6,71829.7,64920.1,57683.6,50157.7,42389.5,34385.2,26216.4,17917.6,17078,16230.1,15374,14510.1,13638.9,12761.5,11876.8,10986.1,10090.2,9189.47,8283.59,7373.72,6460.13,5543.24,4623.6,3701.66,2777.92,1852.73,926.624,0,
450,108199,107925,107108,105752,103864,101453,98534.9,95139.8,91211.4,86841,82046.2,76853.9,71260.9,65305.8,59023.6,52444.3,45601.9,38539.3,31261.9,23835.1,16290,15526.6,14755.8,13977.4,13192,12400,11602.3,10797.9,9988.11,9173.58,8354.67,7531.09,6703.87,5873.27,5039.67,4203.57,3365.39,2525.57,1684.42,842.446,0,
475,98372.3,98123.4,97380.8,96148.1,94431.6,92239.4,89586.2,86499.3,82927.7,78954.2,74594.7,69874,64788.9,59374.6,53662.9,47681.1,41460.2,35038.9,28422.5,21670.2,14810.4,14116.3,13415.5,12707.8,11993.7,11273.7,10548.4,9817.13,9080.88,8340.34,7595.81,6847.03,6094.94,5339.79,4581.91,3821.76,3059.7,2296.16,1531.42,765.925,0,
500,89438.3,89212,88536.9,87416.1,85855.5,83862.4,81450.1,78643.5,75396.3,71783.6,67820.1,63528,58904.7,53982.2,48789.2,43350.6,37694.7,31856.6,25841.1,19702,13465.3,12834.2,12197.1,11553.6,10904.4,10249.7,9590.36,8925.49,8256.1,7582.82,6905.91,6225.14,5541.36,4854.8,4165.75,3474.64,2781.8,2087.61,1392.33,696.359,0,
525,81315.6,81109.9,80496.1,79477.1,78058.2,76246.1,74052.9,71501.2,68548.9,65264.3,61660.7,57758.4,53555,49079.5,44358.2,39413.5,34271.2,28963.4,23494.1,17912.7,12242.3,11668.6,11089.3,10504.3,9914.05,9318.84,8719.34,8114.85,7506.26,6894.13,6278.7,5659.76,5038.08,4413.88,3787.41,3159.07,2529.15,1898.01,1265.87,633.114,0,
550,73930.6,73743.6,73185.5,72259,70969,69321.5,67327.4,65007.5,62323.3,59337,56060.7,52512.8,48691.2,44622.1,40329.6,35834,31158.7,26332.9,21360.4,16285.8,11130.5,10608.8,10082.2,9550.31,9013.65,8472.5,7927.45,7377.85,6824.54,6268,5708.46,5145.73,4580.52,4013,3443.43,2872.16,2299.45,1725.63,1150.9,575.614,0,
575,67216.3,67046.3,66538.9,65696.5,64523.7,63025.8,61212.8,59103.6,56663.1,53948.1,50969.3,47743.6,44269.1,40569.6,36666.8,32579.6,28328.9,23941.4,19420.5,14806.8,10119.6,9645.35,9166.5,8682.95,8195.03,7703.02,7207.47,6707.8,6204.73,5698.74,5190.02,4678.4,4164.52,3648.54,3130.7,2611.31,2090.62,1568.91,1046.38,523.336,0,
600,61111.8,60957.2,60495.9,59730,58663.7,57301.8,55653.5,53735.8,51517,49048.5,46340.3,43407.6,40248.6,36885,33336.8,29620.7,25756.1,21767,17656.7,13462,9200.53,8769.36,8334,7894.37,7450.76,7003.44,6552.89,6098.6,5641.22,5181.18,4718.66,4253.51,3786.3,3317.18,2846.37,2374.15,1900.75,1426.42,951.346,475.807,0,
625,55561.7,55421.1,55001.7,54305.4,53335.9,52097.7,50599.1,48855.6,46838.3,44594,42131.7,39465.3,36593.2,33535.2,30309.2,26930.6,23416.9,19790.2,16053.1,12239.4,8364.95,7972.93,7577.11,7177.4,6774.08,6367.39,5957.76,5544.72,5128.89,4710.63,4290.12,3867.21,3442.43,3015.92,2587.86,2158.53,1728.12,1296.87,864.945,432.595,0,
