
Inspected Vertex: 2
Time,P(Pa)
0,435167
25,435143
50,431902
75,417552
100,393494
125,364829
150,335167
175,306400
200,279367
225,254368
250,231437
275,210492
300,191404
325,174029
350,158222
375,143846
400,130775
425,118890
450,108085
475,98262.2
500,89331.6
525,81212.7
550,73831.6
575,67121.3
600,61020.9
625,55474.9
650,50433
675,45849.3
700,41682.2
725,37893.8
750,34449.8
775,31318.8
800,28472.3
825,25884.5
850,23532
875,21393.2
900,19448.9
925,17681.2
950,16074.2
975,14613.3
1000,13285.1
1025,12077.7
1050,10980
1075,9982.05
1100,9074.81
1125,8250.03
1150,7500.21
1175,6818.54
1200,6198.82
1225,5635.43
1250,5123.24
1275,4657.61
1300,4234.29
1325,3849.45
1350,3499.58
1375,3181.52
1400,2892.36
1425,2629.48
1450,2390.5
1475,2173.23
1500,1975.71
1525,1796.15
1550,1632.9
1575,1484.49
1600,1349.57
1625,1226.91
1650,1115.4
1675,1014.03
1700,921.864
1725,838.078
1750,761.908
1775,692.66
1800,629.706
1825,572.474
1850,520.444
1875,473.142
1900,430.14
1925,391.046
1950,355.505
1975,323.194
2000,293.82
